buying,maint,doors,persons,lug_boot,safety,class
vhigh,vhigh,_2,_2,small,low,unacc
vhigh,vhigh,_2,_2,small,med,unacc
vhigh,vhigh,_2,_2,small,high,unacc
vhigh,vhigh,_2,_2,med,low,unacc
vhigh,vhigh,_2,_2,med,med,unacc
vhigh,vhigh,_2,_2,med,high,unacc
vhigh,vhigh,_2,_2,big,low,unacc
vhigh,vhigh,_2,_2,big,med,unacc
vhigh,vhigh,_2,_2,big,high,unacc
vhigh,vhigh,_2,_4,small,low,unacc
vhigh,vhigh,_2,_4,small,med,unacc
vhigh,vhigh,_2,_4,small,high,unacc
vhigh,vhigh,_2,_4,med,low,unacc
vhigh,vhigh,_2,_4,med,med,unacc
vhigh,vhigh,_2,_4,med,high,unacc
vhigh,vhigh,_2,_4,big,low,unacc
vhigh,vhigh,_2,_4,big,med,unacc
vhigh,vhigh,_2,_4,big,high,unacc
vhigh,vhigh,_2,more,small,low,unacc
vhigh,vhigh,_2,more,small,med,unacc
vhigh,vhigh,_2,more,small,high,unacc
vhigh,vhigh,_2,more,med,low,unacc
vhigh,vhigh,_2,more,med,med,unacc
vhigh,vhigh,_2,more,med,high,unacc
vhigh,vhigh,_2,more,big,low,unacc
vhigh,vhigh,_2,more,big,med,unacc
vhigh,vhigh,_2,more,big,high,unacc
vhigh,vhigh,_3,_2,small,low,unacc
vhigh,vhigh,_3,_2,small,med,unacc
vhigh,vhigh,_3,_2,small,high,unacc
vhigh,vhigh,_3,_2,med,low,unacc
vhigh,vhigh,_3,_2,med,med,unacc
vhigh,vhigh,_3,_2,med,high,unacc
vhigh,vhigh,_3,_2,big,low,unacc
vhigh,vhigh,_3,_2,big,med,unacc
vhigh,vhigh,_3,_2,big,high,unacc
vhigh,vhigh,_3,_4,small,low,unacc
vhigh,vhigh,_3,_4,small,med,unacc
vhigh,vhigh,_3,_4,small,high,unacc
vhigh,vhigh,_3,_4,med,low,unacc
vhigh,vhigh,_3,_4,med,med,unacc
vhigh,vhigh,_3,_4,med,high,unacc
vhigh,vhigh,_3,_4,big,low,unacc
vhigh,vhigh,_3,_4,big,med,unacc
vhigh,vhigh,_3,_4,big,high,unacc
vhigh,vhigh,_3,more,small,low,unacc
vhigh,vhigh,_3,more,small,med,unacc
vhigh,vhigh,_3,more,small,high,unacc
vhigh,vhigh,_3,more,med,low,unacc
vhigh,vhigh,_3,more,med,med,unacc
vhigh,vhigh,_3,more,med,high,unacc
vhigh,vhigh,_3,more,big,low,unacc
vhigh,vhigh,_3,more,big,med,unacc
vhigh,vhigh,_3,more,big,high,unacc
vhigh,vhigh,_4,_2,small,low,unacc
vhigh,vhigh,_4,_2,small,med,unacc
vhigh,vhigh,_4,_2,small,high,unacc
vhigh,vhigh,_4,_2,med,low,unacc
vhigh,vhigh,_4,_2,med,med,unacc
vhigh,vhigh,_4,_2,med,high,unacc
vhigh,vhigh,_4,_2,big,low,unacc
vhigh,vhigh,_4,_2,big,med,unacc
vhigh,vhigh,_4,_2,big,high,unacc
vhigh,vhigh,_4,_4,small,low,unacc
vhigh,vhigh,_4,_4,small,med,unacc
vhigh,vhigh,_4,_4,small,high,unacc
vhigh,vhigh,_4,_4,med,low,unacc
vhigh,vhigh,_4,_4,med,med,unacc
vhigh,vhigh,_4,_4,med,high,unacc
vhigh,vhigh,_4,_4,big,low,unacc
vhigh,vhigh,_4,_4,big,med,unacc
vhigh,vhigh,_4,_4,big,high,unacc
vhigh,vhigh,_4,more,small,low,unacc
vhigh,vhigh,_4,more,small,med,unacc
vhigh,vhigh,_4,more,small,high,unacc
vhigh,vhigh,_4,more,med,low,unacc
vhigh,vhigh,_4,more,med,med,unacc
vhigh,vhigh,_4,more,med,high,unacc
