wifes_age,wifes_education,husbands_education,num_children,wifes_religion,wife_is_working,husbands_occupation,standard_of_living_index,media_exposure,class
24,_2,_3,3,_1,_1,_2,_3,_0,1
45,_1,_3,10,_1,_1,_3,_4,_0,1
43,_2,_3,7,_1,_1,_3,_4,_0,1
42,_3,_2,9,_1,_1,_3,_3,_0,1
36,_3,_3,8,_1,_1,_3,_2,_0,1
19,_4,_4,0,_1,_1,_3,_3,_0,1
38,_2,_3,6,_1,_1,_3,_2,_0,1
21,_3,_3,1,_1,_0,_3,_2,_0,1
27,_2,_3,3,_1,_1,_3,_4,_0,1
45,_1,_1,8,_1,_1,_2,_2,_1,1
38,_1,_3,2,_1,_0,_3,_3,_1,1
42,_1,_4,4,_1,_1,_1,_3,_0,1
44,_4,_4,1,_1,_0,_1,_4,_0,1
42,_2,_4,1,_1,_0,_3,_3,_0,1
38,_3,_4,2,_1,_1,_2,_3,_0,1
26,_2,_4,0,_1,_1,_4,_1,_0,1
48,_1,_1,7,_1,_1,_2,_4,_0,1
39,_2,_2,6,_1,_1,_2,_4,_0,1
37,_2,_2,8,_1,_1,_2,_3,_0,1
39,_2,_1,5,_1,_1,_2,_1,_1,1
26,_3,_4,1,_1,_0,_4,_1,_0,1
24,_3,_4,0,_1,_0,_3,_1,_0,1
46,_4,_4,1,_0,_1,_1,_4,_0,1
39,_4,_4,1,_1,_1,_1,_4,_0,1
48,_4,_4,5,_1,_1,_1,_4,_0,1
40,_2,_4,8,_1,_1,_3,_3,_0,1
38,_4,_4,1,_1,_0,_1,_4,_0,1
29,_4,_4,0,_1,_0,_1,_4,_0,1
24,_4,_4,0,_1,_0,_2,_2,_0,1
43,_1,_2,8,_1,_1,_2,_4,_0,1
31,_3,_4,2,_1,_1,_1,_4,_0,1
31,_4,_4,2,_1,_1,_3,_2,_0,1
26,_2,_4,0,_1,_0,_1,_2,_0,1
33,_2,_2,2,_1,_1,_3,_1,_0,1
24,_2,_3,1,_1,_1,_3,_3,_0,1
42,_1,_3,9,_1,_1,_3,_2,_1,1
43,_1,_2,8,_1,_0,_3,_1,_0,1
25,_3,_3,4,_1,_1,_3,_2,_0,1
42,_2,_2,3,_1,_1,_3,_4,_0,1
28,_2,_2,1,_1,_1,_2,_4,_0,1
28,_1,_1,3,_1,_1,_3,_1,_0,1
