parents,has+AF8-nurs,form,children,housing,finance,social,health,NewAttrib1,NewAttrib2,NewAttrib3,class
usual,proper,complete,+AF8-1,convenient,convenient,nonprob,recommended,usualproper,complete1convenientconvenient,nonprobrecommended,recommend
usual,proper,complete,+AF8-1,convenient,convenient,nonprob,priority,usualproper,complete1convenientconvenient,nonprobpriority,priority
usual,proper,complete,+AF8-1,convenient,convenient,nonprob,not+AF8-recom,usualproper,complete1convenientconvenient,nonprobnot+AF8-recom,not+AF8-recom
usual,proper,complete,+AF8-1,convenient,convenient,slightly+AF8-prob,recommended,usualproper,complete1convenientconvenient,slightly+AF8-probrecommended,recommend
usual,proper,complete,+AF8-1,convenient,convenient,slightly+AF8-prob,priority,usualproper,complete1convenientconvenient,slightly+AF8-probpriority,priority
usual,proper,complete,+AF8-1,convenient,convenient,slightly+AF8-prob,not+AF8-recom,usualproper,complete1convenientconvenient,slightly+AF8-probnot+AF8-recom,not+AF8-recom
usual,proper,complete,+AF8-1,convenient,convenient,problematic,recommended,usualproper,complete1convenientconvenient,problematicrecommended,priority
usual,proper,complete,+AF8-1,convenient,convenient,problematic,priority,usualproper,complete1convenientconvenient,problematicpriority,priority
usual,proper,complete,+AF8-1,convenient,convenient,problematic,not+AF8-recom,usualproper,complete1convenientconvenient,problematicnot+AF8-recom,not+AF8-recom
usual,proper,complete,+AF8-1,convenient,inconv,nonprob,recommended,usualproper,complete1convenientinconv,nonprobrecommended,very+AF8-recom
usual,proper,complete,+AF8-1,convenient,inconv,nonprob,priority,usualproper,complete1convenientinconv,nonprobpriority,priority
usual,proper,complete,+AF8-1,convenient,inconv,nonprob,not+AF8-recom,usualproper,complete1convenientinconv,nonprobnot+AF8-recom,not+AF8-recom
usual,proper,complete,+AF8-1,convenient,inconv,slightly+AF8-prob,recommended,usualproper,complete1convenientinconv,slightly+AF8-probrecommended,very+AF8-recom
usual,proper,complete,+AF8-1,convenient,inconv,slightly+AF8-prob,priority,usualproper,complete1convenientinconv,slightly+AF8-probpriority,priority
usual,proper,complete,+AF8-1,convenient,inconv,slightly+AF8-prob,not+AF8-recom,usualproper,complete1convenientinconv,slightly+AF8-probnot+AF8-recom,not+AF8-recom
usual,proper,complete,+AF8-1,convenient,inconv,problematic,recommended,usualproper,complete1convenientinconv,problematicrecommended,priority
usual,proper,complete,+AF8-1,convenient,inconv,problematic,priority,usualproper,complete1convenientinconv,problematicpriority,priority
