a_0,a_1,a_2,class
N,IH,T,S
IH,G,Y,ER
IH,R,T,ER
V,ER,B,IH
EH,N,T,ER
IH,M,AH,T
N,IY,S,EH
N,P,EY,M
S,S,IY,N
T,AH,N,S
K,AH,M,P
AH,AO,R,D
ER,AH,N,T
V,ER,B,IH
T,L,UH,K
P,R,AY,S
T,UW,IY,Z
AH,S,AH,S
F,F,AO,R
W,AO,R,D
IH,N,T,R
AA,R,D,IH
NG,AO,L,T
R,IY,S,T
P,EH,K,T
N,T,F,R
SH,AH,N,L
V,ER,S,AH
IH,Z,P,R
R,T,S,AH
AH,D,EH,N
IH,V,L,IY
T,R,OW,L
AH,P,IY,L
OW,T,ER,Z
AH,N,T,R
S,EH,D,IH
F,R,AH,M
B,JH,EH,K
V,EH,R,IY
IH,K,S,P
K,W,AO,R
EH,K,T,T
EY,SH,AH,N
IH,R,DH,AH
Z,W,ER,S
AH,L,IH,N
IH,L,Y,AH
AO,R,IH,K
IH,N,V,EH
ER,Z,AE,N
S,IH,NG,R
AE,V,B,IH
R,AH,N,T
AA,T,P,R
S,W,ER,D
AH,F,AH,K
S,T,IH,N
AE,B,R,IH
EY,T,ER,AH
IY,AH,N,D
T,AH,M,Z
S,OY,B,IY
AH,W,IY,K
EH,M,B,ER
EH,R,AA,N
ER,Z,W,IH
AH,B,L,IH
T,R,AH,S
ER,M,EY,K
S,AH,B,IH
IH,NG,EH,L
M,AH,SH,IY
DH,AH,K,AH
D,AH,S,T
S,T,R,IY
IH,NG,Z,IH
R,M,AH,N
L,Z,AA,N
F,ER,S,T
P,EH,V,ER
AE,T,IH,T
AH,T,S,IH
P,AA,Z,IH
IH,K,AH,L
IH,R,IH,N
S,AH,V,IH
OW,IH,NG,Z
T,D,IH,S
HH,AE,D,EH
EH,K,S,EH
M,AH,N,S
EH,T,ER,IH
R,AH,T,IY
V,AH,S,T
AH,JH,EH,S
AA,R,K,AH
R,IH,K,L
W,AO,T,ER
B,R,OW,K
ER,M,Z,AH
IH,D,EH,M
ER,IH,NG,AH
EH,R,AE,T
W,AA,T,K
G,N,AH,M
AH,D,AH,K
EY,B,AY,M
SH,AW,T,L
M,EH,S,IH
D,V,EH,N
K,T,K,AH
T,ER,AH,L
AO,R,G,AH
R,EY,T,T
G,AH,N,AH
DH,AH,P,R
ER,S,T,K
L,IY,K,L
K,ER,AH,N
T,P,R,AH
N,M,AH,N
N,AA,T,D
IH,T,W,IY
AH,N,AH,N
AH,N,D,ER
S,EH,D,IH
S,IH,NG,K
V,IY,EH,S
L,EY,T,ER
AH,P,F,R
F,R,AH,M
K,AH,N,S
EY,D,AH,N
Z,AH,N,T
Z,AH,N,D
T,R,AE,T
S,M,AO,L
S,T,Y,IH
R,D,L,EH
S,EH,L,ER
G,ER,AH,S
P,EH,K,T
IH,D,AY,Z
S,P,AO,R
P,R,IH,Z
AE,D,M,IH
P,AA,R,T
W,AA,Z,N
NG,K,ER,Z
L,OW,N,Z
L,AH,N,S
N,AH,V,IH
IH,NG,S,AH
ER,DH,AH,K
M,AH,N,T
B,AE,NG,K
N,IY,EH,S
W,AA,Z,AH
S,M,AH,N
K,AO,R,N
F,AA,R,M
S,IH,Z,AH
IH,V,AY,Z
ER,DH,AE,N
IY,ER,DH,IH
P,AA,L,AH
T,T,AY,M
N,W,AA,Z
V,L,IY,S
T,M,AH,N
S,EH,D,IH
ER,M,AH,N
IY,Z,IH,N
EH,S,F,AH
Z,AA,R,N
R,N,AA,T
ER,S,EH,N
V,ER,M,AH
IY,M,EY,N
B,ER,G,R
EY,SH,AH,N
V,IY,EH,S
AH,S,M,AH
AY,S,AH,Z
Y,IH,R,ER
D,Y,UW,T
R,M,AH,L
IY,AH,T,L
S,T,ER,EH
Z,AH,B,AH
R,N,AA,T
AH,N,IY,S
K,L,IY,T
S,DH,EH,R
T,AH,B,IH
AE,NG,K,S
B,AA,N,D
AH,T,R,IH
S,EY,L,Z
B,AY,DH,AH
S,T,AH,K
T,S,AH,N
AH,P,F,R
D,Z,AO,R
N,T,IY,D
R,EY,SH,IY
AE,K,SH,AH
T,UW,F,AH
AH,L,D,S
AH,T,IY,Z
P,EH,S,T
K,SH,AH,N
IY,Z,S,AH
ER,IH,NG,D
T,M,IY,N
AA,Z,R,IH
V,AH,L,Z
AH,T,IY,Z
S,T,M,AH
IH,R,L,IY
P,L,AE,S
R,AA,B,AH
IH,V,AH,T
AH,SH,AA,R
T,M,EY,N
F,EH,N,S
T,L,EY,Z
D,IH,D,L
N,K,AH,M
T,EH,D,AH
HH,IY,IH,K
S,IH,S,T
ER,N,AH,T
AH,N,T,IY
EH,K,T,IH
K,EY,T,AH
N,S,EH,K
IY,N,S,EH
OW,V,ER,N
NG,K,S,AH
L,Y,AH,N
T,R,IY,EH
T,AH,S,M
N,R,IY,Z
IH,K,AH,L
Y,UW,R,AH
IH,N,SH,EH
R,IY,Z,AH
K,IH,NG,D
F,AO,L,IH
D,T,UW,L
D,AH,Y,IH
AH,Z,AA,R
R,S,AE,T
AH,D,UW,S
S,L,AY,D
S,P,AO,R
S,W,IY,T
IH,L,T,AH
OW,Z,AH,L
EY,N,JH,T
AH,N,AA,M
TH,R,IY,AH
ER,M,EH,M
R,EH,N,D
CH,ER,M,IH
R,P,R,AH
W,IH,L,T
T,N,EH,K
T,UW,B,IY
T,IH,SH,AH
R,W,AA,Z
AH,N,T,S
EY,M,AH,N
L,EH,K,S
R,AH,M,AH
IH,SH,AH,N
AA,D,AH,S
N,K,R,IY
K,AA,F,IY
R,AA,B,AH
IY,S,T,T
R,N,AH,N
R,L,AY,K
EH,R,Z,L
HH,AY,ER,K
L,IY,AH,N
N,D,ER,AH
L,S,OW,D
OW,D,IH,P
L,AH,N,D
P,AH,N,IY
EY,SH,AH,N
S,EH,V,AH
D,DH,AH,IH
D,EH,T,IH
IY,IH,NG,AH
UW,T,UW,M
SH,AH,N,D
EY,N,JH,S
M,AH,N,T
S,M,AH,N
R,IH,NG,IH
T,F,AO,R
S,P,EH,K
B,AE,K,IH
S,T,AH,M
AH,T,IY,Z
M,AE,N,AH
R,EY,T,IH
SH,AH,N,S
N,G,IH,L
M,IY,AH,M
P,R,AA,P
T,AH,N,Z
AH,K,SH,AH
Z,AH,V,AH
EH,P,R,IH
EY,T,IH,Z
AH,V,TH,R
SH,AH,L,R
JH,D,IH,T
P,OW,ZH,ER
JH,AH,G,EH
EH,JH,UH,L
N,V,AA,L
K,OW,L,M
IH,SH,AH,N
SH,IH,P,M
L,D,EH,S
IY,AH,CH,IY
B,ER,K,AH
R,OW,Z,T
S,AO,R,S
S,T,S,S
R,OW,L,Z
AO,R,T,ER
AH,V,ER,M
T,AH,V,S
R,EY,T,AH
EH,N,D,IH
AH,M,AH,T
IH,S,K,AH
K,T,IH,D
S,T,Y,IH
AA,R,K,AH
AA,R,K,AH
IH,L,B,IY
AY,L,OW,ER
IH,N,AO,M
ER,S,EH,N
EH,N,F,R
JH,R,IH,Z
EY,T,UW,D
CH,W,UH,D
D,IY,EH,R
AY,W,AH,N
IH,L,D,ER
AH,T,S,IH
T,S,M,AH
AH,L,IY,AH
IH,L,Y,AH
HH,AE,D,S
V,B,IH,L
G,R,OW,S
AH,L,D,AH
Z,M,EY,D
W,AY,L,T
AH,N,T,R
R,AH,T,IY
AH,M,IH,N
N,S,EY,L
T,AH,V,IH
W,IH,DH,AH
F,IH,S,IH
IH,M,AE,N
SH,AH,N,AH
N,D,F,R
K,AO,L,Z
L,Z,F,R
Z,DH,AH,T
IH,T,S,T
M,B,AE,L
L,TH,AO,T
NG,F,AO,R
HH,OW,P,S
EH,N,JH,AH
AH,P,F,R
IH,L,Y,AH
AA,N,R,IY
R,B,IY,AH
UW,K,AH,M
EH,N,D,IH
L,D,IH,K
S,T,P,R
P,EY,P,ER
T,N,AH,N
ER,R,AW,N
P,M,AH,N
EH,K,S,P
M,AH,N,T
R,L,AE,S
SH,AH,N,AH
K,AH,M,IH
AH,L,L,EH
EH,S,CH,AH
N,AE,N,S
S,EH,K,S
DH,AE,T,IH
T,AH,N,D
M,EH,N,T
N,T,UW,D
AW,N,S,T
AH,N,D,ER
AH,S,T,R
N,T,AH,N
T,F,AE,K
V,ER,M,AH
T,W,IY,N
AH,L,ER,M
Z,EH,N,T
IY,AH,V,D
R,Z,D,IH
M,AH,JH,AH
R,AY,Z,IH
T,Y,IH,R
D,B,IY,AH
K,AH,M,P
D,AH,D,P
N,AH,L,IH
T,S,IH,K
T,IH,D,S
IH,N,K,L
IH,T,IH,D
ER,Z,S,EH
Z,DH,AH,K
AA,R,M,Z
L,IY,V,D
AH,AO,R,D
S,P,AO,R
AO,R,D,AH
R,IH,N,S
ER,EH,N,D
D,T,UW,N
AH,M,EY,T
B,AY,IH,N
AH,M,P,EH
AE,V,S,T
K,DH,AH,N
D,T,UW,N
R,T,ER,Z
T,ER,DH,IH
IH,NG,HH,IY
K,AO,R,D
S,EH,SH,AH
HH,AE,Z,R
IH,SH,UW,IH
D,P,EY,M
AY,N,IH,N
P,EH,N,T
IY,K,V,IH
AH,M,T,ER
D,DH,AH,P
AO,R,B,IH
AH,N,IH,Z
G,R,UW,P
JH,ER,W,IH
UW,V,AH,L
EY,T,IH,Z
P,AO,R,T
N,K,R,IY
AH,K,AW,N
L,AY,N,D
N,K,R,IY
L,Y,AH,N
K,AH,M,P
N,IY,D,Z
AH,M,P,AH
AA,T,IH,K
M,IY,T,IH
Z,R,OW,Z
N,IH,NG,Z
D,IH,K,S
R,L,IY,D
AH,F,EH,D
T,IH,T,S
R,IH,Z,ER
S,SH,OW,IH
R,AH,M,IH
N,T,ER,N
D,IH,N,N
D,IH,M,EH
AH,V,DH,AH
AH,N,AH,L
R,IY,V,IY
IY,S,DH,AH
N,T,L,IY
UH,R,AH,T
AH,SH,EH,R
V,ER,AO,R
N,EH,T,P
AO,R,G,AH
AH,N,EY,T
L,S,OW,K
R,DH,AH,K
EH,K,SH,AH
N,T,DH,IH
N,OW,V,ER
AH,D,IY,S
N,Z,AH,N
IH,DH,S,AH
S,T,B,IH
AH,Y,UW,N
ER,SH,IH,P
B,IY,N,AH
P,AO,R,T
D,UW,T,IY
D,IY,Z,T
IY,M,AE,N
IH,NG,P,L
IH,L,AH,K
EY,SH,AH,N
R,M,AH,N
T,AH,N,D
AH,JH,EH,S
OW,K,ER,D
T,R,IH,S
D,G,OW,L
AA,N,S,AH
V,EH,L,AH
AH,R,AH,D
S,T,R,EH
T,L,AY,N
AH,K,AH,M
K,S,EH,P
G,EY,T,S
AH,P,OW,Z
IH,F,AY,N
K,AA,M,EH
JH,AH,N,S
AE,N,D,AH
N,D,AH,M
T,IH,V,AH
AE,T,AH,N
AE,S,T,AH
AH,B,AH,L
N,IY,TH,R
N,EH,T,IH
AO,R,T,ER
S,AH,Z,L
AH,N,IY,Z
N,SH,EH,R
S,AH,N,AH
M,Z,W,EH
Z,K,AH,M
AH,N,AH,L
V,DH,AH,K
D,DH,AH,AH
V,R,AH,K
IH,N,D,EH
P,R,AH,D
IH,SH,AH,N
SH,EH,R,Z
R,T,ER,AH
AH,F,AO,R
F,AH,N,D
UW,OW,P,AH
IH,L,B,IY
G,R,EY,D
V,L,AE,N
IH,SH,AH,N
R,AH,AO,R
UW,AH,P,R
T,UW,S,EH
D,W,IH,L
L,AO,R,D
N,Y,ER,D
D,D,OW,N
JH,D,G,R
D,L,EY,T
D,EH,S,L
D,ER,D,Z
T,K,AH,M
D,IH,F,ER
AY,T,AH,M
OW,N,Z,T
R,K,AH,M
AH,N,IY,S
IH,S,K,AH
K,R,EH,D
L,AH,T,IY
R,EH,S,T
D,DH,AE,T
AE,D,B,IH
W,AA,Z,P
P,R,AH,D
TH,HH,AE,Z
T,W,AO,N
EH,N,D,AH
L,AE,Z,D
B,IH,L,D
S,L,IY,R
S,AH,N,AH
R,EY,T,S
T,AO,K,S
AH,D,AH,K
ER,L,IY,ER
UW,P,R,EH
N,TH,S,M
R,AY,M,EH
IH,CH,DH,EH
AY,K,L,IY
R,K,AH,K
AH,N,D,IH
EH,D,IH,T
S,CH,AA,R
K,AA,N,T
P,AO,N,AH
AO,R,W,ER
SH,AH,N,AH
EH,L,EH,K
EH,N,D,ER
N,T,IH,N
Z,B,IH,Z
V,IY,EH,S
P,EH,K,T
R,K,AH,T
S,EH,D,IH
F,AO,R,EH
UW,AH,Y,IH
S,EH,D,IH
AH,S,AO,R
V,IH,ZH,AH
AH,N,HH,IY
T,AH,R,IY
AE,L,AH,N
K,SH,AH,N
EH,D,DH,AH
P,R,EH,Z
IH,DH,AE,N
AH,S,EY,M
V,DH,EH,R
W,AA,Z,AH
W,IH,M,AH
T,F,AO,R
UW,IH,M,P
EH,N,D,AH
Z,B,IH,N
AO,R,DH,AH
B,EH,T,ER
AH,N,IY,T
T,AE,N,IH
AH,M,P,AH
F,AO,R,D
F,R,AH,M
IH,N,T,R
AE,T,IH,T
N,T,AE,T
IH,R,Z,AH
UW,S,AH,P
T,EH,S,S
P,R,AH,D
B,AH,L,S
L,S,ER,P
IH,NG,EH,N
M,DH,AH,T
R,OW,G,R
T,R,AH,K
M,F,AO,R
AH,D,AA,L
IH,K,S,P
EH,N,IY,EH
N,D,ER,D
K,CH,ER,IH
N,D,AH,L
R,EH,N,D
D,HH,IY,P
L,AE,S,T
N,D,TH,R
W,AA,Z,K
D,AH,V,IH
ER,CH,AH,S
B,IY,AH,K
V,ER,M,AH
AH,S,IH,T
W,AO,R,D
K,T,F,R
L,AA,P,IY
S,T,ER,N
UW,F,AO,R
ER,JH,ER,AH
AH,L,IH,S
ER,AH,JH,D
D,Z,IH,T
ER,T,EY,K
W,EH,S,T
S,ER,V,IH
T,UW,S,T
AH,V,AY,D
V,IY,AH,S
AH,M,AA,R
IH,ZH,AH,N
W,IH,L,M
T,UW,EH,K
R,DH,AH,P
Z,IH,SH,AH
AA,N,AH,R
F,AY,N,ER
AE,SH,AH,N
EH,T,ER,T
AE,N,AH,N
S,OW,EH,S
Z,AA,R,N
AH,V,DH,AH
R,D,IH,M
S,AH,M,T
N,OW,T,S
K,T,S,S
EH,SH,AH,N
M,AA,N,AH
CH,IH,NG,S
T,R,IY,AH
R,AH,N,D
T,Y,IH,R
Y,UW,CH,ER
L,IY,D,IH
M,AH,N,T
UW,N,AH,T
UW,N,AH,T
AE,S,K,AH
W,AO,R,T
AE,L,AH,N
CH,HH,AE,Z
IY,B,AY,IH
IH,S,IY,T
NG,AH,S,P
T,AH,N,EH
V,ER,M,AH
K,AA,M,AH
T,B,AA,T
AA,R,T,N
T,L,AO,S
AH,SH,EH,R
N,AW,T,S
UW,IH,Z,D
Y,UH,R,AH
R,OW,G,R
N,SH,AH,L
AE,S,T,AH
R,EY,D,IH
IH,S,Y,IH
IY,EH,S,L
R,Z,W,IH
EH,S,T,M
R,OW,L,D
EH,K,T,AH
Z,AH,N,D
S,D,IH,P
NG,TH,AH,N
W,UH,D,K
F,IH,T,IH
S,S,P,R
AH,N,T,IY
IH,L,Y,AH
Z,W,IH,L
ER,S,ER,P
AH,P,AY,D
S,M,AH,N
T,S,P,AH
NG,K,ER,AH
AH,JH,IH,T
IH,T,AH,N
L,AE,S,T
M,AY,L,Z
N,EH,K,S
D,AH,S,T
AH,Y,IH,R
HH,AE,D,S
IY,AE,Z,D
IH,T,S,AH
IH,S,P,IH
R,IY,W,IH
D,DH,AH,IH
AY,N,D,IH
Z,IH,N,S
OW,T,AH,Z
IH,N,M,EH
K,Y,AH,L
P,AH,L,IH
N,AH,N,T
R,UW,V,AH
AA,R,M,Z
T,ER,Y,EH
L,IY,R,IY
T,ER,AH,N
Z,IH,K,S
T,IH,D,AH
N,Z,AA,R
EH,N,T,S
Z,AA,N,R
R,IH,NG,IH
AH,L,D,IH
IH,N,V,EH
AE,Z,B,IH
T,S,T,ER
N,IH,M,P
AH,L,S,EH
M,AH,N,IY
S,F,AO,R
F,AH,S,AH
EH,D,IH,N
AH,T,AH,N
L,Y,AH,N
L,EH,K,T
AA,N,T,S
K,ER,AH,N
K,T,IH,D
D,AH,K,T
IH,L,AE,S
N,D,G,R
EH,K,T,AH
Z,F,AO,R
AH,V,R,IH
ER,EY,SH,AH
N,Y,UW,D
L,AH,T,IY
IH,R,EH,S
N,T,IH,N
DH,ER,D,IH
W,AA,Z,D
JH,IY,P,R
IY,AH,N,D
Z,K,ER,AH
P,OY,N,T
AH,AH,DH,ER
AH,M,EH,N
DH,EY,W,IH
V,OY,D,R
AE,K,T,S
ER,D,IH,T
AH,N,D,IH
ER,W,ER,K
AE,NG,K,ER
Z,AH,N,D
R,AH,T,IY
