Month,DayOfWeek,PdDistrict,X,Y,Category
May,Wednesday,RICHMOND,-122.513642064265,37.77846921994671,LARCENY/THEFT
May,Wednesday,INGLESIDE,-122.420529801066,37.7110023300609,VANDALISM
May,Wednesday,CENTRAL,-122.412663134779,37.8006355477605,MISSING PERSON
May,Wednesday,TENDERLOIN,-122.415508242782,37.7816542806076,SUSPICIOUS OCC
May,Wednesday,MISSION,-122.40545578922399,37.7543370820935,ASSAULT
May,Wednesday,NORTHERN,-122.423168378741,37.777815744457705,ROBBERY
May,Wednesday,INGLESIDE,-122.41873276305799,37.747495526854294,WARRANTS
May,Wednesday,RICHMOND,-122.469766223526,37.7817135599476,ASSAULT
May,Tuesday,SOUTHERN,-122.397034190089,37.792823650931204,LARCENY/THEFT
May,Tuesday,SOUTHERN,-122.41251534135598,37.78047774805079,ASSAULT
May,Tuesday,PARK,-122.460646278384,37.771490351432796,BURGLARY
May,Tuesday,BAYVIEW,-122.39800417734,37.7190331787318,ASSAULT
May,Monday,CENTRAL,-122.414996719991,37.7874530734464,OTHER OFFENSES
May,Monday,CENTRAL,-122.41084562422701,37.792315874764704,NON-CRIMINAL
May,Monday,TARAVAL,-122.484780210487,37.7184489300774,ASSAULT
May,Monday,SOUTHERN,-122.412904380868,37.775998180531204,NON-CRIMINAL
May,Sunday,SOUTHERN,-122.400473580152,37.7850290611875,VANDALISM
May,Sunday,SOUTHERN,-122.420303482492,37.770896885856,NON-CRIMINAL
May,Saturday,NORTHERN,-122.43385046273701,37.7972979491885,LARCENY/THEFT
May,Saturday,SOUTHERN,-122.40652098714399,37.7850629421661,LARCENY/THEFT
May,Saturday,SOUTHERN,-122.391845617192,37.778124778322,OTHER OFFENSES
May,Friday,INGLESIDE,-122.425010799925,37.73087816539979,DRUG/NARCOTIC
May,Friday,NORTHERN,-122.41988857815399,37.790735381704394,LARCENY/THEFT
Apr,Thursday,BAYVIEW,-122.409364184688,37.73220860761511,VEHICLE THEFT
Apr,Thursday,BAYVIEW,-122.39800417734,37.7190331787318,OTHER OFFENSES
Apr,Thursday,RICHMOND,-122.494521109472,37.7815746718896,LARCENY/THEFT
Apr,Thursday,MISSION,-122.406539115148,37.7564864109309,NON-CRIMINAL
Apr,Thursday,RICHMOND,-122.493043453732,37.7759079618487,NON-CRIMINAL
Apr,Thursday,NORTHERN,-122.427179879518,37.7806552772342,ASSAULT
Apr,Wednesday,MISSION,-122.41796448376002,37.7586968166489,OTHER OFFENSES
Apr,Wednesday,RICHMOND,-122.47495643085199,37.778602207345,VEHICLE THEFT
Apr,Wednesday,TARAVAL,-122.47166339877701,37.7647297486264,LARCENY/THEFT
Apr,Wednesday,TENDERLOIN,-122.405895369887,37.786734218498296,LARCENY/THEFT
Apr,Wednesday,MISSION,-122.419671780296,37.7650501214668,OTHER OFFENSES
Apr,Wednesday,MISSION,-122.440485645784,37.7605003986524,VANDALISM
Apr,Tuesday,NORTHERN,-122.420713728356,37.791054571840796,ROBBERY
Apr,Tuesday,TARAVAL,-122.505117314946,37.7642126361601,SUSPICIOUS OCC
Apr,Tuesday,BAYVIEW,-122.390978248429,37.733588480771395,OTHER OFFENSES
Apr,Tuesday,INGLESIDE,-122.444228296584,37.7312945731944,NON-CRIMINAL
Apr,Tuesday,BAYVIEW,-122.404594140634,37.730037999512795,NON-CRIMINAL
Apr,Monday,SOUTHERN,-122.39458113080099,37.78469122927221,LARCENY/THEFT
Apr,Monday,NORTHERN,-122.423898239301,37.7725026632238,LARCENY/THEFT
Apr,Monday,RICHMOND,-122.43842118168399,37.7868758979431,LARCENY/THEFT
Apr,Monday,PARK,-122.453379778211,37.7633504720408,VEHICLE THEFT
Apr,Monday,TARAVAL,-122.47054192831,37.7325468492832,LARCENY/THEFT
Apr,Sunday,BAYVIEW,-122.403414340833,37.7243466933616,OTHER OFFENSES
Apr,Sunday,SOUTHERN,-122.40340479147899,37.775420706711,NON-CRIMINAL
Apr,Sunday,CENTRAL,-122.40672716771002,37.7950566945259,ASSAULT
Apr,Sunday,RICHMOND,-122.4681583385,37.775172337309996,ASSAULT
Apr,Saturday,SOUTHERN,-122.400803885548,37.7864412623669,ASSAULT
Apr,Saturday,INGLESIDE,-122.42224263142401,37.74473055186,ASSAULT
Apr,Friday,SOUTHERN,-122.404787953617,37.7779230615832,LARCENY/THEFT
Apr,Friday,TARAVAL,-122.477696048974,37.7635915438758,LARCENY/THEFT
Apr,Friday,NORTHERN,-122.44019686844999,37.803962100772296,LARCENY/THEFT
Apr,Friday,SOUTHERN,-122.40340479147899,37.775420706711,BURGLARY
Apr,Friday,SOUTHERN,-122.420303482492,37.770896885856,SUSPICIOUS OCC
Apr,Friday,BAYVIEW,-122.388318045049,37.757939423202,OTHER OFFENSES
Apr,Thursday,PARK,-122.43832390723101,37.7796558748172,NON-CRIMINAL
Apr,Thursday,MISSION,-122.441679426547,37.7573502681091,ASSAULT
Apr,Thursday,SOUTHERN,-122.40340479147899,37.775420706711,OTHER OFFENSES
Apr,Thursday,NORTHERN,-122.43303031166799,37.7973462529678,NON-CRIMINAL
Apr,Wednesday,CENTRAL,-122.417265053145,37.807073051215,LARCENY/THEFT
Apr,Wednesday,SOUTHERN,-122.41251534135598,37.78047774805079,OTHER OFFENSES
Apr,Wednesday,INGLESIDE,-122.437804110663,37.7149403430202,SUSPICIOUS OCC
Apr,Tuesday,SOUTHERN,-122.40340479147899,37.775420706711,SUSPICIOUS OCC
Apr,Tuesday,SOUTHERN,-122.405493118566,37.7835879465324,NON-CRIMINAL
Apr,Monday,CENTRAL,-122.405446187756,37.796945444827706,LARCENY/THEFT
