AnimalType,SexUponOutcome,AgeUponOutcome,Breed1,Breed2,Color,Outcome
Dog,Neutered Male,365,Shetland Sheepdog Mix,Shetland Sheepdog Mix,Brown/White,Return_to_owner/
Cat,Spayed Female,365,Domestic Shorthair Mix,Domestic Shorthair Mix,Cream Tabby,Euthanasia/Suffering
Dog,Neutered Male,730,Pit Bull Mix,Pit Bull Mix,Blue/White,Adoption/Foster
Cat,Intact Male,21,Domestic Shorthair Mix,Domestic Shorthair Mix,Blue Cream,Transfer/Partner
Dog,Neutered Male,730,Lhasa Apso,Miniature Poodle,Tan,Transfer/Partner
Dog,Intact Female,30,Cairn Terrier,Chihuahua Shorthair,Black/Tan,Transfer/Partner
Cat,Intact Male,21,Domestic Shorthair Mix,Domestic Shorthair Mix,Blue Tabby,Transfer/Partner
Cat,Unknown,21,Domestic Shorthair Mix,Domestic Shorthair Mix,Brown Tabby,Transfer/Partner
Dog,Spayed Female,150,American Pit Bull Terrier Mix,American Pit Bull Terrier Mix,Red/White,Adoption/
Dog,Spayed Female,365,Cairn Terrier,Cairn Terrier,White,Adoption/Offsite
Cat,Unknown,730,Domestic Shorthair Mix,Domestic Shorthair Mix,Black,Transfer/SCRP
Dog,Spayed Female,730,Miniature Schnauzer Mix,Miniature Schnauzer Mix,Silver,Adoption/
Dog,Neutered Male,1460,Pit Bull Mix,Pit Bull Mix,Brown,Adoption/Foster
Dog,Neutered Male,730,Yorkshire Terrier Mix,Yorkshire Terrier Mix,Black/Red,Return_to_owner/
Dog,Neutered Male,365,Great Pyrenees Mix,Great Pyrenees Mix,White/Cream,Return_to_owner/
Cat,Neutered Male,90,Domestic Shorthair Mix,Domestic Shorthair Mix,Orange Tabby/White,Adoption/Foster
Cat,Intact Male,21,Domestic Shorthair Mix,Domestic Shorthair Mix,Brown Tabby,Transfer/Partner
Dog,Intact Female,14,Pit Bull Mix,Pit Bull Mix,Brown/White,Transfer/Partner
Cat,Intact Female,730,Angora Mix,Angora Mix,White,Transfer/Partner
Dog,Neutered Male,365,Flat Coat Retriever Mix,Flat Coat Retriever Mix,Black,Return_to_owner/
Dog,Intact Male,60,Queensland Heeler Mix,Queensland Heeler Mix,Black/White,Transfer/Partner
Cat,Spayed Female,365,Domestic Shorthair Mix,Domestic Shorthair Mix,White,Transfer/Partner
Dog,Spayed Female,730,Plott Hound,Boxer,Brown Brindle/White,Adoption/
Dog,Neutered Male,300,German Shepherd Mix,German Shepherd Mix,Brown/White,Adoption/
Dog,Neutered Male,60,German Shepherd Mix,German Shepherd Mix,Black/Brown,Return_to_owner/
Cat,Intact Female,30,Domestic Shorthair Mix,Domestic Shorthair Mix,Orange Tabby,Transfer/Partner
Dog,Spayed Female,180,American Staffordshire Terrier Mix,American Staffordshire Terrier Mix,Chocolate/White,Adoption/
Dog,Spayed Female,1825,Chihuahua Shorthair Mix,Chihuahua Shorthair Mix,White/Tan,Adoption/
Cat,Spayed Female,60,Domestic Shorthair Mix,Domestic Shorthair Mix,Cream Tabby/White,Adoption/
Cat,Neutered Male,2555,Russian Blue Mix,Russian Blue Mix,Blue,Return_to_owner/
Cat,Spayed Female,1095,Domestic Shorthair Mix,Domestic Shorthair Mix,Calico,Euthanasia/Suffering
Dog,Intact Male,120,Labrador Retriever Mix,Labrador Retriever Mix,Black/White,Transfer/Partner
Cat,Spayed Female,60,Domestic Shorthair Mix,Domestic Shorthair Mix,Torbie,Adoption/
Dog,Neutered Male,1825,Collie Smooth,German Shepherd,Brown/Black,Return_to_owner/
Dog,Neutered Male,1095,Chihuahua Shorthair Mix,Chihuahua Shorthair Mix,Brown,Transfer/Partner
Dog,Intact Male,1095,Labrador Retriever Mix,Labrador Retriever Mix,Yellow,Euthanasia/Suffering
Dog,Neutered Male,1095,Pit Bull Mix,Pit Bull Mix,Brown/White,Return_to_owner/
Cat,Intact Male,60,Domestic Shorthair Mix,Domestic Shorthair Mix,Blue/White,Transfer/Partner
Cat,Neutered Male,120,Domestic Shorthair Mix,Domestic Shorthair Mix,Black/White,Transfer/Partner
Cat,Intact Male,21,Domestic Shorthair Mix,Domestic Shorthair Mix,Brown Tabby,Transfer/Partner
Cat,Spayed Female,2555,Domestic Shorthair Mix,Domestic Shorthair Mix,Blue Tabby,Adoption/
Cat,Intact Male,60,Domestic Shorthair Mix,Domestic Shorthair Mix,Orange Tabby,Transfer/Partner
Cat,Intact Female,60,Domestic Shorthair Mix,Domestic Shorthair Mix,Brown Tabby,Transfer/Partner
Cat,Intact Male,1460,Domestic Longhair Mix,Domestic Longhair Mix,Black/White,Transfer/SCRP
Cat,Neutered Male,730,Domestic Shorthair Mix,Domestic Shorthair Mix,Black/White,Adoption/
Dog,Neutered Male,4380,Beagle,Beagle,Tricolor,Return_to_owner/
Cat,Spayed Female,3285,Domestic Shorthair Mix,Domestic Shorthair Mix,White/Black,Return_to_owner/
Cat,Intact Female,21,Domestic Shorthair Mix,Domestic Shorthair Mix,Black,Transfer/Partner
Dog,Spayed Female,150,German Shepherd Mix,German Shepherd Mix,Black/Brown,Adoption/
Dog,Intact Male,2190,Pit Bull,Labrador Retriever,Chocolate/White,Euthanasia/Aggressive
Cat,Intact Female,365,Domestic Shorthair Mix,Domestic Shorthair Mix,Tortie,Transfer/SCRP
Cat,Spayed Female,90,Domestic Shorthair Mix,Domestic Shorthair Mix,Brown Tabby,Adoption/
Cat,Intact Female,21,Domestic Shorthair Mix,Domestic Shorthair Mix,Blue Tabby/White,Transfer/Partner
Dog,Neutered Male,730,Blue Lacy Mix,Blue Lacy Mix,Gray/White,Adoption/
Cat,Spayed Female,60,Domestic Shorthair Mix,Domestic Shorthair Mix,Orange Tabby/White,Adoption/
Cat,Intact Male,7,Domestic Shorthair Mix,Domestic Shorthair Mix,Black,Transfer/Partner
Cat,Spayed Female,60,Domestic Shorthair Mix,Domestic Shorthair Mix,Calico,Adoption/
Dog,Intact Male,365,Chihuahua Shorthair Mix,Chihuahua Shorthair Mix,Tan,Transfer/Partner
