Dataset,Attribute,Criterion Difference Name,Paired t-statistics on Accuracy with Missing Values,Degrees of Freedom of Accuracy with Missing Values,P-value t-statistics on Accuracy with Missing Values,Paired t-statistics on Accuracy without Missing Values,Degrees of Freedom of Accuracy without Missing Values,P-value t-statistics on Accuracy without Missing Values,Paired t-statistics on Number of Nodes,Degrees of Freedom of Number of Nodes,P-value t-statistics on Number of Nodes
KDD98 Multiclass 2,None,Conditional Inference Tree LS Squared Gini - Conditional Inference Tree LS Chi Square,4.457724799389259,19,0.000134941629783,4.874108743221045,19,5.2688439269e-05,-9.919791825511636,19,0.999999997004
KDD98 Multiclass 2,None,Conditional Inference Tree LS Squared Gini - Conditional Inference Tree Twoing,9.5239843545435,19,5.73904723744e-09,10.899407546541251,19,6.45899111973e-10,-19.3475749542877,19,1.0
KDD98 Multiclass 2,None,Conditional Inference Tree LS Chi Square - Conditional Inference Tree Twoing,3.646237767077417,19,0.000858894855171,4.4694077410199595,19,0.000131408259285,-11.319939776083073,19,0.999999999655
Cars with Aggreg,None,Conditional Inference Tree LS Squared Gini - Conditional Inference Tree LS Chi Square,-14.274341354158448,19,0.999999999993,-14.274341354158448,19,0.999999999993,39.257219849930195,19,0.0
Cars with Aggreg,None,Conditional Inference Tree LS Squared Gini - Conditional Inference Tree Twoing,-12.937751423552767,19,0.999999999964,-12.937751423552767,19,0.999999999964,40.0792255438444,19,0.0
Cars with Aggreg,None,Conditional Inference Tree LS Chi Square - Conditional Inference Tree Twoing,0.7606234930623048,19,0.228109169304,0.7606234930623048,19,0.228109169304,-2.015114392786882,19,0.970868226296
Cover Type,None,Conditional Inference Tree LS Squared Gini - Conditional Inference Tree LS Chi Square,0.0,19,0.5,0.0,19,0.5,0.0,19,0.5
Cover Type,None,Conditional Inference Tree LS Squared Gini - Conditional Inference Tree Twoing,0.0,19,0.5,0.0,19,0.5,0.0,19,0.5
Cover Type,None,Conditional Inference Tree LS Chi Square - Conditional Inference Tree Twoing,0.0,19,0.5,0.0,19,0.5,0.0,19,0.5
Poker Hand,None,Conditional Inference Tree LS Squared Gini - Conditional Inference Tree LS Chi Square,-3.820438127975374,19,0.9994226854,-3.820438127975374,19,0.9994226854,3.693319878456571,19,0.000771530881313
Poker Hand,None,Conditional Inference Tree LS Squared Gini - Conditional Inference Tree Twoing,-4.849690176620597,19,0.999944343067,-4.849690176620597,19,0.999944343067,0.9999999999968339,19,0.164938400461
