Date Time,Dataset,Total Number of Samples,Trial Number,Criterion,Maximum Depth Allowed,Number of folds,Is stratified?,Use Numeric Attributes?,Number of Samples Forcing a Leaf,Use Min Samples in Second Largest Class?,Min Samples in Second Largest Class,Uses Chi-Square Test,Maximum p-value Allowed by Chi-Square Test [between 0 and 1],Minimum Number in Second Most Frequent Value,Average Number of Valid Attributes in Root Node (m),Average Number of Valid Nominal Attributes in Root Node (m_nom),Average Number of Valid Numeric Attributes in Root Node (m_num),Total Time Taken for Cross-Validation [s],Accuracy Percentage on Trivial Trees (with no splits),Accuracy Percentage (with missing values),Accuracy Percentage (without missing values),Number of Samples Classified using Unkown Value,Percentage of Samples with Unkown Values for Accepted Attribute,Average Number of Values of Attribute Chosen at Root Node,Maximum Number of Values of Attribute Chosen at Root Node,Minimum Number of Values of Attribute Chosen at Root Node,Number of Trivial Splits [between 0 and number of folds],Average Number of Nodes (after prunning),Maximum Number of Nodes (after prunning),Minimum Number of Nodes (after prunning),Average Tree Depth (after prunning),Maximum Tree Depth (after prunning),Minimum Tree Depth (after prunning),Average Number of Nodes Pruned
2017-05-10 13:06:35.060724,Adult Census Income,30162,1,Twoing,5,3,True,True,1,False,None,True,0.1,15,14.0,8.0,6.0,5.599116838999976,75.10775147536636,84.3246469067038,84.32432432432432,7,0.023208010078907233,6.0,6,6,0,41.6666666667,45,39,5.0,5,5,20.0
2017-05-10 13:06:40.348194,Adult Census Income,30162,2,Twoing,5,3,True,True,1,False,None,True,0.1,15,14.0,8.0,6.0,5.286316630999977,75.10775147536636,84.35117034679398,84.35541109747604,11,0.03646973012399708,6.0,6,6,0,34.3333333333,37,31,5.0,5,5,24.6666666667
2017-05-10 13:06:45.524633,Adult Census Income,30162,3,Twoing,5,3,True,True,1,False,None,True,0.1,15,14.0,8.0,6.0,5.175451447,75.10775147536636,84.31470061666998,84.31385554155337,8,0.026523440090179696,6.0,6,6,0,39.0,41,37,5.0,5,5,21.3333333333
2017-05-10 13:06:50.709466,Adult Census Income,30162,4,Twoing,5,3,True,True,1,False,None,True,0.1,15,14.0,8.0,6.0,5.183829162000052,75.10775147536636,84.10582852595982,84.10650926816328,5,0.01657715005636231,6.0,6,6,0,34.3333333333,39,31,5.0,5,5,21.3333333333
2017-05-10 13:06:55.793064,Adult Census Income,30162,5,Twoing,5,3,True,True,1,False,None,True,0.1,15,14.0,8.0,6.0,5.082676893999974,75.10775147536636,84.18871427624163,84.18661714967836,4,0.013261720045089848,6.0,6,6,0,39.0,45,35,5.0,5,5,20.6666666667
2017-05-10 13:07:00.889637,Adult Census Income,30162,6,Twoing,5,3,True,True,1,False,None,True,0.1,15,14.0,8.0,6.0,5.095524863000037,75.10775147536636,84.022942775678,84.01923395788427,7,0.023208010078907233,6.0,6,6,0,39.0,45,33,5.0,5,5,20.6666666667
2017-05-10 13:07:06.198700,Adult Census Income,30162,7,Twoing,5,3,True,True,1,False,None,True,0.1,15,14.0,8.0,6.0,5.308100351999997,75.10775147536636,84.27160002652344,84.2730167153091,10,0.03315430011272462,6.0,6,6,0,41.0,43,39,5.0,5,5,18.0
2017-05-10 13:07:11.491003,Adult Census Income,30162,8,Twoing,5,3,True,True,1,False,None,True,0.1,15,14.0,8.0,6.0,5.291323489999968,75.10775147536636,84.3246469067038,84.32256780953644,4,0.013261720045089848,6.0,6,6,0,39.6666666667,41,39,5.0,5,5,20.0
2017-05-10 13:07:16.569563,Adult Census Income,30162,9,Twoing,5,3,True,True,1,False,None,True,0.1,15,14.0,8.0,6.0,5.0775972930000535,75.10775147536636,84.08925137590346,84.09045692685191,4,0.013261720045089848,6.0,6,6,0,35.0,39,31,5.0,5,5,24.0
2017-05-10 13:07:21.828636,Adult Census Income,30162,10,Twoing,5,3,True,True,1,False,None,True,0.1,15,14.0,8.0,6.0,5.258000274999972,75.10775147536636,84.4340560970758,84.43147527937128,5,0.01657715005636231,6.0,6,6,0,40.3333333333,43,37,5.0,5,5,18.0
