Date Time,Dataset,Total Number of Samples,Trial Number,Criterion,Maximum Depth Allowed,Number of folds,Is stratified?,Use Numeric Attributes?,Number of Samples Forcing a Leaf,Use Min Samples in Second Largest Class?,Min Samples in Second Largest Class,Uses Chi-Square Test,Maximum p-value Allowed by Chi-Square Test [between 0 and 1],Minimum Number in Second Most Frequent Value,Average Number of Valid Attributes in Root Node (m),Average Number of Valid Nominal Attributes in Root Node (m_nom),Average Number of Valid Numeric Attributes in Root Node (m_num),Total Time Taken for Cross-Validation [s],Accuracy Percentage on Trivial Trees (with no splits),Accuracy Percentage (with missing values),Accuracy Percentage (without missing values),Number of Samples Classified using Unkown Value,Percentage of Samples with Unkown Values for Accepted Attribute,Average Number of Values of Attribute Chosen at Root Node,Maximum Number of Values of Attribute Chosen at Root Node,Minimum Number of Values of Attribute Chosen at Root Node,Number of Trivial Splits [between 0 and number of folds],Average Number of Nodes (after prunning),Maximum Number of Nodes (after prunning),Minimum Number of Nodes (after prunning),Average Tree Depth (after prunning),Maximum Tree Depth (after prunning),Minimum Tree Depth (after prunning),Average Number of Nodes Pruned
2017-05-05 18:10:23.106477,Adult Census Income,32561,1,Twoing,5,3,True,False,1,False,None,True,0.1,15,8.0,8.0,0.0,2.490127258999564,75.91904425539757,82.56196062774485,82.5660725261217,21,0.06449433371210958,6.0,6,6,0,35.0,43,25,5.0,5,5,23.3333333333
2017-05-05 18:10:25.591813,Adult Census Income,32561,2,Twoing,5,3,True,False,1,False,None,True,0.1,15,8.0,8.0,0.0,2.4841942179991747,75.91904425539757,82.57731642148583,82.61163734776726,45,0.13820214366880623,6.0,6,6,0,29.6666666667,33,27,5.0,5,5,28.0
2017-05-05 18:10:28.081517,Adult Census Income,32561,3,Twoing,5,3,True,False,1,False,None,True,0.1,15,8.0,8.0,0.0,2.4885246739995637,75.91904425539757,82.72473204139922,82.72970233158235,8,0.024569269985565554,6.0,6,6,0,33.6666666667,35,31,5.0,5,5,24.6666666667
2017-05-05 18:10:30.609469,Adult Census Income,32561,4,Twoing,5,3,True,False,1,False,None,True,0.1,15,8.0,8.0,0.0,2.5267236979998415,75.91904425539757,82.46982586529897,82.48709122203098,25,0.07677896870489236,6.0,6,6,0,33.0,39,29,5.0,5,5,25.3333333333
2017-05-05 18:10:33.084558,Adult Census Income,32561,5,Twoing,5,3,True,False,1,False,None,True,0.1,15,8.0,8.0,0.0,2.4739885429989954,75.91904425539757,82.39918921409047,82.40427754901359,19,0.05835201621571819,6.0,6,6,0,32.3333333333,35,29,5.0,5,5,24.0
2017-05-05 18:10:35.569460,Adult Census Income,32561,6,Twoing,5,3,True,False,1,False,None,True,0.1,15,8.0,8.0,0.0,2.483576227999947,75.91904425539757,82.65409539019072,82.66642080029504,23,0.07063665120850096,6.0,6,6,0,31.6666666667,33,31,5.0,5,5,27.3333333333
2017-05-05 18:10:38.124636,Adult Census Income,32561,7,Twoing,5,3,True,False,1,False,None,True,0.1,15,8.0,8.0,0.0,2.553839292999328,75.91904425539757,82.58960105647861,82.59333230911047,16,0.04913853997113111,6.0,6,6,0,31.6666666667,35,27,5.0,5,5,26.6666666667
2017-05-05 18:10:40.973660,Adult Census Income,32561,8,Twoing,5,3,True,False,1,False,None,True,0.1,15,8.0,8.0,0.0,2.8477185030005785,75.91904425539757,82.56810294524124,82.58290561514583,24,0.07370780995669667,6.0,6,6,0,31.6666666667,39,25,5.0,5,5,26.6666666667
2017-05-05 18:10:43.535022,Adult Census Income,32561,9,Twoing,5,3,True,False,1,False,None,True,0.1,15,8.0,8.0,0.0,2.5601748160006537,75.91904425539757,82.71244740640644,82.72215903851473,28,0.08599244494947944,6.0,6,6,0,34.3333333333,37,31,5.0,5,5,24.6666666667
2017-05-05 18:10:46.025747,Adult Census Income,32561,10,Twoing,5,3,True,False,1,False,None,True,0.1,15,8.0,8.0,0.0,2.4890289119994122,75.91904425539757,82.78001289886674,82.78436674245683,15,0.04606738122293541,6.0,6,6,0,30.3333333333,33,29,5.0,5,5,27.3333333333
2017-05-05 18:10:48.534204,Adult Census Income,32561,11,Twoing,5,3,True,False,1,False,None,True,0.1,15,8.0,8.0,0.0,2.507306843999686,75.91904425539757,82.78308405761494,82.78638151425763,17,0.052209698719326805,6.0,6,6,0,30.3333333333,31,29,5.0,5,5,28.0
2017-05-05 18:10:51.041600,Adult Census Income,32561,12,Twoing,5,3,True,False,1,False,None,True,0.1,15,8.0,8.0,0.0,2.5018091460005962,75.91904425539757,82.46982586529897,82.47565209376633,12,0.03685390497834833,6.0,6,6,0,31.6666666667,37,27,5.0,5,5,24.6666666667
2017-05-05 18:10:53.507509,Adult Census Income,32561,13,Twoing,5,3,True,False,1,False,None,True,0.1,15,8.0,8.0,0.0,2.464522025000406,75.91904425539757,82.72473204139922,82.7420842299416,31,0.09520592119406653,6.0,6,6,0,31.6666666667,35,27,5.0,5,5,26.0
2017-05-05 18:10:56.056095,Adult Census Income,32561,14,Twoing,5,3,True,False,1,False,None,True,0.1,15,8.0,8.0,0.0,2.5473209289993974,75.91904425539757,82.6694511839317,82.67924644273026,22,0.06756549246030527,6.0,6,6,0,31.6666666667,35,29,5.0,5,5,28.6666666667
2017-05-05 18:10:58.538039,Adult Census Income,32561,15,Twoing,5,3,True,False,1,False,None,True,0.1,15,8.0,8.0,0.0,2.480884126998717,75.91904425539757,82.70937624765824,82.72280270436386,21,0.06449433371210958,6.0,6,6,0,29.6666666667,37,25,5.0,5,5,27.3333333333
2017-05-05 18:11:01.041770,Adult Census Income,32561,16,Twoing,5,3,True,False,1,False,None,True,0.1,15,8.0,8.0,0.0,2.5024164330006897,75.91904425539757,82.34390835662295,82.35276035903111,29,0.08906360369767513,6.0,6,6,0,33.0,37,29,5.0,5,5,28.0
2017-05-05 18:11:03.581661,Adult Census Income,32561,17,Twoing,5,3,True,False,1,False,None,True,0.1,15,8.0,8.0,0.0,2.5388261930002045,75.91904425539757,82.49132397653635,82.48832350049165,17,0.052209698719326805,6.0,6,6,0,35.0,39,33,5.0,5,5,23.3333333333
2017-05-05 18:11:06.139063,Adult Census Income,32561,18,Twoing,5,3,True,False,1,False,None,True,0.1,15,8.0,8.0,0.0,2.5561695540000073,75.91904425539757,82.77387058137035,82.78585256429955,18,0.055280857467522496,6.0,6,6,0,31.6666666667,35,29,5.0,5,5,28.0
2017-05-05 18:11:08.807679,Adult Census Income,32561,19,Twoing,5,3,True,False,1,False,None,True,0.1,15,8.0,8.0,0.0,2.6670892109996203,75.91904425539757,82.21491968919874,82.2392279795931,23,0.07063665120850096,6.0,6,6,0,30.3333333333,31,29,5.0,5,5,28.6666666667
2017-05-05 18:11:11.739190,Adult Census Income,32561,20,Twoing,5,3,True,False,1,False,None,True,0.1,15,8.0,8.0,0.0,2.9304925379983615,75.91904425539757,82.43604311906883,82.44821439547606,23,0.07063665120850096,6.0,6,6,0,28.3333333333,29,27,5.0,5,5,29.3333333333
2017-05-05 18:11:14.681783,Adult Census Income,32561,1,LS Squared Gini,5,3,True,False,1,False,None,True,0.1,15,8.0,8.0,0.0,2.9412471110008482,75.91904425539757,82.25177359417708,82.25628109834757,3,0.009213476244587083,6.0,6,6,0,9.66666666667,11,9,4.33333333333,5,4,53.3333333333
2017-05-05 18:11:17.326300,Adult Census Income,32561,2,LS Squared Gini,5,3,True,False,1,False,None,True,0.1,15,8.0,8.0,0.0,2.6437906850005675,75.91904425539757,82.25791591167348,82.26044226044226,1,0.0030711587481956942,6.0,6,6,0,12.3333333333,17,9,4.66666666667,5,4,50.6666666667
2017-05-05 18:11:19.961252,Adult Census Income,32561,3,LS Squared Gini,5,3,True,False,1,False,None,True,0.1,15,8.0,8.0,0.0,2.63421429400114,75.91904425539757,82.33162372163017,82.33415233415234,1,0.0030711587481956942,6.0,6,6,0,10.3333333333,13,9,4.33333333333,5,4,52.6666666667
2017-05-05 18:11:22.609389,Adult Census Income,32561,4,LS Squared Gini,5,3,True,False,1,False,None,True,0.1,15,8.0,8.0,0.0,2.647432005000155,75.91904425539757,82.19956389545776,82.20208845208845,1,0.0030711587481956942,6.0,6,6,0,13.0,15,9,4.66666666667,5,4,50.0
2017-05-05 18:11:25.301808,Adult Census Income,32561,5,LS Squared Gini,5,3,True,False,1,False,None,True,0.1,15,8.0,8.0,0.0,2.6916672570005176,75.91904425539757,82.29476981665182,82.29928128263407,3,0.009213476244587083,6.0,6,6,0,11.0,15,9,4.33333333333,5,4,52.0
2017-05-05 18:11:27.964150,Adult Census Income,32561,6,LS Squared Gini,5,3,True,False,1,False,None,True,0.1,15,8.0,8.0,0.0,2.661686526000267,75.91904425539757,82.19035041921317,82.19539912159465,2,0.0061423174963913885,6.0,6,6,0,10.3333333333,11,9,4.66666666667,5,4,52.6666666667
2017-05-05 18:11:30.600133,Adult Census Income,32561,7,LS Squared Gini,5,3,True,False,1,False,None,True,0.1,15,8.0,8.0,0.0,2.635273027000949,75.91904425539757,82.24870243542888,82.2512285012285,1,0.0030711587481956942,6.0,6,6,0,11.6666666667,15,9,4.66666666667,5,4,51.3333333333
2017-05-05 18:11:33.377627,Adult Census Income,32561,8,LS Squared Gini,5,3,True,False,1,False,None,True,0.1,15,8.0,8.0,0.0,2.7766404770009103,75.91904425539757,82.29169865790362,82.29422604422605,1,0.0030711587481956942,6.0,6,6,0,11.6666666667,15,9,4.66666666667,5,4,51.3333333333
2017-05-05 18:11:36.339079,Adult Census Income,32561,9,LS Squared Gini,5,3,True,False,1,False,None,True,0.1,15,8.0,8.0,0.0,2.9603389740004786,75.91904425539757,82.32548140413378,82.32800982800983,1,0.0030711587481956942,6.0,6,6,0,11.0,15,9,4.33333333333,5,4,52.0
2017-05-05 18:11:39.897566,Adult Census Income,32561,10,LS Squared Gini,5,3,True,False,1,False,None,True,0.1,15,8.0,8.0,0.0,3.557654246000311,75.91904425539757,82.2456312766807,82.24815724815724,1,0.0030711587481956942,6.0,6,6,0,11.0,15,9,4.33333333333,5,4,52.0
2017-05-05 18:11:42.848722,Adult Census Income,32561,11,LS Squared Gini,5,3,True,False,1,False,None,True,0.1,15,8.0,8.0,0.0,2.950247513999784,75.91904425539757,82.3776911028531,82.38221020947232,3,0.009213476244587083,6.0,6,6,0,9.66666666667,11,9,4.33333333333,5,4,53.3333333333
2017-05-05 18:11:46.048073,Adult Census Income,32561,12,LS Squared Gini,5,3,True,False,1,False,None,True,0.1,15,8.0,8.0,0.0,3.198589214000094,75.91904425539757,82.31626792788919,82.31879606879608,1,0.0030711587481956942,6.0,6,6,0,10.3333333333,11,9,4.66666666667,5,4,52.6666666667
2017-05-05 18:11:49.140037,Adult Census Income,32561,13,LS Squared Gini,5,3,True,False,1,False,None,True,0.1,15,8.0,8.0,0.0,3.091242667000188,75.91904425539757,82.21799084794694,82.22249523926531,3,0.009213476244587083,6.0,6,6,0,12.3333333333,17,9,4.66666666667,5,4,50.6666666667
2017-05-05 18:11:51.799669,Adult Census Income,32561,14,LS Squared Gini,5,3,True,False,1,False,None,True,0.1,15,8.0,8.0,0.0,2.658923669001524,75.91904425539757,82.25484475292528,82.257371007371,1,0.0030711587481956942,6.0,6,6,0,11.0,15,9,4.33333333333,5,4,52.0
2017-05-05 18:11:54.564215,Adult Census Income,32561,15,LS Squared Gini,5,3,True,False,1,False,None,True,0.1,15,8.0,8.0,0.0,2.763168632000088,75.91904425539757,82.32548140413378,82.32800982800983,1,0.0030711587481956942,6.0,6,6,0,10.3333333333,11,9,4.66666666667,5,4,52.6666666667
2017-05-05 18:11:57.284278,Adult Census Income,32561,16,LS Squared Gini,5,3,True,False,1,False,None,True,0.1,15,8.0,8.0,0.0,2.7190626399988105,75.91904425539757,82.30091213414822,82.3034398034398,1,0.0030711587481956942,6.0,6,6,0,11.6666666667,17,9,4.33333333333,5,4,51.3333333333
2017-05-05 18:11:59.965562,Adult Census Income,32561,17,LS Squared Gini,5,3,True,False,1,False,None,True,0.1,15,8.0,8.0,0.0,2.6805340069986414,75.91904425539757,82.17806578422038,82.18004238459412,2,0.0061423174963913885,6.0,6,6,0,14.3333333333,17,11,5.0,5,5,48.6666666667
2017-05-05 18:12:02.623017,Adult Census Income,32561,18,LS Squared Gini,5,3,True,False,1,False,None,True,0.1,15,8.0,8.0,0.0,2.6566719359998388,75.91904425539757,82.35619299161574,82.35872235872236,1,0.0030711587481956942,6.0,6,6,0,9.0,9,9,4.0,4,4,54.0
