Dataset,Attribute,Criterion Difference Name,Paired t-statistics on Accuracy with Missing Values,Degrees of Freedom of Accuracy with Missing Values,P-value t-statistics on Accuracy with Missing Values,Paired t-statistics on Accuracy without Missing Values,Degrees of Freedom of Accuracy without Missing Values,P-value t-statistics on Accuracy without Missing Values,Paired t-statistics on Number of Nodes,Degrees of Freedom of Number of Nodes,P-value t-statistics on Number of Nodes
Adult Census Income,None,LS Squared Gini - Twoing,-7.67052366929986,19,0.999999844395,-7.930686586392009,19,0.999999904664,-50.159931867284556,1.0,19
Adult Census Income,None,LS Squared Gini - LS Chi Square,-15.840465643121668,19,0.999999999999,-16.048741847427483,19,0.999999999999,-30.512292604732007,1.0,19
Adult Census Income,None,Twoing - LS Chi Square,-1.3000680509714606,19,0.895435677192,-1.1283272588362065,19,0.863385839646,7.046349595963788,5.23093731331e-07,19
Nursery with Aggreg,None,LS Squared Gini - Twoing,-4.457621565887951,19,0.999865026725,-4.457621565887951,19,0.999865026725,13.854309212887514,1.10383924223e-11,19
Nursery with Aggreg,None,LS Squared Gini - LS Chi Square,11.28081995751579,19,3.65218633114e-10,11.28081995751579,19,3.65218633114e-10,8.725011622394423,2.25682638133e-08,19
Nursery with Aggreg,None,Twoing - LS Chi Square,12.87901246867392,19,3.89028809167e-11,12.87901246867392,19,3.89028809167e-11,-4.000000000098682,0.999616903831,19
KDD98 Multiclass 9,None,LS Squared Gini - Twoing,-14.451672927875977,19,0.999999999995,-7.928320804228817,19,0.999999904242,10.90269195287623,6.42695341391e-10,19
KDD98 Multiclass 9,None,LS Squared Gini - LS Chi Square,-22.302612272053647,19,1.0,-9.666210322765306,19,0.999999995466,15.843492675706921,1.04727337913e-12,19
KDD98 Multiclass 9,None,Twoing - LS Chi Square,-4.865360929486172,19,0.999946267066,-2.97243736082205,19,0.996087745609,6.322162287922786,2.28075715947e-06,19
KDD98 Multiclass 2,None,LS Squared Gini - Twoing,4.3230379105301715,19,0.000183312527226,4.573232946310245,19,0.000103838115444,-6.254258535411517,0.999997372204,19
KDD98 Multiclass 2,None,LS Squared Gini - LS Chi Square,3.4605930262797995,19,0.00130964290783,3.2615743254044305,19,0.00205274683659,-3.8448655636193045,0.999454000779,19
KDD98 Multiclass 2,None,Twoing - LS Chi Square,-0.17263085402207845,19,0.567616375766,-0.5958882717247428,19,0.720858760682,2.1294404817322183,0.0232569246017,19
Contraceptive with Aggreg,None,LS Squared Gini - Twoing,3.52541790835802,19,0.00113052076179,3.5274384384489545,19,0.00112534506015,4.7304987494731305,7.27779113551e-05,19
Contraceptive with Aggreg,None,LS Squared Gini - LS Chi Square,1.8733879275257244,19,0.0382407875053,2.0037509876268933,19,0.0297831543208,2.092457497396436,0.0250280294043,19
Contraceptive with Aggreg,None,Twoing - LS Chi Square,-1.6156672412378927,19,0.938675055896,-1.57747712880008,19,0.934404890848,-2.586570064065008,0.990951973338,19
KDD98 Multiclass 5,None,LS Squared Gini - Twoing,-6.186140058972283,19,0.999996969183,-1.8946138095841611,19,0.963266709779,8.865880830073896,1.76270980035e-08,19
KDD98 Multiclass 5,None,LS Squared Gini - LS Chi Square,-7.619265905351566,19,0.999999828444,-5.055916647516252,19,0.999964910908,9.61689274994587,4.91871898767e-09,19
KDD98 Multiclass 5,None,Twoing - LS Chi Square,-3.929515348354531,19,0.999549979698,-6.760999143625918,19,0.999999073346,5.089848640085447,3.25360291806e-05,19
Nursery,None,LS Squared Gini - Twoing,1.4734096695730319,19,0.0785076971311,1.4734096695730319,19,0.0785076971311,-1.831103813679221,0.958593078708,19
Nursery,None,LS Squared Gini - LS Chi Square,2.2779314909370765,19,0.0172371820888,2.2779314909370765,19,0.0172371820888,-1.831103813679221,0.958593078708,19
Nursery,None,Twoing - LS Chi Square,3.3221597503467817,19,0.00179095802266,3.3221597503467817,19,0.00179095802266,0.0,0.5,19
Contraceptive,None,LS Squared Gini - Twoing,0.5141823449338355,19,0.306526653719,0.5769075758577173,19,0.285387359834,10.364903606168628,1.47277179341e-09,19
Contraceptive,None,LS Squared Gini - LS Chi Square,-0.4730803765442511,19,0.679227293049,-0.3600431457623594,19,0.638606973106,9.290705263910562,8.49157899552e-09,19
Contraceptive,None,Twoing - LS Chi Square,-1.1759145885723274,19,0.872923209359,-1.1242504672101925,19,0.862544771594,1.7000555928652548,0.0527163210625,19
Cars with Aggreg,None,LS Squared Gini - Twoing,3.0459904530835145,19,0.00332395128849,3.0459904530835145,19,0.00332395128849,42.332209313202625,0.0,19
Cars with Aggreg,None,LS Squared Gini - LS Chi Square,-6.3728644136506505,19,0.999997947328,-6.3728644136506505,19,0.999997947328,30.788261074535267,0.0,19
Cars with Aggreg,None,Twoing - LS Chi Square,-11.60171764334382,19,0.999999999771,-11.60171764334382,19,0.999999999771,-55.198814216288746,1.0,19
KDD98 Multiclass 3,None,LS Squared Gini - Twoing,-0.105823238038598,19,0.541584063042,2.011664135962287,19,0.0293281879777,0.9534437384871245,0.176169386558,19
KDD98 Multiclass 3,None,LS Squared Gini - LS Chi Square,-3.9953259041055333,19,0.999612791639,-4.082644934899748,19,0.999682802148,6.970438606642484,6.08384364109e-07,19
KDD98 Multiclass 3,None,Twoing - LS Chi Square,-3.2384658567294107,19,0.997837827408,-4.747540133794287,19,0.999929964619,4.156784160565075,0.000267806684984,19
Mushroom,None,LS Squared Gini - Twoing,-1.0,19,0.835061599539,-1.0,19,0.835061599539,0.0,0.5,19
Mushroom,None,LS Squared Gini - LS Chi Square,1.831103813679509,19,0.0414069212922,1.831103813679509,19,0.0414069212922,-47.947888376332116,1.0,19
Mushroom,None,Twoing - LS Chi Square,3.5590260840104366,19,0.00104741088198,3.5590260840104366,19,0.00104741088198,-74.10128203626851,1.0,19
Cover Type with Aggreg,None,LS Squared Gini - Twoing,-78.00599984535526,19,1.0,-78.00656463268952,19,1.0,-60.55899398754969,1.0,19
Cover Type with Aggreg,None,LS Squared Gini - LS Chi Square,1352.2717170639364,19,0.0,1349.5457071883404,19,0.0,147.51707620180258,0.0,19
Cover Type with Aggreg,None,Twoing - LS Chi Square,1.273829634780346e+16,19,0.0,271851.813458071,19,0.0,185.2293944650241,0.0,19
Cars,None,LS Squared Gini - Twoing,11.74562130976881,19,1.85868542779e-10,11.74562130976881,19,1.85868542779e-10,31.161697865937743,0.0,19
Cars,None,LS Squared Gini - LS Chi Square,11.745271402027536,19,1.85961579469e-10,11.745271402027536,19,1.85961579469e-10,35.858681940204015,0.0,19
Cars,None,Twoing - LS Chi Square,0.9969384949774655,19,0.165661226317,0.9969384949774655,19,0.165661226317,7.093963935912901,4.75999271554e-07,19
