Dataset,Attribute,Criterion,Number of times is statistically better with missing values,Number of times is statistically better without missing values,Number of times has statistically larger number of nodes
Adult Census Income,None,GW Chi Square,3,3,4
Adult Census Income,None,GW Squared Gini,1,1,3
Adult Census Income,None,LS Chi Square,4,4,0
Adult Census Income,None,LS Squared Gini,0,0,2
Adult Census Income,None,Twoing,2,2,1
Cars with Aggreg,None,GW Chi Square,0,0,4
Cars with Aggreg,None,GW Squared Gini,0,0,3
Cars with Aggreg,None,LS Chi Square,0,0,0
Cars with Aggreg,None,LS Squared Gini,0,0,2
Cars with Aggreg,None,Twoing,3,3,1
Contraceptive with Aggreg,None,GW Chi Square,0,0,4
Contraceptive with Aggreg,None,GW Squared Gini,1,1,3
Contraceptive with Aggreg,None,LS Chi Square,0,0,0
Contraceptive with Aggreg,None,LS Squared Gini,2,2,2
Contraceptive with Aggreg,None,Twoing,0,0,1
Cover Type with Aggreg,None,GW Chi Square,0,0,4
Cover Type with Aggreg,None,GW Squared Gini,2,2,3
Cover Type with Aggreg,None,LS Chi Square,1,1,0
Cover Type with Aggreg,None,LS Squared Gini,2,2,2
Cover Type with Aggreg,None,Twoing,4,4,1
KDD98 Multiclass 2,None,GW Chi Square,0,0,4
KDD98 Multiclass 2,None,GW Squared Gini,2,1,3
KDD98 Multiclass 2,None,LS Chi Square,0,0,0
KDD98 Multiclass 2,None,LS Squared Gini,1,1,2
KDD98 Multiclass 2,None,Twoing,0,0,1
KDD98 Multiclass 3,None,GW Chi Square,1,1,4
KDD98 Multiclass 3,None,GW Squared Gini,0,0,3
KDD98 Multiclass 3,None,LS Chi Square,0,0,0
KDD98 Multiclass 3,None,LS Squared Gini,0,0,2
KDD98 Multiclass 3,None,Twoing,0,0,1
KDD98 Multiclass 5,None,GW Chi Square,2,2,4
KDD98 Multiclass 5,None,GW Squared Gini,0,0,3
KDD98 Multiclass 5,None,LS Chi Square,2,2,0
KDD98 Multiclass 5,None,LS Squared Gini,0,0,2
KDD98 Multiclass 5,None,Twoing,2,2,1
KDD98 Multiclass 9,None,GW Chi Square,2,2,4
KDD98 Multiclass 9,None,GW Squared Gini,0,0,3
KDD98 Multiclass 9,None,LS Chi Square,3,2,0
KDD98 Multiclass 9,None,LS Squared Gini,0,0,2
KDD98 Multiclass 9,None,Twoing,2,2,1
Mushroom,None,GW Chi Square,3,2,4
Mushroom,None,GW Squared Gini,0,0,3
Mushroom,None,LS Chi Square,2,2,0
Mushroom,None,LS Squared Gini,0,0,2
Mushroom,None,Twoing,4,4,1
Nursery with Aggreg,None,GW Chi Square,3,3,4
Nursery with Aggreg,None,GW Squared Gini,1,1,3
Nursery with Aggreg,None,LS Chi Square,2,2,0
Nursery with Aggreg,None,LS Squared Gini,0,0,2
Nursery with Aggreg,None,Twoing,4,4,1
