Date Time,Dataset,Total Number of Samples,Trial Number,Criterion,Maximum Depth Allowed,Number of folds,Is stratified?,Use Numeric Attributes?,Number of Samples Forcing a Leaf,Use Min Samples in Second Largest Class?,Min Samples in Second Largest Class,Uses Chi-Square Test,Maximum p-value Allowed by Chi-Square Test [between 0 and 1],Minimum Number in Second Most Frequent Value,Average Number of Valid Attributes in Root Node (m),Average Number of Valid Nominal Attributes in Root Node (m_nom),Average Number of Valid Numeric Attributes in Root Node (m_num),Total Time Taken for Cross-Validation [s],Accuracy Percentage on Trivial Trees (with no splits),Accuracy Percentage (with missing values),Accuracy Percentage (without missing values),Number of Samples Classified using Unkown Value,Percentage of Samples with Unkown Values for Accepted Attribute,Average Number of Values of Attribute Chosen at Root Node,Maximum Number of Values of Attribute Chosen at Root Node,Minimum Number of Values of Attribute Chosen at Root Node,Number of Trivial Splits [between 0 and number of folds],Average Number of Nodes (after prunning),Maximum Number of Nodes (after prunning),Minimum Number of Nodes (after prunning),Average Tree Depth (after prunning),Maximum Tree Depth (after prunning),Minimum Tree Depth (after prunning),Average Number of Nodes Pruned
2017-05-03 17:00:18.415536,KDD98 Multiclass 3,2385,1,Twoing,5,3,True,False,1,False,None,True,0.1,40,47.0,47.0,0.0,1.81749565300197,41.467505241090144,65.40880503144655,65.61817387505461,96,4.0251572327044025,14.0,14,14,0,21.6666666667,23,21,5.0,5,5,8.0
2017-05-03 17:00:20.539945,KDD98 Multiclass 3,2385,2,Twoing,5,3,True,False,1,False,None,True,0.1,40,47.0,47.0,0.0,2.1232826200030104,41.467505241090144,64.40251572327044,64.66932978251221,132,5.534591194968553,14.0,14,14,0,19.6666666667,21,17,5.0,5,5,10.6666666667
2017-05-03 17:00:22.975393,KDD98 Multiclass 3,2385,3,Twoing,5,3,True,False,1,False,None,True,0.1,40,47.0,47.0,0.0,2.4342306690014084,41.467505241090144,65.40880503144655,65.86222027204914,106,4.444444444444445,14.0,14,14,0,21.6666666667,25,19,5.0,5,5,4.0
2017-05-03 17:00:25.889784,KDD98 Multiclass 3,2385,4,Twoing,5,3,True,False,1,False,None,True,0.1,40,47.0,47.0,0.0,2.9128875299975334,41.467505241090144,64.90566037735849,65.10393631136665,124,5.19916142557652,14.0,14,14,0,21.6666666667,27,17,4.66666666667,5,4,4.66666666667
2017-05-03 17:00:28.527863,KDD98 Multiclass 3,2385,5,Twoing,5,3,True,False,1,False,None,True,0.1,40,47.0,47.0,0.0,2.636895617000846,41.467505241090144,63.81551362683438,63.99294843543411,116,4.863731656184487,14.0,14,14,0,24.3333333333,31,19,5.0,5,5,2.66666666667
2017-05-03 17:00:30.713727,KDD98 Multiclass 3,2385,6,Twoing,5,3,True,False,1,False,None,True,0.1,40,47.0,47.0,0.0,2.1808884820020467,41.467505241090144,63.941299790356396,64.68500443655724,131,5.4926624737945495,14.0,14,14,0,20.3333333333,21,19,5.0,5,5,6.0
2017-05-03 17:00:32.922962,KDD98 Multiclass 3,2385,7,Twoing,5,3,True,False,1,False,None,True,0.1,40,47.0,47.0,0.0,2.2081607340005576,41.467505241090144,63.731656184486376,64.20680512593901,122,5.115303983228512,14.0,14,14,0,21.0,23,19,4.33333333333,5,4,8.0
2017-05-03 17:00:35.297701,KDD98 Multiclass 3,2385,8,Twoing,5,3,True,False,1,False,None,True,0.1,40,47.0,47.0,0.0,2.3733913750002102,41.467505241090144,61.84486373165618,61.70774647887324,113,4.737945492662474,14.0,14,14,0,18.3333333333,23,13,4.66666666667,5,4,8.66666666667
2017-05-03 17:00:37.898439,KDD98 Multiclass 3,2385,9,Twoing,5,3,True,False,1,False,None,True,0.1,40,47.0,47.0,0.0,2.59967819799931,41.467505241090144,65.53459119496856,65.74440052700922,108,4.528301886792453,14.0,14,14,0,19.6666666667,23,17,5.0,5,5,11.3333333333
2017-05-03 17:00:39.829472,KDD98 Multiclass 3,2385,10,Twoing,5,3,True,False,1,False,None,True,0.1,40,47.0,47.0,0.0,1.9298760679994302,41.467505241090144,63.480083857442345,64.04543468763653,96,4.0251572327044025,14.0,14,14,0,19.6666666667,23,17,4.66666666667,5,4,6.0
