Dataset,Attribute,Criterion Difference Name,Paired t-statistics on Accuracy with Missing Values,Degrees of Freedom of Accuracy with Missing Values,P-value t-statistics on Accuracy with Missing Values,Paired t-statistics on Accuracy without Missing Values,P-value t-statistics on Accuracy without Missing Values,Degrees of Freedom of Accuracy without Missing Values,Paired t-statistics on Number of Nodes,P-value t-statistics on Number of Nodes,Degrees of Freedom of Number of Nodes
Mushroom,None,LS Chi Square - Twoing,-13.63952696861116,9,0.999999871565,-13.63952696861116,9,0.999999871565,1.1078234188202898,0.148332518461,9
Mushroom,None,LS Chi Square - LS Squared Gini,5.284229075567966,9,0.000252135288068,5.284229075567966,9,0.000252135288068,12.174560238985931,3.4039756347e-07,9
Mushroom,None,LS Chi Square - GW Squared Gini,5.756193009427733,9,0.000137075071111,5.760627326508737,9,0.000136312211748,-7.980746061094079,0.999988717521,9
Mushroom,None,LS Chi Square - GW Chi Square,0.0,9,50.0,1.0,9,0.171718198069,-11.450794280587838,0.999999426782,9
Mushroom,None,Twoing - LS Squared Gini,18.832727943424537,9,7.71067976135e-09,18.832727943424537,9,7.71067976135e-09,37.31525923015831,1.7677304065e-11,9
Mushroom,None,Twoing - GW Squared Gini,19.600152809941015,9,5.42446176865e-09,19.603043352769266,9,5.41741684845e-09,-10.420553713579256,0.999998731543,9
Mushroom,None,Twoing - GW Chi Square,13.63952696861116,9,1.28434902158e-07,13.639724668537923,9,1.28418851997e-07,-12.508042525542573,0.999999729775,9
Mushroom,None,LS Squared Gini - GW Squared Gini,1.0,9,0.171718198069,1.0080688231210515,9,0.169876837502,-17.269666450372235,0.999999983501,9
Mushroom,None,LS Squared Gini - GW Chi Square,-5.284229075567966,9,0.999747864712,-5.280721371392623,9,0.999746690605,-17.140983683851186,0.999999982384,9
Mushroom,None,GW Squared Gini - GW Chi Square,-5.756193009427733,9,0.999862924929,-5.756409364826415,9,0.999862962257,-3.6870234959662427,0.99748975312,9
Cover Type with Aggreg,None,LS Chi Square - Twoing,-380.18347620319713,9,1.0,-379.341938670132,9,1.0,-54.69105524761155,0.999999999999,9
Cover Type with Aggreg,None,LS Chi Square - LS Squared Gini,-231.34396525527325,9,1.0,-231.4760365172612,9,1.0,-39.63523877906735,0.99999999999,9
Cover Type with Aggreg,None,LS Chi Square - GW Squared Gini,-67.21403048378784,9,1.0,-67.25102315518897,9,1.0,-20.22599587379659,0.999999995889,9
Cover Type with Aggreg,None,LS Chi Square - GW Chi Square,3.030082326724948,9,0.00712239447445,3.0300827996597217,9,0.00712238902003,4.668762383415506,0.000585317827026,9
Cover Type with Aggreg,None,Twoing - LS Squared Gini,12.805376553727193,9,2.20974945897e-07,12.805335135315248,9,2.20981074106e-07,20.24999999984178,4.06853051249e-09,9
Cover Type with Aggreg,None,Twoing - GW Squared Gini,4.548294192810513,9,0.000694662377532,4.548277241372018,9,0.000694679222315,8.541680031885502,6.53311654397e-06,9
Cover Type with Aggreg,None,Twoing - GW Chi Square,14.751160356697978,9,6.52197988948e-08,14.751402707332652,9,6.52105044407e-08,32.893699626422084,5.45894440762e-11,9
Cover Type with Aggreg,None,LS Squared Gini - GW Squared Gini,0.004873842882873782,9,0.49810878714,0.00488039907428975,9,0.498106243143,-0.9865585285831108,0.825181230895,9
Cover Type with Aggreg,None,LS Squared Gini - GW Chi Square,14.202627547838524,9,9.0562038535e-08,14.202922057026765,9,9.0545795528e-08,23.477231786646406,1.09961217909e-09,9
Cover Type with Aggreg,None,GW Squared Gini - GW Chi Square,13.688414592861983,9,1.2453273579e-07,13.688867343619684,9,1.24497216203e-07,20.71258315188527,3.33304395195e-09,9
Adult Census Income,None,LS Chi Square - Twoing,5.2511225000450725,9,0.000263455340861,5.418272015860895,9,0.000211395476909,-1.7116268185915582,0.939437967159,9
Adult Census Income,None,LS Chi Square - LS Squared Gini,9.931903726858323,9,1.89376817306e-06,10.179961422024487,9,1.54197873026e-06,9.399939248944202,2.98721168845e-06,9
Adult Census Income,None,LS Chi Square - GW Squared Gini,9.45107900756262,9,2.85650351928e-06,9.883951485690357,9,1.97150469172e-06,11.35607882654603,6.1499641224e-07,9
Adult Census Income,None,LS Chi Square - GW Chi Square,2.320291684551802,9,0.0227320461527,2.379571841679679,9,0.0206283175097,-1.4055638571345803,0.903288970218,9
Adult Census Income,None,Twoing - LS Squared Gini,5.9869314785457854,9,0.00010288662118,5.7907845336038495,9,0.000131244754075,11.484190346114705,5.59242911424e-07,9
Adult Census Income,None,Twoing - GW Squared Gini,3.5561986567409956,9,0.00307790954554,3.4165674096806886,9,0.00383473746893,11.584957884380293,5.19305005664e-07,9
Adult Census Income,None,Twoing - GW Chi Square,-2.5411523292270632,9,0.984174557891,-2.6814233512372025,9,0.987426320504,1.485562705397739,0.0857787963514,9
Adult Census Income,None,LS Squared Gini - GW Squared Gini,-3.862742641158538,9,0.998084507894,-3.898463309385294,9,0.99818605566,0.6904941785438343,0.253649132848,9
Adult Census Income,None,LS Squared Gini - GW Chi Square,-10.301548528030017,9,0.999998603601,-10.465102821220183,9,0.999998776065,-9.812391088220243,0.999997905867,9
Adult Census Income,None,GW Squared Gini - GW Chi Square,-12.592273063632808,9,0.999999744858,-12.647581289433148,9,0.999999754254,-11.387011531594469,0.999999399006,9
KDD98 Multiclass 3,None,LS Chi Square - Twoing,1.3359575313364502,9,0.107179340282,1.1473303864264994,9,0.140414511095,-6.0206825846445495,0.999901283456,9
KDD98 Multiclass 3,None,LS Chi Square - LS Squared Gini,-0.15198399186257977,9,0.558723982036,-0.1410146172058061,9,0.554517895161,7.812830638091383,1.33650521507e-05,9
KDD98 Multiclass 3,None,LS Chi Square - GW Squared Gini,0.604082821151121,9,0.280352581707,0.5736766369403749,9,0.29011877664,6.899548795828653,3.53525878529e-05,9
KDD98 Multiclass 3,None,LS Chi Square - GW Chi Square,-0.940855399196902,9,0.814327846235,-1.195402062660372,9,0.868761692843,-0.8107705982758446,0.78079464888,9
KDD98 Multiclass 3,None,Twoing - LS Squared Gini,-1.2732860970849935,9,0.882590537294,-1.1167727374752172,9,0.85349123667,11.762352705805938,4.56429221973e-07,9
KDD98 Multiclass 3,None,Twoing - GW Squared Gini,-0.9861612882944869,9,0.825088967797,-0.8848850505266009,9,0.800378983351,12.923076922992948,2.04295624306e-07,9
KDD98 Multiclass 3,None,Twoing - GW Chi Square,-2.2000024444485087,9,0.972329823903,-1.9872564092910545,9,0.960929407781,3.921702032980982,0.00175095073378,9
KDD98 Multiclass 3,None,LS Squared Gini - GW Squared Gini,1.0363644237234562,9,0.163537090081,0.9282615124607128,9,0.18874761145,2.3084104768825612e-11,0.499999999991,9
KDD98 Multiclass 3,None,LS Squared Gini - GW Chi Square,-0.690458900105543,9,0.746340291826,-0.8808656035642443,9,0.799349372057,-6.003344295468887,0.99989916468,9
KDD98 Multiclass 3,None,GW Squared Gini - GW Chi Square,-1.5749492317815765,9,0.925139530174,-1.677369209003631,9,0.936108469389,-8.805969882238141,0.999994899574,9
Contraceptive with Aggreg,None,LS Chi Square - Twoing,0.49440056057186127,9,0.316433117296,0.16375753947439853,9,0.436770233294,1.2377054955110458,0.123570461504,9
Contraceptive with Aggreg,None,LS Chi Square - LS Squared Gini,-5.45864965961443,9,0.999799435132,-5.512894655591905,9,0.999813050254,2.4922414822087844,0.0171478226382,9
Contraceptive with Aggreg,None,LS Chi Square - GW Squared Gini,-1.6910626300042624,9,0.937458889495,-1.9048872962487926,9,0.955405882873,1.3035722838837172,0.112368130656,9
Contraceptive with Aggreg,None,LS Chi Square - GW Chi Square,-1.3967204078274762,9,0.902009530061,-1.5342312216953045,9,0.920328946664,0.47368421052684073,0.323502337931,9
Contraceptive with Aggreg,None,Twoing - LS Squared Gini,-5.299348502964671,9,0.999752858629,-5.3028067035103055,9,0.999753985778,0.7717436331405804,0.230024491136,9
Contraceptive with Aggreg,None,Twoing - GW Squared Gini,-1.9096275740669857,9,0.955742828319,-1.8165148383215608,9,0.94866541939,0.115986700954527,0.455104934919,9
