Dataset,Attribute,Criterion Difference Name,Paired t-statistics on Accuracy with Missing Values,Degrees of Freedom of Accuracy with Missing Values,P-value t-statistics on Accuracy with Missing Values,Paired t-statistics on Accuracy without Missing Values,P-value t-statistics on Accuracy without Missing Values,Degrees of Freedom of Accuracy without Missing Values,Paired t-statistics on Number of Nodes,P-value t-statistics on Number of Nodes,Degrees of Freedom of Number of Nodes
Adult Census Income,None,LS Chi Square - LS Squared Gini,12.552435834199834,9,2.62156265807e-07,12.55538231187095,9,2.61630244469e-07,16.11225158578042,3.02601058655e-08,9
Adult Census Income,None,LS Chi Square - Twoing,-3.6637674918891214,9,0.99739751519,-3.6527367683318084,9,0.997352524722,2.560830185616311,0.0153226800219,9
Adult Census Income,None,LS Squared Gini - Twoing,-32.99628652388135,9,0.999999999947,-32.71024188453013,9,0.999999999943,-15.255865258963661,0.999999951305,9
KDD98 Multiclass 5,None,LS Chi Square - LS Squared Gini,4.778718124941244,9,0.000501534948037,4.952243970891397,9,0.000394434474101,17.499275002959358,1.4695559547e-08,9
KDD98 Multiclass 5,None,LS Chi Square - Twoing,4.029307778172354,9,0.00148803565107,2.9155149561016227,9,0.00857828505937,-4.840202066214052,0.999539617225,9
KDD98 Multiclass 5,None,LS Squared Gini - Twoing,-2.9649638385791715,9,0.992084317195,-3.7965712908449034,9,0.997880183831,-11.985075947036817,0.999999610903,9
KDD98 Multiclass 2,None,LS Chi Square - LS Squared Gini,3.938303431444663,9,0.00170736963111,3.6924845199984233,9,0.00248909034017,17.194289299744725,1.71432548157e-08,9
KDD98 Multiclass 2,None,LS Chi Square - Twoing,-1.000340274952003,9,0.828359756115,-0.8377303173935703,9,0.788065025127,1.765247053354831,0.0556689084634,9
KDD98 Multiclass 2,None,LS Squared Gini - Twoing,-4.8849525958851014,9,0.999567280671,-4.807175825135578,9,0.999517983529,-13.650996053331202,0.999999872493,9
Cover Type with Aggreg,None,LS Chi Square - LS Squared Gini,-231.34396525527325,9,1.0,-231.4760365172612,9,1.0,-39.63523877906735,0.99999999999,9
Cover Type with Aggreg,None,LS Chi Square - Twoing,-380.18347620319713,9,1.0,-379.341938670132,9,1.0,-54.69105524761155,0.999999999999,9
Cover Type with Aggreg,None,LS Squared Gini - Twoing,-12.805376553727193,9,0.999999779025,-12.805335135315248,9,0.999999779019,-20.24999999984178,0.999999995931,9
Cars with Aggreg,None,LS Chi Square - LS Squared Gini,-1.399117206501643,9,0.902357720018,-1.399117206501643,9,0.902357720018,4.685926804268747,0.000571305472644,9
Cars with Aggreg,None,LS Chi Square - Twoing,-6.366218513638996,9,0.999934822104,-6.366218513638996,9,0.999934822104,-4.714285714255977,0.999451062918,9
Cars with Aggreg,None,LS Squared Gini - Twoing,-1.7141132283752218,9,0.93967333111,-1.7141132283752218,9,0.93967333111,-8.74802550931316,0.999994617885,9
KDD98 Multiclass 3,None,LS Chi Square - LS Squared Gini,4.780600883348866,9,0.000500217717039,5.432733587363794,9,0.000207445346638,16.762385822848454,2.14185532643e-08,9
KDD98 Multiclass 3,None,LS Chi Square - Twoing,3.951309919807897,9,0.00167402873822,2.986584553053855,9,0.00764269116495,-0.14002800838838503,0.554139228804,9
KDD98 Multiclass 3,None,LS Squared Gini - Twoing,0.1726422682834531,9,0.433376339836,-0.6674883645187557,9,0.739397024747,-23.337820081426614,0.999999998841,9
KDD98 Multiclass 9,None,LS Chi Square - LS Squared Gini,5.5948867693762345,9,0.000168234261067,5.489146337666627,9,0.000192783099731,0.7890763647717748,0.225176642518,9
KDD98 Multiclass 9,None,LS Chi Square - Twoing,1.3783875109002743,9,0.100689157457,1.4557830150024764,9,0.0897155800257,-14.420775391273699,0.999999920631,9
KDD98 Multiclass 9,None,LS Squared Gini - Twoing,-4.053104821916691,9,0.99856424513,-3.9999579944805466,9,0.998444687284,-19.77264390041787,0.999999994979,9
Contraceptive with Aggreg,None,LS Chi Square - LS Squared Gini,1.0608846825225027,9,0.158190363997,1.1654593390147827,9,0.136895389025,-5.782030491682196,0.999867305661,9
Contraceptive with Aggreg,None,LS Chi Square - Twoing,0.5618146092251622,9,0.293979041765,0.5925821317080163,9,0.28402447648,3.3084657994153397,0.00455307687982,9
Contraceptive with Aggreg,None,LS Squared Gini - Twoing,-0.8847400493228568,9,0.800341905173,-1.0144774559768515,9,0.831575043486,9.48683298052182,2.76886389583e-06,9
Mushroom,None,LS Chi Square - LS Squared Gini,5.284229075567966,9,0.000252135288068,5.284229075567966,9,0.000252135288068,12.174560238985931,3.4039756347e-07,9
Mushroom,None,LS Chi Square - Twoing,-13.63952696861116,9,0.999999871565,-13.63952696861116,9,0.999999871565,1.1078234188202898,0.148332518461,9
Mushroom,None,LS Squared Gini - Twoing,-18.832727943424537,9,0.999999992289,-18.832727943424537,9,0.999999992289,-37.31525923015831,0.999999999982,9
Nursery with Aggreg,None,LS Chi Square - LS Squared Gini,11.452702692616906,9,5.72409238231e-07,11.452702692617011,9,5.72409238231e-07,-6.7434178434547425,0.999957862408,9
Nursery with Aggreg,None,LS Chi Square - Twoing,-9.9895468226852,9,0.99999819524,-9.98954682268526,9,0.99999819524,-8.760595384806082,0.999994680415,9
Nursery with Aggreg,None,LS Squared Gini - Twoing,-19.343950211307252,9,0.999999993909,-19.343950211307178,9,0.999999993909,-1.2467441606919478,0.878019338292,9
