Dataset,Attribute,Criterion,Number of times is statistically better with missing values,Number of times is statistically better without missing values,Number of times has statistically larger number of nodes
Adult Census Income,None,GW Chi Square,1,1,0
Adult Census Income,None,GW Squared Gini,0,0,0
Cars with Aggreg,None,GW Chi Square,0,0,0
Cars with Aggreg,None,GW Squared Gini,0,0,0
Contraceptive with Aggreg,None,GW Chi Square,0,0,0
Contraceptive with Aggreg,None,GW Squared Gini,0,0,0
Cover Type with Aggreg,None,GW Chi Square,0,0,0
Cover Type with Aggreg,None,GW Squared Gini,0,0,0
KDD98 Multiclass 2,None,GW Chi Square,0,0,0
KDD98 Multiclass 2,None,GW Squared Gini,0,0,0
KDD98 Multiclass 3,None,GW Chi Square,1,1,0
KDD98 Multiclass 3,None,GW Squared Gini,0,0,0
KDD98 Multiclass 5,None,GW Chi Square,1,1,0
KDD98 Multiclass 5,None,GW Squared Gini,0,0,0
KDD98 Multiclass 9,None,GW Chi Square,1,1,0
KDD98 Multiclass 9,None,GW Squared Gini,0,0,0
Mushroom,None,GW Chi Square,1,1,0
Mushroom,None,GW Squared Gini,0,0,0
Nursery with Aggreg,None,GW Chi Square,1,1,0
Nursery with Aggreg,None,GW Squared Gini,0,0,0
