Date Time,Dataset,Total Number of Samples,Trial Number,Criterion,Maximum Depth Allowed,Number of folds,Is stratified?,Use Numeric Attributes?,Number of Samples Forcing a Leaf,Use Min Samples in Second Largest Class?,Min Samples in Second Largest Class,Uses Chi-Square Test,Maximum p-value Allowed by Chi-Square Test [between 0 and 1],Minimum Number in Second Most Frequent Value,Average Number of Valid Attributes in Root Node (m),Average Number of Valid Nominal Attributes in Root Node (m_nom),Average Number of Valid Numeric Attributes in Root Node (m_num),Total Time Taken for Cross-Validation [s],Accuracy Percentage on Trivial Trees (with no splits),Accuracy Percentage (with missing values),Accuracy Percentage (without missing values),Number of Samples Classified using Unkown Value,Percentage of Samples with Unkown Values for Accepted Attribute,Average Number of Values of Attribute Chosen at Root Node,Maximum Number of Values of Attribute Chosen at Root Node,Minimum Number of Values of Attribute Chosen at Root Node,Number of Trivial Splits [between 0 and number of folds],Average Number of Nodes (after prunning),Maximum Number of Nodes (after prunning),Minimum Number of Nodes (after prunning),Average Tree Depth (after prunning),Maximum Tree Depth (after prunning),Minimum Tree Depth (after prunning),Average Number of Nodes Pruned
2017-05-02 17:51:40.708503,Adult Census Income,16280,1,GW Squared Gini,5,3,True,False,1,False,None,True,0.1,40,8.0,8.0,0.0,66.20269195386209,75.54054054054055,81.87960687960688,81.89024764948074,7,0.042997542997543,6.0,6,6,0,15.0,17,11,5.0,5,5,47.3333333333
2017-05-02 17:52:47.839114,Adult Census Income,16280,2,GW Squared Gini,5,3,True,False,1,False,None,True,0.1,40,8.0,8.0,0.0,67.12966388906352,75.54054054054055,81.85503685503686,81.86006511456478,1,0.006142506142506142,6.0,6,6,0,15.0,19,9,4.66666666667,5,4,46.6666666667
2017-05-02 17:53:47.167529,Adult Census Income,16280,3,GW Squared Gini,5,3,True,False,1,False,None,True,0.1,40,8.0,8.0,0.0,59.327261293074116,75.54054054054055,82.18058968058968,82.19464241828459,4,0.02457002457002457,6.0,6,6,0,15.0,17,11,5.0,5,5,46.6666666667
2017-05-02 17:54:44.060547,Adult Census Income,16280,4,GW Squared Gini,5,3,True,False,1,False,None,True,0.1,40,8.0,8.0,0.0,56.89231460704468,75.54054054054055,81.96560196560196,81.97063701701579,1,0.006142506142506142,6.0,6,6,0,11.6666666667,15,9,4.66666666667,5,4,50.6666666667
2017-05-02 17:55:54.154697,Adult Census Income,16280,5,GW Squared Gini,5,3,True,False,1,False,None,True,0.1,40,8.0,8.0,0.0,70.09349155100062,75.54054054054055,81.92260442260442,81.92763683272928,1,0.006142506142506142,6.0,6,6,0,11.6666666667,15,9,4.66666666667,5,4,51.3333333333
2017-05-02 17:56:50.516089,Adult Census Income,16280,6,GW Squared Gini,5,3,True,False,1,False,None,True,0.1,40,8.0,8.0,0.0,56.360783817013726,75.54054054054055,81.9963144963145,81.99913989064324,3,0.018427518427518427,6.0,6,6,0,9.66666666667,11,9,4.33333333333,5,4,52.0
2017-05-02 17:58:01.626794,Adult Census Income,16280,7,GW Squared Gini,5,3,True,False,1,False,None,True,0.1,40,8.0,8.0,0.0,71.11009222711436,75.54054054054055,82.11302211302211,82.12990843728876,7,0.042997542997543,6.0,6,6,0,11.0,15,9,4.33333333333,5,4,50.6666666667
2017-05-02 17:59:16.215809,Adult Census Income,16280,8,GW Squared Gini,5,3,True,False,1,False,None,True,0.1,40,8.0,8.0,0.0,74.58838239312172,75.54054054054055,82.1007371007371,82.10972537936966,3,0.018427518427518427,6.0,6,6,0,16.3333333333,19,11,5.0,5,5,46.0
2017-05-02 18:00:21.353834,Adult Census Income,16280,9,GW Squared Gini,5,3,True,False,1,False,None,True,0.1,40,8.0,8.0,0.0,65.13741070195101,75.54054054054055,82.1007371007371,82.10358174110708,3,0.018427518427518427,6.0,6,6,0,14.3333333333,17,11,5.0,5,5,47.3333333333
2017-05-02 18:01:30.213167,Adult Census Income,16280,10,GW Squared Gini,5,3,True,False,1,False,None,True,0.1,40,8.0,8.0,0.0,68.85874535096809,75.54054054054055,82.0085995085995,82.04166922745989,9,0.05528255528255528,6.0,6,6,0,16.3333333333,21,11,5.0,5,5,43.3333333333
