Dataset,Attribute,Criterion Difference Name,Paired t-statistics on Accuracy with Missing Values,Degrees of Freedom of Accuracy with Missing Values,P-value t-statistics on Accuracy with Missing Values,Paired t-statistics on Accuracy without Missing Values,P-value t-statistics on Accuracy without Missing Values,Degrees of Freedom of Accuracy without Missing Values,Paired t-statistics on Number of Nodes,P-value t-statistics on Number of Nodes,Degrees of Freedom of Number of Nodes
Adult Census Income,None,GW Chi Square - GW Squared Gini,12.592273063632808,9,2.55142122429e-07,12.647581289433148,9,2.45745545802e-07,11.387011531594469,6.00993637301e-07,9
KDD98 Multiclass 2,None,GW Chi Square - GW Squared Gini,-1.8057070865099807,9,0.947778653592,-1.5105801548476172,9,0.917410494595,5.025509352854139,0.000356857712646,9
KDD98 Multiclass 9,None,GW Chi Square - GW Squared Gini,4.07339292126562,9,0.00139272273389,4.020601632621014,9,0.00150766418136,-6.1376230088048525,0.999914369186,9
Cover Type with Aggreg,None,GW Chi Square - GW Squared Gini,-13.688414592861983,9,0.999999875467,-13.688867343619684,9,0.999999875503,-20.71258315188527,0.999999996667,9
Contraceptive with Aggreg,None,GW Chi Square - GW Squared Gini,-0.20260655867581193,9,0.578025649944,-0.27498323722973306,9,0.605231224251,0.9704949588324976,0.178578626502,9
Nursery with Aggreg,None,GW Chi Square - GW Squared Gini,11.569085474767787,9,5.25381215644e-07,11.569085474767851,9,5.25381215644e-07,-1.6121554968625587,0.929306469497,9
KDD98 Multiclass 5,None,GW Chi Square - GW Squared Gini,7.337031793826801,9,2.19376208606e-05,6.9070706838033304,9,3.50573348239e-05,-1.3609151451037513,0.896679935359,9
Cars with Aggreg,None,GW Chi Square - GW Squared Gini,-0.7771192051974283,9,0.771486318106,-0.7771192051974283,9,0.771486318106,2.978538303898663,0.0077431388504,9
KDD98 Multiclass 3,None,GW Chi Square - GW Squared Gini,1.5749492317815765,9,0.0748604698263,1.677369209003631,9,0.0638915306112,8.805969882238141,5.10042570856e-06,9
Mushroom,None,GW Chi Square - GW Squared Gini,5.756193009427733,9,0.000137075071111,5.756409364826415,9,0.000137037743008,3.6870234959662427,0.00251024688035,9
