Date Time,Dataset,Total Number of Samples,Trial Number,Criterion,Maximum Depth Allowed,Number of folds,Is stratified?,Use Numeric Attributes?,Number of Samples Forcing a Leaf,Use Min Samples in Second Largest Class?,Min Samples in Second Largest Class,Uses Chi-Square Test,Maximum p-value Allowed by Chi-Square Test [between 0 and 1],Minimum Number in Second Most Frequent Value,Average Number of Valid Attributes in Root Node (m),Average Number of Valid Nominal Attributes in Root Node (m_nom),Average Number of Valid Numeric Attributes in Root Node (m_num),Total Time Taken for Cross-Validation [s],Accuracy Percentage on Trivial Trees (with no splits),Accuracy Percentage (with missing values),Accuracy Percentage (without missing values),Number of Samples Classified using Unkown Value,Percentage of Samples with Unkown Values for Accepted Attribute,Average Number of Values of Attribute Chosen at Root Node,Maximum Number of Values of Attribute Chosen at Root Node,Minimum Number of Values of Attribute Chosen at Root Node,Number of Trivial Splits [between 0 and number of folds],Average Number of Nodes (after prunning),Maximum Number of Nodes (after prunning),Minimum Number of Nodes (after prunning),Average Tree Depth (after prunning),Maximum Tree Depth (after prunning),Minimum Tree Depth (after prunning),Average Number of Nodes Pruned
2017-05-18 22:36:35.983673,Nursery with Aggreg,12960,1,Twoing,5,3,True,False,1,False,None,True,0.1,15,11.0,11.0,0.0,1.0583724329999313,33.333333333333336,94.0354938271605,94.0354938271605,0,0.0,3.0,3,3,0,23.0,23,23,5.0,5,5,2.0
2017-05-18 22:36:37.029830,Nursery with Aggreg,12960,2,Twoing,5,3,True,False,1,False,None,True,0.1,15,11.0,11.0,0.0,1.0457609670002057,33.333333333333336,93.82716049382717,93.82716049382717,0,0.0,3.0,3,3,0,22.3333333333,23,21,5.0,5,5,2.66666666667
2017-05-18 22:36:38.107421,Nursery with Aggreg,12960,3,Twoing,5,3,True,False,1,False,None,True,0.1,15,11.0,11.0,0.0,1.0771939149999525,33.333333333333336,93.93518518518519,93.93518518518519,0,0.0,3.0,3,3,0,23.0,23,23,5.0,5,5,2.0
2017-05-18 22:36:39.156729,Nursery with Aggreg,12960,4,Twoing,5,3,True,False,1,False,None,True,0.1,15,11.0,11.0,0.0,1.0489249510001173,33.333333333333336,93.38734567901234,93.38734567901234,0,0.0,3.0,3,3,0,23.0,23,23,5.0,5,5,2.0
2017-05-18 22:36:40.212394,Nursery with Aggreg,12960,5,Twoing,5,3,True,False,1,False,None,True,0.1,15,11.0,11.0,0.0,1.0552739930008102,33.333333333333336,94.72222222222223,94.72222222222223,0,0.0,3.0,3,3,0,23.0,23,23,5.0,5,5,2.0
2017-05-18 22:36:41.268536,Nursery with Aggreg,12960,6,Twoing,5,3,True,False,1,False,None,True,0.1,15,11.0,11.0,0.0,1.0557437699999355,33.333333333333336,93.91203703703704,93.91203703703704,0,0.0,3.0,3,3,0,23.0,23,23,5.0,5,5,2.0
2017-05-18 22:36:42.345052,Nursery with Aggreg,12960,7,Twoing,5,3,True,False,1,False,None,True,0.1,15,11.0,11.0,0.0,1.0761254909994022,33.333333333333336,94.07407407407408,94.07407407407408,0,0.0,3.0,3,3,0,23.0,23,23,5.0,5,5,2.0
2017-05-18 22:36:43.389629,Nursery with Aggreg,12960,8,Twoing,5,3,True,False,1,False,None,True,0.1,15,11.0,11.0,0.0,1.044171281000672,33.333333333333336,93.20987654320987,93.20987654320987,0,0.0,3.0,3,3,0,22.3333333333,23,21,5.0,5,5,2.66666666667
2017-05-18 22:36:44.433513,Nursery with Aggreg,12960,9,Twoing,5,3,True,False,1,False,None,True,0.1,15,11.0,11.0,0.0,1.0434895990001678,33.333333333333336,93.125,93.125,0,0.0,3.0,3,3,0,23.0,23,23,5.0,5,5,2.0
2017-05-18 22:36:45.484588,Nursery with Aggreg,12960,10,Twoing,5,3,True,False,1,False,None,True,0.1,15,11.0,11.0,0.0,1.0506730279994372,33.333333333333336,92.62345679012346,92.62345679012346,0,0.0,3.0,3,3,0,23.0,23,23,5.0,5,5,2.0
2017-05-18 22:36:46.559236,Nursery with Aggreg,12960,11,Twoing,5,3,True,False,1,False,None,True,0.1,15,11.0,11.0,0.0,1.07424526900013,33.333333333333336,92.62345679012346,92.62345679012346,0,0.0,3.0,3,3,0,23.0,23,23,5.0,5,5,2.0
2017-05-18 22:36:47.612256,Nursery with Aggreg,12960,12,Twoing,5,3,True,False,1,False,None,True,0.1,15,11.0,11.0,0.0,1.052624193000156,33.333333333333336,94.00462962962963,94.00462962962963,0,0.0,3.0,3,3,0,23.0,23,23,5.0,5,5,2.0
2017-05-18 22:36:48.658604,Nursery with Aggreg,12960,13,Twoing,5,3,True,False,1,False,None,True,0.1,15,11.0,11.0,0.0,1.0459426699999312,33.333333333333336,94.0354938271605,94.0354938271605,0,0.0,3.0,3,3,0,23.0,23,23,5.0,5,5,2.0
2017-05-18 22:36:49.738045,Nursery with Aggreg,12960,14,Twoing,5,3,True,False,1,False,None,True,0.1,15,11.0,11.0,0.0,1.0790432039993902,33.333333333333336,94.02777777777777,94.02777777777777,0,0.0,3.0,3,3,0,23.0,23,23,5.0,5,5,2.0
2017-05-18 22:36:50.795231,Nursery with Aggreg,12960,15,Twoing,5,3,True,False,1,False,None,True,0.1,15,11.0,11.0,0.0,1.0567839949999325,33.333333333333336,94.72222222222223,94.72222222222223,0,0.0,3.0,3,3,0,23.0,23,23,5.0,5,5,2.0
2017-05-18 22:36:51.845488,Nursery with Aggreg,12960,16,Twoing,5,3,True,False,1,False,None,True,0.1,15,11.0,11.0,0.0,1.0498658019996583,33.333333333333336,94.57561728395062,94.57561728395062,0,0.0,3.0,3,3,0,22.3333333333,23,21,5.0,5,5,2.66666666667
2017-05-18 22:36:52.892242,Nursery with Aggreg,12960,17,Twoing,5,3,True,False,1,False,None,True,0.1,15,11.0,11.0,0.0,1.04634670500036,33.333333333333336,94.64506172839506,94.64506172839506,0,0.0,3.0,3,3,0,22.3333333333,23,21,5.0,5,5,2.66666666667
2017-05-18 22:36:53.969359,Nursery with Aggreg,12960,18,Twoing,5,3,True,False,1,False,None,True,0.1,15,11.0,11.0,0.0,1.076717212999938,33.333333333333336,93.07098765432099,93.07098765432099,0,0.0,3.0,3,3,0,23.0,23,23,5.0,5,5,2.0
2017-05-18 22:36:55.026735,Nursery with Aggreg,12960,19,Twoing,5,3,True,False,1,False,None,True,0.1,15,11.0,11.0,0.0,1.0569848130007813,33.333333333333336,93.96604938271605,93.96604938271605,0,0.0,3.0,3,3,0,23.0,23,23,5.0,5,5,2.0
