Dataset,Attribute,Criterion Difference Name,Paired t-statistics on Accuracy with Missing Values,Degrees of Freedom of Accuracy with Missing Values,P-value t-statistics on Accuracy with Missing Values,Paired t-statistics on Accuracy without Missing Values,Degrees of Freedom of Accuracy without Missing Values,P-value t-statistics on Accuracy without Missing Values,Paired t-statistics on Number of Nodes,Degrees of Freedom of Number of Nodes,P-value t-statistics on Number of Nodes
Nursery with Aggreg,None,Twoing - LS Squared Gini,16.83738918491783,19,3.54716256368e-13,16.83738918491783,19,3.54716256368e-13,9.23297284786752,19,9.36555000219e-09
Nursery with Aggreg,None,Twoing - LS Chi Square,5.414952227624768,19,1.58683222585e-05,5.414952227624768,19,1.58683222585e-05,-1.4529663145135578,19,0.918725000485
Nursery with Aggreg,None,Twoing - GW Chi Square,5.1203544802535825,19,3.04025209902e-05,5.1203544802535825,19,3.04025209902e-05,-18.719301525607705,19,1.0
Nursery with Aggreg,None,Twoing - GW Squared Gini,17.35054198370115,19,2.07278638698e-13,17.35054198370115,19,2.07278638698e-13,-19.75649991793606,19,1.0
Nursery with Aggreg,None,LS Squared Gini - LS Chi Square,-12.349097280472877,19,0.99999999992,-12.349097280472877,19,0.99999999992,-10.987496798913652,19,0.999999999435
Nursery with Aggreg,None,LS Squared Gini - GW Chi Square,-14.023138570674954,19,0.999999999991,-14.023138570674954,19,0.999999999991,-21.073067639504636,19,1.0
Nursery with Aggreg,None,LS Squared Gini - GW Squared Gini,-1.405025801598153,19,0.9119234874,-1.405025801598153,19,0.9119234874,-22.669249833153117,19,1.0
Nursery with Aggreg,None,LS Chi Square - GW Chi Square,1.2466355375233578,19,0.113840943095,1.2466355375233578,19,0.113840943095,-19.031172971561674,19,1.0
Nursery with Aggreg,None,LS Chi Square - GW Squared Gini,12.290541857862367,19,8.63936699957e-11,12.290541857862367,19,8.63936699957e-11,-19.840600053713416,19,1.0
Nursery with Aggreg,None,GW Chi Square - GW Squared Gini,13.390165686752203,19,1.99155136826e-11,13.390165686752203,19,1.99155136826e-11,2.841584389761887,19,0.00521627247106
