Date Time,Dataset,Use Numeric attributes?,Attribute Name,Is the Attribute Numeric?,Number of Different Values (only for Nominal Attributes),Total Number of Samples,Trial Number,Criterion,Maximum Depth Allowed,Total Number of folds,Fold Number,Is stratified?,Number of Samples Forcing a Leaf,Use Min Samples in Second Largest Class?,Min Samples in Second Largest Class,Uses Chi-Square Test,Maximum p-value Allowed by Chi-Square Test [between 0 and 1],Minimum Number in Second Most Frequent Value,Number of Attributes in Dataset,Number of Valid Attributes in Dataset (m),Number of Valid Nominal Attributes in Dataset (m_nom),Number of Valid Numeric Attributes in Dataset (m_num),Total Number of Inversions (pairs),Total Number of Ties (pairs),Total Number of Correct (pairs),Criterion Value in Root Node,Total Time Taken for Current Fold [s],Accuracy Percentage on Trivial Trees (with no splits),Accuracy Percentage (with missing values),Accuracy Percentage (without missing values),Number of Samples Classified using Unkown Value,Percentage of Samples with Unkown Values for Accepted Attribute,Number of Nodes (after prunning),Tree Depth (after prunning),Number of Nodes Pruned
2017-05-18 22:34:54.700549,Nursery with Aggreg,False,parents,False,3,12960,1,Twoing,1,3,1,True,1,False,None,True,0.1,15,12,11,11,0,3.0,1.0,51.0,0.0260097116272,0.02124000999992859,33.3256190696598,41.3098819717658,41.3098819717658,0,0.0,3,1,0
2017-05-18 22:34:54.700604,Nursery with Aggreg,False,has_nurs,False,5,12960,1,Twoing,1,3,1,True,1,False,None,True,0.1,15,12,11,11,0,3.0,1.0,51.0,0.064696022046,0.02006055999936507,33.3256190696598,49.872714649386715,49.872714649386715,0,0.0,3,1,0
2017-05-18 22:34:54.700625,Nursery with Aggreg,False,form,False,3,12960,1,Twoing,1,3,1,True,1,False,None,True,0.1,15,12,11,11,0,3.0,1.0,51.0,0.00118591399917,0.01949998100008088,33.3256190696598,34.55218699375145,34.55218699375145,0,0.0,3,1,0
2017-05-18 22:34:54.700642,Nursery with Aggreg,False,children,False,4,12960,1,Twoing,1,3,1,True,1,False,None,True,0.1,15,12,11,11,0,3.0,1.0,51.0,0.00258846878804,0.019359990999873844,33.3256190696598,34.066188382318906,34.066188382318906,0,0.0,3,1,0
2017-05-18 22:34:54.700658,Nursery with Aggreg,False,housing,False,3,12960,1,Twoing,1,3,1,True,1,False,None,True,0.1,15,12,11,11,0,3.0,1.0,51.0,0.00260148985073,0.01932669999951031,33.3256190696598,34.320759083545475,34.320759083545475,0,0.0,3,1,0
2017-05-18 22:34:54.700673,Nursery with Aggreg,False,finance,False,2,12960,1,Twoing,1,3,1,True,1,False,None,True,0.1,15,12,11,11,0,3.0,1.0,51.0,0.00122205344796,0.018944185999316687,33.3256190696598,32.5387641749595,32.5387641749595,0,0.0,3,1,0
2017-05-18 22:34:54.700688,Nursery with Aggreg,False,social,False,3,12960,1,Twoing,1,3,1,True,1,False,None,True,0.1,15,12,11,11,0,3.0,1.0,51.0,0.00499416508938,0.019545656000445888,33.3256190696598,35.848183290904885,35.848183290904885,0,0.0,3,1,0
2017-05-18 22:34:54.700703,Nursery with Aggreg,False,health,False,3,12960,1,Twoing,1,3,1,True,1,False,None,True,0.1,15,12,11,11,0,3.0,1.0,51.0,0.444470164609,0.019315481999910844,33.3256190696598,66.23466790094885,66.23466790094885,0,0.0,3,1,0
2017-05-18 22:34:54.700718,Nursery with Aggreg,False,employ,False,15,12960,1,Twoing,1,3,1,True,1,False,None,True,0.1,15,12,11,11,0,3.0,1.0,51.0,0.099050648678,0.021115704999829177,33.3256190696598,53.436704466558666,53.436704466558666,0,0.0,3,1,0
2017-05-18 22:34:54.700733,Nursery with Aggreg,False,struct_finan,False,72,12960,1,Twoing,1,3,1,True,1,False,None,True,0.1,15,12,11,11,0,3.0,1.0,51.0,0.0140780919842,0.029582174999632116,33.3256190696598,36.82018051376996,36.82018051376996,0,0.0,3,1,0
