Dataset,Attribute,Criterion Difference Name,Paired t-statistics on Accuracy with Missing Values,Degrees of Freedom of Accuracy with Missing Values,P-value t-statistics on Accuracy with Missing Values,Paired t-statistics on Accuracy without Missing Values,Degrees of Freedom of Accuracy without Missing Values,P-value t-statistics on Accuracy without Missing Values,Paired t-statistics on Number of Nodes,Degrees of Freedom of Number of Nodes,P-value t-statistics on Number of Nodes
Nursery with Aggreg,soc_health,LS Squared Gini - Twoing,0.0,29,0.5,0.0,29,0.5,0.0,29,0.5
Nursery with Aggreg,soc_health,LS Squared Gini - LS Chi Square,0.0,29,0.5,0.0,29,0.5,0.0,29,0.5
Nursery with Aggreg,soc_health,LS Squared Gini - GW Chi Square,0.0,29,0.5,0.0,29,0.5,0.0,29,0.5
Nursery with Aggreg,soc_health,LS Squared Gini - GW Squared Gini,4.12845029953431,29,0.000140981842222,4.12845029953431,29,0.000140981842222,0.0,29,0.5
Nursery with Aggreg,soc_health,Twoing - LS Chi Square,0.0,29,0.5,0.0,29,0.5,0.0,29,0.5
Nursery with Aggreg,soc_health,Twoing - GW Chi Square,0.0,29,0.5,0.0,29,0.5,0.0,29,0.5
Nursery with Aggreg,soc_health,Twoing - GW Squared Gini,4.12845029953431,29,0.000140981842222,4.12845029953431,29,0.000140981842222,0.0,29,0.5
Nursery with Aggreg,soc_health,LS Chi Square - GW Chi Square,0.0,29,0.5,0.0,29,0.5,0.0,29,0.5
Nursery with Aggreg,soc_health,LS Chi Square - GW Squared Gini,4.12845029953431,29,0.000140981842222,4.12845029953431,29,0.000140981842222,0.0,29,0.5
Nursery with Aggreg,soc_health,GW Chi Square - GW Squared Gini,4.12845029953431,29,0.000140981842222,4.12845029953431,29,0.000140981842222,0.0,29,0.5
Nursery with Aggreg,has_nurs,LS Squared Gini - Twoing,-2.5901677257375715,29,0.992573144211,-2.5901677257375715,29,0.992573144211,0.0,29,0.5
Nursery with Aggreg,has_nurs,LS Squared Gini - LS Chi Square,-2.5901677257375715,29,0.992573144211,-2.5901677257375715,29,0.992573144211,0.0,29,0.5
Nursery with Aggreg,has_nurs,LS Squared Gini - GW Chi Square,-2.5901677257375715,29,0.992573144211,-2.5901677257375715,29,0.992573144211,0.0,29,0.5
Nursery with Aggreg,has_nurs,LS Squared Gini - GW Squared Gini,2.584283476396918,29,0.00753012013405,2.584283476396918,29,0.00753012013405,0.0,29,0.5
Nursery with Aggreg,has_nurs,Twoing - LS Chi Square,0.0,29,0.5,0.0,29,0.5,0.0,29,0.5
Nursery with Aggreg,has_nurs,Twoing - GW Chi Square,0.0,29,0.5,0.0,29,0.5,0.0,29,0.5
Nursery with Aggreg,has_nurs,Twoing - GW Squared Gini,2.773444191090384,29,0.00479820082986,2.773444191090384,29,0.00479820082986,0.0,29,0.5
Nursery with Aggreg,has_nurs,LS Chi Square - GW Chi Square,0.0,29,0.5,0.0,29,0.5,0.0,29,0.5
Nursery with Aggreg,has_nurs,LS Chi Square - GW Squared Gini,2.773444191090384,29,0.00479820082986,2.773444191090384,29,0.00479820082986,0.0,29,0.5
Nursery with Aggreg,has_nurs,GW Chi Square - GW Squared Gini,2.773444191090384,29,0.00479820082986,2.773444191090384,29,0.00479820082986,0.0,29,0.5
Nursery with Aggreg,form,LS Squared Gini - Twoing,1.5945377868078563,29,0.0608288568785,1.5945377868078563,29,0.0608288568785,0.0,29,0.5
Nursery with Aggreg,form,LS Squared Gini - LS Chi Square,1.9245376247444406,29,0.0320743477408,1.9245376247444406,29,0.0320743477408,0.0,29,0.5
Nursery with Aggreg,form,LS Squared Gini - GW Chi Square,1.2948737765619143,29,0.102789342411,1.2948737765619143,29,0.102789342411,0.0,29,0.5
Nursery with Aggreg,form,LS Squared Gini - GW Squared Gini,0.0,29,0.5,0.0,29,0.5,0.0,29,0.5
Nursery with Aggreg,form,Twoing - LS Chi Square,1.0000000000000002,29,0.162790994008,1.0000000000000002,29,0.162790994008,0.0,29,0.5
Nursery with Aggreg,form,Twoing - GW Chi Square,0.849989469021859,29,0.20114706045,0.849989469021859,29,0.20114706045,0.0,29,0.5
Nursery with Aggreg,form,Twoing - GW Squared Gini,-1.5945377868078563,29,0.939171143121,-1.5945377868078563,29,0.939171143121,0.0,29,0.5
Nursery with Aggreg,form,LS Chi Square - GW Chi Square,0.35144922206924484,29,0.36389604978,0.35144922206924484,29,0.36389604978,0.0,29,0.5
Nursery with Aggreg,form,LS Chi Square - GW Squared Gini,-1.9245376247444406,29,0.967925652259,-1.9245376247444406,29,0.967925652259,0.0,29,0.5
Nursery with Aggreg,form,GW Chi Square - GW Squared Gini,-1.2948737765619143,29,0.897210657589,-1.2948737765619143,29,0.897210657589,0.0,29,0.5
Nursery with Aggreg,parents,LS Squared Gini - Twoing,-4.914527275073322,29,0.999983915823,-4.914527275073322,29,0.999983915823,0.0,29,0.5
Nursery with Aggreg,parents,LS Squared Gini - LS Chi Square,-4.914527275073322,29,0.999983915823,-4.914527275073322,29,0.999983915823,0.0,29,0.5
Nursery with Aggreg,parents,LS Squared Gini - GW Chi Square,-1.8580212805933785,29,0.963327359869,-1.8580212805933785,29,0.963327359869,0.0,29,0.5
Nursery with Aggreg,parents,LS Squared Gini - GW Squared Gini,2.5317324541247705,29,0.00851308700461,2.5317324541247705,29,0.00851308700461,1.0,29,0.162790994008
Nursery with Aggreg,parents,Twoing - LS Chi Square,0.0,29,0.5,0.0,29,0.5,0.0,29,0.5
Nursery with Aggreg,parents,Twoing - GW Chi Square,1.0000000000000002,29,0.162790994008,1.0000000000000002,29,0.162790994008,0.0,29,0.5
Nursery with Aggreg,parents,Twoing - GW Squared Gini,4.074745474090103,29,0.000163227723238,4.074745474090103,29,0.000163227723238,1.0,29,0.162790994008
Nursery with Aggreg,parents,LS Chi Square - GW Chi Square,1.0000000000000002,29,0.162790994008,1.0000000000000002,29,0.162790994008,0.0,29,0.5
Nursery with Aggreg,parents,LS Chi Square - GW Squared Gini,4.074745474090103,29,0.000163227723238,4.074745474090103,29,0.000163227723238,1.0,29,0.162790994008
Nursery with Aggreg,parents,GW Chi Square - GW Squared Gini,3.0758963766698737,29,0.00227317417507,3.0758963766698737,29,0.00227317417507,1.0,29,0.162790994008
Nursery with Aggreg,health,LS Squared Gini - Twoing,0.0,29,0.5,0.0,29,0.5,0.0,29,0.5
Nursery with Aggreg,health,LS Squared Gini - LS Chi Square,0.0,29,0.5,0.0,29,0.5,0.0,29,0.5
Nursery with Aggreg,health,LS Squared Gini - GW Chi Square,0.0,29,0.5,0.0,29,0.5,0.0,29,0.5
Nursery with Aggreg,health,LS Squared Gini - GW Squared Gini,3.523395228293474,29,0.000716721616169,3.523395228293474,29,0.000716721616169,0.0,29,0.5
Nursery with Aggreg,health,Twoing - LS Chi Square,0.0,29,0.5,0.0,29,0.5,0.0,29,0.5
Nursery with Aggreg,health,Twoing - GW Chi Square,0.0,29,0.5,0.0,29,0.5,0.0,29,0.5
Nursery with Aggreg,health,Twoing - GW Squared Gini,3.523395228293474,29,0.000716721616169,3.523395228293474,29,0.000716721616169,0.0,29,0.5
Nursery with Aggreg,health,LS Chi Square - GW Chi Square,0.0,29,0.5,0.0,29,0.5,0.0,29,0.5
Nursery with Aggreg,health,LS Chi Square - GW Squared Gini,3.523395228293474,29,0.000716721616169,3.523395228293474,29,0.000716721616169,0.0,29,0.5
Nursery with Aggreg,health,GW Chi Square - GW Squared Gini,3.523395228293474,29,0.000716721616169,3.523395228293474,29,0.000716721616169,0.0,29,0.5
Nursery with Aggreg,finance,LS Squared Gini - Twoing,0.0,29,0.5,0.0,29,0.5,0.0,29,0.5
Nursery with Aggreg,finance,LS Squared Gini - LS Chi Square,0.0,29,0.5,0.0,29,0.5,0.0,29,0.5
Nursery with Aggreg,finance,LS Squared Gini - GW Chi Square,0.0,29,0.5,0.0,29,0.5,0.0,29,0.5
Nursery with Aggreg,finance,LS Squared Gini - GW Squared Gini,0.0,29,0.5,0.0,29,0.5,0.0,29,0.5
Nursery with Aggreg,finance,Twoing - LS Chi Square,0.0,29,0.5,0.0,29,0.5,0.0,29,0.5
Nursery with Aggreg,finance,Twoing - GW Chi Square,0.0,29,0.5,0.0,29,0.5,0.0,29,0.5
Nursery with Aggreg,finance,Twoing - GW Squared Gini,0.0,29,0.5,0.0,29,0.5,0.0,29,0.5
Nursery with Aggreg,finance,LS Chi Square - GW Chi Square,0.0,29,0.5,0.0,29,0.5,0.0,29,0.5
Nursery with Aggreg,finance,LS Chi Square - GW Squared Gini,0.0,29,0.5,0.0,29,0.5,0.0,29,0.5
Nursery with Aggreg,finance,GW Chi Square - GW Squared Gini,0.0,29,0.5,0.0,29,0.5,0.0,29,0.5
Nursery with Aggreg,social,LS Squared Gini - Twoing,-10.052356569994675,29,0.999999999971,-10.052356569994675,29,0.999999999971,0.0,29,0.5
Nursery with Aggreg,social,LS Squared Gini - LS Chi Square,-10.052356569994675,29,0.999999999971,-10.052356569994675,29,0.999999999971,0.0,29,0.5
Nursery with Aggreg,social,LS Squared Gini - GW Chi Square,-10.052356569994675,29,0.999999999971,-10.052356569994675,29,0.999999999971,0.0,29,0.5
Nursery with Aggreg,social,LS Squared Gini - GW Squared Gini,-2.4970411995217954,29,0.990774488276,-2.4970411995217954,29,0.990774488276,0.0,29,0.5
Nursery with Aggreg,social,Twoing - LS Chi Square,0.0,29,0.5,0.0,29,0.5,0.0,29,0.5
Nursery with Aggreg,social,Twoing - GW Chi Square,0.0,29,0.5,0.0,29,0.5,0.0,29,0.5
Nursery with Aggreg,social,Twoing - GW Squared Gini,6.437423736065499,29,2.4164860668e-07,6.437423736065499,29,2.4164860668e-07,0.0,29,0.5
Nursery with Aggreg,social,LS Chi Square - GW Chi Square,0.0,29,0.5,0.0,29,0.5,0.0,29,0.5
Nursery with Aggreg,social,LS Chi Square - GW Squared Gini,6.437423736065499,29,2.4164860668e-07,6.437423736065499,29,2.4164860668e-07,0.0,29,0.5
Nursery with Aggreg,social,GW Chi Square - GW Squared Gini,6.437423736065499,29,2.4164860668e-07,6.437423736065499,29,2.4164860668e-07,0.0,29,0.5
Nursery with Aggreg,employ,LS Squared Gini - Twoing,-2.3262925269400605,29,0.986401714841,-2.3262925269400605,29,0.986401714841,0.0,29,0.5
Nursery with Aggreg,employ,LS Squared Gini - LS Chi Square,20.565971915197455,29,0.0,20.565971915197455,29,0.0,0.0,29,0.5
Nursery with Aggreg,employ,LS Squared Gini - GW Chi Square,2.54790540918909,29,0.00819861863754,2.54790540918909,29,0.00819861863754,0.0,29,0.5
Nursery with Aggreg,employ,LS Squared Gini - GW Squared Gini,3.9438428580321694,29,0.00023293470423,3.9438428580321694,29,0.00023293470423,0.0,29,0.5
Nursery with Aggreg,employ,Twoing - LS Chi Square,12.520544449387979,29,1.60427227058e-13,12.520544449387979,29,1.60427227058e-13,0.0,29,0.5
Nursery with Aggreg,employ,Twoing - GW Chi Square,2.998790942770707,29,0.0027579032099,2.998790942770707,29,0.0027579032099,0.0,29,0.5
Nursery with Aggreg,employ,Twoing - GW Squared Gini,3.5451962519402156,29,0.0006766976414,3.5451962519402156,29,0.0006766976414,0.0,29,0.5
Nursery with Aggreg,employ,LS Chi Square - GW Chi Square,0.725953524008431,29,0.236842931663,0.725953524008431,29,0.236842931663,0.0,29,0.5
Nursery with Aggreg,employ,LS Chi Square - GW Squared Gini,-12.729779881421065,29,1.0,-12.729779881421065,29,1.0,0.0,29,0.5
Nursery with Aggreg,employ,GW Chi Square - GW Squared Gini,-2.205523042509897,29,0.982251166981,-2.205523042509897,29,0.982251166981,0.0,29,0.5
Nursery with Aggreg,children,LS Squared Gini - Twoing,-12.04155459391232,29,1.0,-12.04155459391232,29,1.0,-4.39696865275764,29,0.999932533586
Nursery with Aggreg,children,LS Squared Gini - LS Chi Square,-12.04155459391232,29,1.0,-12.04155459391232,29,1.0,-4.39696865275764,29,0.999932533586
Nursery with Aggreg,children,LS Squared Gini - GW Chi Square,-11.95227609591903,29,1.0,-11.95227609591903,29,1.0,-4.39696865275764,29,0.999932533586
Nursery with Aggreg,children,LS Squared Gini - GW Squared Gini,-3.6225359911266213,29,0.999448533111,-3.6225359911266213,29,0.999448533111,-2.9708730966706973,29,0.997043524597
Nursery with Aggreg,children,Twoing - LS Chi Square,0.0,29,0.5,0.0,29,0.5,0.0,29,0.5
Nursery with Aggreg,children,Twoing - GW Chi Square,1.0,29,0.162790994008,1.0,29,0.162790994008,0.0,29,0.5
Nursery with Aggreg,children,Twoing - GW Squared Gini,5.367887139579849,29,4.56338351396e-06,5.367887139579849,29,4.56338351396e-06,2.408318915758459,29,0.0113041896984
Nursery with Aggreg,children,LS Chi Square - GW Chi Square,1.0,29,0.162790994008,1.0,29,0.162790994008,0.0,29,0.5
Nursery with Aggreg,children,LS Chi Square - GW Squared Gini,5.367887139579849,29,4.56338351396e-06,5.367887139579849,29,4.56338351396e-06,2.408318915758459,29,0.0113041896984
Nursery with Aggreg,children,GW Chi Square - GW Squared Gini,5.291459289083443,29,5.642117893e-06,5.291459289083443,29,5.642117893e-06,2.408318915758459,29,0.0113041896984
Nursery with Aggreg,struct_finan,LS Squared Gini - Twoing,-1.149276376363099,29,0.870083649424,-1.149276376363099,29,0.870083649424,0.0,29,0.5
Nursery with Aggreg,struct_finan,LS Squared Gini - LS Chi Square,-1.2249947174895188,29,0.884782824908,-1.2249947174895188,29,0.884782824908,0.0,29,0.5
Nursery with Aggreg,struct_finan,LS Squared Gini - GW Chi Square,-1.2677289960803206,29,0.892510281519,-1.2677289960803206,29,0.892510281519,0.0,29,0.5
Nursery with Aggreg,struct_finan,LS Squared Gini - GW Squared Gini,-1.321395056657957,29,0.901649665924,-1.321395056657957,29,0.901649665924,0.0,29,0.5
Nursery with Aggreg,struct_finan,Twoing - LS Chi Square,-1.7757711186099585,29,0.956866808833,-1.7757711186099585,29,0.956866808833,0.0,29,0.5
Nursery with Aggreg,struct_finan,Twoing - GW Chi Square,-2.045313930287187,29,0.975004417147,-2.045313930287187,29,0.975004417147,0.0,29,0.5
Nursery with Aggreg,struct_finan,Twoing - GW Squared Gini,-0.43501600883411806,29,0.666614439555,-0.43501600883411806,29,0.666614439555,0.0,29,0.5
Nursery with Aggreg,struct_finan,LS Chi Square - GW Chi Square,-1.0,29,0.837209005992,-1.0,29,0.837209005992,0.0,29,0.5
Nursery with Aggreg,struct_finan,LS Chi Square - GW Squared Gini,-0.29869317841552856,29,0.616347955777,-0.29869317841552856,29,0.616347955777,0.0,29,0.5
Nursery with Aggreg,struct_finan,GW Chi Square - GW Squared Gini,-0.22068299078855352,29,0.586557189538,-0.22068299078855352,29,0.586557189538,0.0,29,0.5
Nursery with Aggreg,housing,LS Squared Gini - Twoing,-6.7372350906183724,29,0.999999892237,-6.7372350906183724,29,0.999999892237,0.0,29,0.5
Nursery with Aggreg,housing,LS Squared Gini - LS Chi Square,-6.7372350906183724,29,0.999999892237,-6.7372350906183724,29,0.999999892237,0.0,29,0.5
Nursery with Aggreg,housing,LS Squared Gini - GW Chi Square,-6.7372350906183724,29,0.999999892237,-6.7372350906183724,29,0.999999892237,0.0,29,0.5
Nursery with Aggreg,housing,LS Squared Gini - GW Squared Gini,-1.1404989012137496,29,0.868294885811,-1.1404989012137496,29,0.868294885811,0.0,29,0.5
