Dataset,Attribute,Criterion Difference Name,Paired t-statistics on Accuracy with Missing Values,Degrees of Freedom of Accuracy with Missing Values,P-value t-statistics on Accuracy with Missing Values,Paired t-statistics on Accuracy without Missing Values,Degrees of Freedom of Accuracy without Missing Values,P-value t-statistics on Accuracy without Missing Values,Paired t-statistics on Number of Nodes,Degrees of Freedom of Number of Nodes,P-value t-statistics on Number of Nodes
Nursery with Aggreg,finance,LS Squared Gini - GW Chi Square,0.0,59,0.5,0.0,59,0.5,0.0,59,0.5
Nursery with Aggreg,finance,LS Squared Gini - LS Chi Square,0.0,59,0.5,0.0,59,0.5,0.0,59,0.5
Nursery with Aggreg,finance,LS Squared Gini - GW Squared Gini,0.0,59,0.5,0.0,59,0.5,0.0,59,0.5
Nursery with Aggreg,finance,LS Squared Gini - Twoing,0.0,59,0.5,0.0,59,0.5,0.0,59,0.5
Nursery with Aggreg,finance,GW Chi Square - LS Chi Square,0.0,59,0.5,0.0,59,0.5,0.0,59,0.5
Nursery with Aggreg,finance,GW Chi Square - GW Squared Gini,0.0,59,0.5,0.0,59,0.5,0.0,59,0.5
Nursery with Aggreg,finance,GW Chi Square - Twoing,0.0,59,0.5,0.0,59,0.5,0.0,59,0.5
Nursery with Aggreg,finance,LS Chi Square - GW Squared Gini,0.0,59,0.5,0.0,59,0.5,0.0,59,0.5
Nursery with Aggreg,finance,LS Chi Square - Twoing,0.0,59,0.5,0.0,59,0.5,0.0,59,0.5
Nursery with Aggreg,finance,GW Squared Gini - Twoing,0.0,59,0.5,0.0,59,0.5,0.0,59,0.5
Nursery with Aggreg,employ,LS Squared Gini - GW Chi Square,-1.424584045003173,59,0.92022715582,-1.424584045003173,59,0.92022715582,20.342276646877117,59,0.0
Nursery with Aggreg,employ,LS Squared Gini - LS Chi Square,-1.424584045003173,59,0.92022715582,-1.424584045003173,59,0.92022715582,inf,59,0.0
Nursery with Aggreg,employ,LS Squared Gini - GW Squared Gini,0.9513403792010312,59,0.172656357241,0.9513403792010312,59,0.172656357241,-6.068609847214353,59,0.999999950267
Nursery with Aggreg,employ,LS Squared Gini - Twoing,-1.424584045003173,59,0.92022715582,-1.424584045003173,59,0.92022715582,42.17910529014246,59,0.0
Nursery with Aggreg,employ,GW Chi Square - LS Chi Square,0.0,59,0.5,0.0,59,0.5,-1.2713922904298198,59,0.895710749675
Nursery with Aggreg,employ,GW Chi Square - GW Squared Gini,2.0609075392095484,59,0.0218642560162,2.0609075392095484,59,0.0218642560162,-15.897189933232834,59,1.0
Nursery with Aggreg,employ,GW Chi Square - Twoing,0.0,59,0.5,0.0,59,0.5,12.906906495908213,59,0.0
Nursery with Aggreg,employ,LS Chi Square - GW Squared Gini,2.0609075392095484,59,0.0218642560162,2.0609075392095484,59,0.0218642560162,-19.072773805530822,59,1.0
Nursery with Aggreg,employ,LS Chi Square - Twoing,0.0,59,0.5,0.0,59,0.5,19.58315602756614,59,0.0
Nursery with Aggreg,employ,GW Squared Gini - Twoing,-2.0609075392095484,59,0.978135743984,-2.0609075392095484,59,0.978135743984,26.5541324697214,59,0.0
Nursery with Aggreg,social,LS Squared Gini - GW Chi Square,0.0,59,0.5,0.0,59,0.5,16.21166807636345,59,0.0
Nursery with Aggreg,social,LS Squared Gini - LS Chi Square,0.0,59,0.5,0.0,59,0.5,16.21166807636345,59,0.0
Nursery with Aggreg,social,LS Squared Gini - GW Squared Gini,1.0,59,0.160697139885,1.0,59,0.160697139885,1.9180677343926738,59,0.0299730680667
Nursery with Aggreg,social,LS Squared Gini - Twoing,0.0,59,0.5,0.0,59,0.5,16.21166807636345,59,0.0
Nursery with Aggreg,social,GW Chi Square - LS Chi Square,0.0,59,0.5,0.0,59,0.5,0.0,59,0.5
Nursery with Aggreg,social,GW Chi Square - GW Squared Gini,1.0,59,0.160697139885,1.0,59,0.160697139885,-10.129595038903279,59,1.0
Nursery with Aggreg,social,GW Chi Square - Twoing,0.0,59,0.5,0.0,59,0.5,0.0,59,0.5
Nursery with Aggreg,social,LS Chi Square - GW Squared Gini,1.0,59,0.160697139885,1.0,59,0.160697139885,-10.129595038903279,59,1.0
Nursery with Aggreg,social,LS Chi Square - Twoing,0.0,59,0.5,0.0,59,0.5,0.0,59,0.5
Nursery with Aggreg,social,GW Squared Gini - Twoing,-1.0,59,0.839302860115,-1.0,59,0.839302860115,10.129595038903279,59,7.88258347484e-15
Nursery with Aggreg,children,LS Squared Gini - GW Chi Square,-3.8249620135824633,59,0.999841011688,-3.8249620135824633,59,0.999841011688,15.114652667206022,59,0.0
Nursery with Aggreg,children,LS Squared Gini - LS Chi Square,-4.0728658507317475,59,0.999929817227,-4.0728658507317475,59,0.999929817227,18.25211235618558,59,0.0
Nursery with Aggreg,children,LS Squared Gini - GW Squared Gini,-0.17579038812148978,59,0.569469707834,-0.17579038812148978,59,0.569469707834,3.422981706098065,59,0.000565811084212
Nursery with Aggreg,children,LS Squared Gini - Twoing,-4.108752100269321,59,0.999937777765,-4.108752100269321,59,0.999937777765,18.25211235618558,59,0.0
Nursery with Aggreg,children,GW Chi Square - LS Chi Square,-0.5625931311540632,59,0.712078247885,-0.5625931311540632,59,0.712078247885,1.4263529572376852,59,0.0795183856558
Nursery with Aggreg,children,GW Chi Square - GW Squared Gini,3.8707746737238655,59,0.000136948760497,3.8707746737238655,59,0.000136948760497,-10.017829764139526,59,1.0
Nursery with Aggreg,children,GW Chi Square - Twoing,-1.3665192559175066,59,0.911519296779,-1.3665192559175066,59,0.911519296779,1.0,59,0.160697139885
Nursery with Aggreg,children,LS Chi Square - GW Squared Gini,4.124983662977276,59,5.89151485016e-05,4.124983662977276,59,5.89151485016e-05,-11.345804190416505,59,1.0
Nursery with Aggreg,children,LS Chi Square - Twoing,-0.29008528449918086,59,0.613615946434,-0.29008528449918086,59,0.613615946434,0.0,59,0.5
Nursery with Aggreg,children,GW Squared Gini - Twoing,-4.159440992906158,59,0.999947551491,-4.159440992906158,59,0.999947551491,10.751364412701015,59,7.77156117238e-16
Nursery with Aggreg,health,LS Squared Gini - GW Chi Square,0.0,59,0.5,0.0,59,0.5,-1.0,59,0.839302860115
Nursery with Aggreg,health,LS Squared Gini - LS Chi Square,0.0,59,0.5,0.0,59,0.5,0.0,59,0.5
Nursery with Aggreg,health,LS Squared Gini - GW Squared Gini,0.0,59,0.5,0.0,59,0.5,0.0,59,0.5
Nursery with Aggreg,health,LS Squared Gini - Twoing,0.0,59,0.5,0.0,59,0.5,0.0,59,0.5
Nursery with Aggreg,health,GW Chi Square - LS Chi Square,0.0,59,0.5,0.0,59,0.5,1.0,59,0.160697139885
Nursery with Aggreg,health,GW Chi Square - GW Squared Gini,0.0,59,0.5,0.0,59,0.5,1.0,59,0.160697139885
Nursery with Aggreg,health,GW Chi Square - Twoing,0.0,59,0.5,0.0,59,0.5,1.0,59,0.160697139885
Nursery with Aggreg,health,LS Chi Square - GW Squared Gini,0.0,59,0.5,0.0,59,0.5,0.0,59,0.5
Nursery with Aggreg,health,LS Chi Square - Twoing,0.0,59,0.5,0.0,59,0.5,0.0,59,0.5
Nursery with Aggreg,health,GW Squared Gini - Twoing,0.0,59,0.5,0.0,59,0.5,0.0,59,0.5
Nursery with Aggreg,soc_health,LS Squared Gini - GW Chi Square,0.0,59,0.5,0.0,59,0.5,-3.1541937813405525,59,0.998734001596
Nursery with Aggreg,soc_health,LS Squared Gini - LS Chi Square,0.0,59,0.5,0.0,59,0.5,inf,59,0.0
Nursery with Aggreg,soc_health,LS Squared Gini - GW Squared Gini,0.0,59,0.5,0.0,59,0.5,-6.348271138513811,59,0.999999983031
Nursery with Aggreg,soc_health,LS Squared Gini - Twoing,0.0,59,0.5,0.0,59,0.5,inf,59,0.0
Nursery with Aggreg,soc_health,GW Chi Square - LS Chi Square,0.0,59,0.5,0.0,59,0.5,9.259084971031944,59,2.11941575401e-13
Nursery with Aggreg,soc_health,GW Chi Square - GW Squared Gini,0.0,59,0.5,0.0,59,0.5,-2.6087408984622864,59,0.99425192934
Nursery with Aggreg,soc_health,GW Chi Square - Twoing,0.0,59,0.5,0.0,59,0.5,9.259084971031944,59,2.11941575401e-13
Nursery with Aggreg,soc_health,LS Chi Square - GW Squared Gini,0.0,59,0.5,0.0,59,0.5,-11.426888049324859,59,1.0
Nursery with Aggreg,soc_health,LS Chi Square - Twoing,0.0,59,0.5,0.0,59,0.5,0.0,59,0.5
Nursery with Aggreg,soc_health,GW Squared Gini - Twoing,0.0,59,0.5,0.0,59,0.5,11.426888049324859,59,0.0
Nursery with Aggreg,struct_finan,LS Squared Gini - GW Chi Square,10.391927934781952,59,2.99760216649e-15,10.391927934781952,59,2.99760216649e-15,-3.1902817389885785,59,0.99886128636
Nursery with Aggreg,struct_finan,LS Squared Gini - LS Chi Square,9.453206801089477,59,1.01252339846e-13,9.453206801089477,59,1.01252339846e-13,-3.18793544871376,59,0.998853390462
Nursery with Aggreg,struct_finan,LS Squared Gini - GW Squared Gini,5.234999556149039,59,1.15080608054e-06,5.234999556149039,59,1.15080608054e-06,-2.659355039175518,59,0.994968106974
Nursery with Aggreg,struct_finan,LS Squared Gini - Twoing,11.010665317692183,59,3.33066907388e-16,11.010665317692183,59,3.33066907388e-16,0.6140006556281687,59,0.270787622014
Nursery with Aggreg,struct_finan,GW Chi Square - LS Chi Square,0.6886427994882284,59,0.246873582576,0.6886427994882284,59,0.246873582576,0.1908985288089477,59,0.424630240127
Nursery with Aggreg,struct_finan,GW Chi Square - GW Squared Gini,-4.217593163317309,59,0.999956938998,-4.217593163317309,59,0.999956938998,-0.13820286673197565,59,0.554724649846
Nursery with Aggreg,struct_finan,GW Chi Square - Twoing,-2.6721510993761375,59,0.995135774214,-2.6721510993761375,59,0.995135774214,5.616453903972287,59,2.77241125279e-07
Nursery with Aggreg,struct_finan,LS Chi Square - GW Squared Gini,-5.181013824150037,59,0.999998595702,-5.181013824150037,59,0.999998595702,-0.2058516704392943,59,0.581192282203
Nursery with Aggreg,struct_finan,LS Chi Square - Twoing,-2.872741186152935,59,0.99717667858,-2.872741186152935,59,0.99717667858,5.738214623164893,59,1.7505655725e-07
Nursery with Aggreg,struct_finan,GW Squared Gini - Twoing,3.3161304754496843,59,0.000782755244916,3.3161304754496843,59,0.000782755244916,3.0981394058819403,59,0.00149044015497
Nursery with Aggreg,has_nurs,LS Squared Gini - GW Chi Square,0.0,59,0.5,0.0,59,0.5,3.8405728739343035,59,0.000151121071454
Nursery with Aggreg,has_nurs,LS Squared Gini - LS Chi Square,0.0,59,0.5,0.0,59,0.5,3.8405728739343035,59,0.000151121071454
Nursery with Aggreg,has_nurs,LS Squared Gini - GW Squared Gini,0.0,59,0.5,0.0,59,0.5,-5.368838559773987,59,0.999999299342
Nursery with Aggreg,has_nurs,LS Squared Gini - Twoing,0.0,59,0.5,0.0,59,0.5,3.8405728739343035,59,0.000151121071454
Nursery with Aggreg,has_nurs,GW Chi Square - LS Chi Square,0.0,59,0.5,0.0,59,0.5,0.0,59,0.5
Nursery with Aggreg,has_nurs,GW Chi Square - GW Squared Gini,0.0,59,0.5,0.0,59,0.5,-7.299049212259435,59,0.999999999579
Nursery with Aggreg,has_nurs,GW Chi Square - Twoing,0.0,59,0.5,0.0,59,0.5,0.0,59,0.5
Nursery with Aggreg,has_nurs,LS Chi Square - GW Squared Gini,0.0,59,0.5,0.0,59,0.5,-7.299049212259435,59,0.999999999579
Nursery with Aggreg,has_nurs,LS Chi Square - Twoing,0.0,59,0.5,0.0,59,0.5,0.0,59,0.5
Nursery with Aggreg,has_nurs,GW Squared Gini - Twoing,0.0,59,0.5,0.0,59,0.5,7.299049212259435,59,4.21319423793e-10
Nursery with Aggreg,form,LS Squared Gini - GW Chi Square,1.0,59,0.160697139885,1.0,59,0.160697139885,1.7621756887140219,59,0.0416097312613
Nursery with Aggreg,form,LS Squared Gini - LS Chi Square,1.0,59,0.160697139885,1.0,59,0.160697139885,2.052872551885702,59,0.0222639792109
Nursery with Aggreg,form,LS Squared Gini - GW Squared Gini,0.0,59,0.5,0.0,59,0.5,0.0,59,0.5
Nursery with Aggreg,form,LS Squared Gini - Twoing,1.0,59,0.160697139885,1.0,59,0.160697139885,1.7621756887140219,59,0.0416097312613
Nursery with Aggreg,form,GW Chi Square - LS Chi Square,0.0,59,0.5,0.0,59,0.5,1.0,59,0.160697139885
Nursery with Aggreg,form,GW Chi Square - GW Squared Gini,-1.0,59,0.839302860115,-1.0,59,0.839302860115,-1.7621756887140219,59,0.958390268739
Nursery with Aggreg,form,GW Chi Square - Twoing,0.0,59,0.5,0.0,59,0.5,0.0,59,0.5
Nursery with Aggreg,form,LS Chi Square - GW Squared Gini,-1.0,59,0.839302860115,-1.0,59,0.839302860115,-2.052872551885702,59,0.977736020789
Nursery with Aggreg,form,LS Chi Square - Twoing,0.0,59,0.5,0.0,59,0.5,-1.0,59,0.839302860115
Nursery with Aggreg,form,GW Squared Gini - Twoing,1.0,59,0.160697139885,1.0,59,0.160697139885,1.7621756887140219,59,0.0416097312613
Nursery with Aggreg,housing,LS Squared Gini - GW Chi Square,-6.710201294729811,59,0.999999995822,-6.710201294729811,59,0.999999995822,inf,59,0.0
Nursery with Aggreg,housing,LS Squared Gini - LS Chi Square,-6.710201294729811,59,0.999999995822,-6.710201294729811,59,0.999999995822,inf,59,0.0
Nursery with Aggreg,housing,LS Squared Gini - GW Squared Gini,0.0,59,0.5,0.0,59,0.5,0.0,59,0.5
Nursery with Aggreg,housing,LS Squared Gini - Twoing,-6.710201294729811,59,0.999999995822,-6.710201294729811,59,0.999999995822,inf,59,0.0
Nursery with Aggreg,housing,GW Chi Square - LS Chi Square,0.0,59,0.5,0.0,59,0.5,0.0,59,0.5
Nursery with Aggreg,housing,GW Chi Square - GW Squared Gini,6.710201294729811,59,4.17774137507e-09,6.710201294729811,59,4.17774137507e-09,-inf,59,1.0
Nursery with Aggreg,housing,GW Chi Square - Twoing,0.0,59,0.5,0.0,59,0.5,0.0,59,0.5
Nursery with Aggreg,housing,LS Chi Square - GW Squared Gini,6.710201294729811,59,4.17774137507e-09,6.710201294729811,59,4.17774137507e-09,-inf,59,1.0
Nursery with Aggreg,housing,LS Chi Square - Twoing,0.0,59,0.5,0.0,59,0.5,0.0,59,0.5
Nursery with Aggreg,housing,GW Squared Gini - Twoing,-6.710201294729811,59,0.999999995822,-6.710201294729811,59,0.999999995822,inf,59,0.0
Nursery with Aggreg,parents,LS Squared Gini - GW Chi Square,0.0,59,0.5,0.0,59,0.5,6.27162924074226,59,2.28016387993e-08
Nursery with Aggreg,parents,LS Squared Gini - LS Chi Square,0.0,59,0.5,0.0,59,0.5,6.27162924074226,59,2.28016387993e-08
Nursery with Aggreg,parents,LS Squared Gini - GW Squared Gini,0.0,59,0.5,0.0,59,0.5,-3.5791994454308917,59,0.999651460833
Nursery with Aggreg,parents,LS Squared Gini - Twoing,0.0,59,0.5,0.0,59,0.5,6.27162924074226,59,2.28016387993e-08
Nursery with Aggreg,parents,GW Chi Square - LS Chi Square,0.0,59,0.5,0.0,59,0.5,0.0,59,0.5
Nursery with Aggreg,parents,GW Chi Square - GW Squared Gini,0.0,59,0.5,0.0,59,0.5,-11.283429863019677,59,1.0
Nursery with Aggreg,parents,GW Chi Square - Twoing,0.0,59,0.5,0.0,59,0.5,0.0,59,0.5
Nursery with Aggreg,parents,LS Chi Square - GW Squared Gini,0.0,59,0.5,0.0,59,0.5,-11.283429863019677,59,1.0
Nursery with Aggreg,parents,LS Chi Square - Twoing,0.0,59,0.5,0.0,59,0.5,0.0,59,0.5
Nursery with Aggreg,parents,GW Squared Gini - Twoing,0.0,59,0.5,0.0,59,0.5,11.283429863019677,59,1.11022302463e-16
