Dataset,Attribute,Criterion Difference Name,Paired t-statistics on Accuracy with Missing Values,Degrees of Freedom of Accuracy with Missing Values,P-value t-statistics on Accuracy with Missing Values,Paired t-statistics on Accuracy without Missing Values,Degrees of Freedom of Accuracy without Missing Values,P-value t-statistics on Accuracy without Missing Values,Paired t-statistics on Number of Nodes,Degrees of Freedom of Number of Nodes,P-value t-statistics on Number of Nodes
KDD98 Multiclass 2,None,LS Chi Square - Twoing,5.90279280161519,19,5.52179514812e-06,7.035415248149468,19,5.34573685762e-07,-1.0269171379068882,19,0.841321747153
KDD98 Multiclass 2,None,LS Chi Square - LS Squared Gini,0.09645705359816317,19,0.46208387338,0.3351016382619438,19,0.370609924968,31.441850753712014,19,0.0
KDD98 Multiclass 2,None,Twoing - LS Squared Gini,-5.485984336058491,19,0.999986415629,-6.342248483537486,19,0.999997812574,36.30563946141009,19,0.0
Cars with Aggreg,None,LS Chi Square - Twoing,1.0003700738226935,19,0.164851175186,1.0003700738226935,19,0.164851175186,55.198814216288746,19,0.0
Cars with Aggreg,None,LS Chi Square - LS Squared Gini,1.0002375165596415,19,0.164882414819,1.0002375165596415,19,0.164882414819,-30.788261074535267,19,1.0
Cars with Aggreg,None,Twoing - LS Squared Gini,-3.0459904530835145,19,0.996676048712,-3.0459904530835145,19,0.996676048712,-42.332209313202625,19,1.0
KDD98 Multiclass 5,None,LS Chi Square - Twoing,2.658942917223334,19,0.00775020508759,3.552275011370699,19,0.00106360594186,-3.751234161606823,19,0.999323916778
KDD98 Multiclass 5,None,LS Chi Square - LS Squared Gini,3.785431486559958,19,0.000625336343254,1.6571071312856913,19,0.0569592078937,26.601612131952646,19,1.11022302463e-16
KDD98 Multiclass 5,None,Twoing - LS Squared Gini,0.7156797416618221,19,0.241446280884,-2.7275019847264357,19,0.993314586982,28.064796433686386,19,0.0
Cars,None,LS Chi Square - Twoing,-0.9969384949774655,19,0.834338773683,-0.9969384949774655,19,0.834338773683,-7.093963935912901,19,0.999999524001
Cars,None,LS Chi Square - LS Squared Gini,-11.745271402027536,19,0.999999999814,-11.745271402027536,19,0.999999999814,-35.858681940204015,19,1.0
Cars,None,Twoing - LS Squared Gini,-11.74562130976881,19,0.999999999814,-11.74562130976881,19,0.999999999814,-31.161697865937743,19,1.0
Cover Type,None,LS Chi Square - Twoing,-69.87917179363876,19,1.0,-69.87917179363876,19,1.0,-23.401860157449253,19,1.0
Cover Type,None,LS Chi Square - LS Squared Gini,130.0870017567537,19,0.0,130.0870017567537,19,0.0,35.07057105521405,19,0.0
Cover Type,None,Twoing - LS Squared Gini,147.32889635553977,19,0.0,147.32889635553977,19,0.0,119.60304715537215,19,0.0
Contraceptive with Aggreg,None,LS Chi Square - Twoing,4.6924744154079905,19,7.92966156882e-05,4.726136386770958,19,7.34973089356e-05,10.654906401561124,19,9.38187305621e-10
Contraceptive with Aggreg,None,LS Chi Square - LS Squared Gini,2.4723569455386682,19,0.0115212708743,2.5995199729755036,19,0.00880162305611,-0.5969440914786607,19,0.721204089244
