Dataset,Attribute,Criterion Difference Name,Paired t-statistics on Accuracy with Missing Values,Degrees of Freedom of Accuracy with Missing Values,P-value t-statistics on Accuracy with Missing Values,Paired t-statistics on Accuracy without Missing Values,Degrees of Freedom of Accuracy without Missing Values,P-value t-statistics on Accuracy without Missing Values,Paired t-statistics on Number of Nodes,Degrees of Freedom of Number of Nodes,P-value t-statistics on Number of Nodes
Adult Census Income,None,Conditional Inference Tree Twoing - Conditional Inference Tree LS Squared Gini,11.051933056222598,19,5.13312281569e-10,11.362777162235624,19,3.23719273609e-10,-11.250605067341558,19,0.999999999618
Adult Census Income,None,Conditional Inference Tree Twoing - Conditional Inference Tree LS Chi Square,2.971611126119633,19,0.00391940344846,3.042813024198184,19,0.00334749101648,1.1988962615581906,19,0.122653909076
Adult Census Income,None,Conditional Inference Tree LS Squared Gini - Conditional Inference Tree LS Chi Square,-2.2437746094624975,19,0.981521044905,-2.3184822087838204,19,0.984136938789,12.002249319141278,19,1.29135258042e-10
Nursery,None,Conditional Inference Tree Twoing - Conditional Inference Tree LS Squared Gini,6.823631155537962,19,8.16583981211e-07,6.823631155537962,19,8.16583981211e-07,23.935811600064284,19,5.55111512313e-16
Nursery,None,Conditional Inference Tree Twoing - Conditional Inference Tree LS Chi Square,1.4507354421483123,19,0.0815817355657,1.4507354421483123,19,0.0815817355657,1.4529663145135576,19,0.0812749995149
Nursery,None,Conditional Inference Tree LS Squared Gini - Conditional Inference Tree LS Chi Square,-6.192156280411554,19,0.99999700721,-6.192156280411554,19,0.99999700721,-16.479934323112992,19,0.999999999999
Mushroom,None,Conditional Inference Tree Twoing - Conditional Inference Tree LS Squared Gini,-36.297927314775,19,1.0,-36.044160906091584,19,1.0,-55.07127551177759,19,1.0
Mushroom,None,Conditional Inference Tree Twoing - Conditional Inference Tree LS Chi Square,-8.889513391098543,19,0.999999983085,-8.884640506565349,19,0.99999998294,-4.083122448713547,19,0.999683147845
Mushroom,None,Conditional Inference Tree LS Squared Gini - Conditional Inference Tree LS Chi Square,11.272338805600507,19,3.69819730395e-10,11.259080445949948,19,3.77134434792e-10,23.246486651436825,19,9.99200722163e-16
Cover Type with Aggreg,None,Conditional Inference Tree Twoing - Conditional Inference Tree LS Squared Gini,0.0,19,0.5,0.0,19,0.5,0.0,19,0.5
Cover Type with Aggreg,None,Conditional Inference Tree Twoing - Conditional Inference Tree LS Chi Square,0.0,19,0.5,0.0,19,0.5,0.0,19,0.5
Cover Type with Aggreg,None,Conditional Inference Tree LS Squared Gini - Conditional Inference Tree LS Chi Square,0.0,19,0.5,0.0,19,0.5,0.0,19,0.5
Cars,None,Conditional Inference Tree Twoing - Conditional Inference Tree LS Squared Gini,-1.452716372362835,19,0.91869068125,-1.452716372362835,19,0.91869068125,-36.12762047707713,19,1.0
Cars,None,Conditional Inference Tree Twoing - Conditional Inference Tree LS Chi Square,-1.2853691738343043,19,0.892944635302,-1.2853691738343043,19,0.892944635302,1.3011799671086903,19,0.104377744641
