Date Time,Dataset,Total Number of Samples,Trial Number,Criterion,Maximum Depth Allowed,Number of folds,Is stratified?,Use Numeric Attributes?,Number of Samples Forcing a Leaf,Use Min Samples in Second Largest Class?,Min Samples in Second Largest Class,Uses Chi-Square Test,Maximum p-value Allowed by Chi-Square Test [between 0 and 1],Minimum Number in Second Most Frequent Value,Average Number of Valid Attributes in Root Node (m),Average Number of Valid Nominal Attributes in Root Node (m_nom),Average Number of Valid Numeric Attributes in Root Node (m_num),Total Time Taken for Cross-Validation [s],Accuracy Percentage on Trivial Trees (with no splits),Accuracy Percentage (with missing values),Accuracy Percentage (without missing values),Number of Samples Classified using Unkown Value,Percentage of Samples with Unkown Values for Accepted Attribute,Average Number of Values of Attribute Chosen at Root Node,Maximum Number of Values of Attribute Chosen at Root Node,Minimum Number of Values of Attribute Chosen at Root Node,Number of Trivial Splits [between 0 and number of folds],Average Number of Nodes (after prunning),Maximum Number of Nodes (after prunning),Minimum Number of Nodes (after prunning),Average Tree Depth (after prunning),Maximum Tree Depth (after prunning),Minimum Tree Depth (after prunning),Average Number of Nodes Pruned
2017-05-29 19:54:31.364281,Adult Census Income,30162,1,Conditional Inference Tree Twoing,5,3,True,False,1,False,None,True,0.1,15,8.0,8.0,0.0,3.387766867002938,75.10775147536636,82.03368476891453,82.04277897529431,7,0.023208010078907233,7.0,7,7,0,33.0,39,29,5.0,5,5,20.0
2017-05-29 19:54:34.862859,Adult Census Income,30162,2,Conditional Inference Tree Twoing,5,3,True,False,1,False,None,True,0.1,15,8.0,8.0,0.0,3.497072661994025,75.10775147536636,81.9773224587229,81.98673300165838,12,0.039785160135269546,7.0,7,7,0,33.0,35,31,5.0,5,5,18.6666666667
2017-05-29 19:54:38.567209,Adult Census Income,30162,3,Conditional Inference Tree Twoing,5,3,True,False,1,False,None,True,0.1,15,8.0,8.0,0.0,3.7028377710375935,75.10775147536636,81.99058417876799,82.00789622109419,21,0.0696240302367217,7.0,7,7,0,30.3333333333,33,27,5.0,5,5,22.6666666667
2017-05-29 19:54:42.221570,Adult Census Income,30162,4,Conditional Inference Tree Twoing,5,3,True,False,1,False,None,True,0.1,15,8.0,8.0,0.0,3.653402170049958,75.10775147536636,82.06020820900471,82.08326422292254,17,0.056362310191631855,7.0,7,7,0,32.3333333333,33,31,5.0,5,5,20.0
2017-05-29 19:54:45.910214,Adult Census Income,30162,5,Conditional Inference Tree Twoing,5,3,True,False,1,False,None,True,0.1,15,8.0,8.0,0.0,3.6876060540089384,75.10775147536636,81.87785955838473,81.8968949044586,18,0.05967774020290432,7.0,7,7,0,33.0,35,31,5.0,5,5,21.3333333333
2017-05-29 19:54:50.223462,Adult Census Income,30162,6,Conditional Inference Tree Twoing,5,3,True,False,1,False,None,True,0.1,15,8.0,8.0,0.0,4.312151897000149,75.10775147536636,81.92427557854253,81.94785377827904,16,0.05304688018035939,7.0,7,7,0,35.0,41,31,5.0,5,5,18.0
2017-05-29 19:54:54.075806,Adult Census Income,30162,7,Conditional Inference Tree Twoing,5,3,True,False,1,False,None,True,0.1,15,8.0,8.0,0.0,3.8508000770234503,75.10775147536636,81.90769842848617,81.9204353163675,23,0.07625489025926663,7.0,7,7,0,33.0,41,29,5.0,5,5,20.6666666667
2017-05-29 19:54:57.600981,Adult Census Income,30162,8,Conditional Inference Tree Twoing,5,3,True,False,1,False,None,True,0.1,15,8.0,8.0,0.0,3.5235840610112064,75.10775147536636,82.02705390889199,82.03648424543947,12,0.039785160135269546,7.0,7,7,0,30.3333333333,37,27,5.0,5,5,25.3333333333
2017-05-29 19:55:01.279475,Adult Census Income,30162,9,Conditional Inference Tree Twoing,5,3,True,False,1,False,None,True,0.1,15,8.0,8.0,0.0,3.677460594975855,75.10775147536636,81.98726874875672,81.99728035554377,11,0.03646973012399708,7.0,7,7,0,27.6666666667,33,23,5.0,5,5,24.0
2017-05-29 19:55:05.465206,Adult Census Income,30162,10,Conditional Inference Tree Twoing,5,3,True,False,1,False,None,True,0.1,15,8.0,8.0,0.0,4.184670887014363,75.10775147536636,81.72534977786619,81.73947656483232,15,0.04973145016908693,7.0,7,7,0,33.6666666667,37,29,5.0,5,5,20.0
