Dataset,Attribute,Criterion Difference Name,Paired t-statistics on Accuracy with Missing Values,Degrees of Freedom of Accuracy with Missing Values,P-value t-statistics on Accuracy with Missing Values,Paired t-statistics on Accuracy without Missing Values,Degrees of Freedom of Accuracy without Missing Values,P-value t-statistics on Accuracy without Missing Values,Paired t-statistics on Number of Nodes,Degrees of Freedom of Number of Nodes,P-value t-statistics on Number of Nodes
Nursery with Aggreg,None,Twoing - LS Squared Gini,12.460957504743824,19,6.83604284291e-11,12.460957504743824,19,6.83604284291e-11,-12.766538141714243,19,0.999999999955
Nursery with Aggreg,None,Twoing - LS Chi Square,-3.7515428924743004,19,0.999324392758,-3.7515428924743004,19,0.999324392758,-0.7765332490860087,19,0.776502879451
Nursery with Aggreg,None,LS Squared Gini - LS Chi Square,-16.5404426902026,19,1.0,-16.5404426902026,19,1.0,10.833319339690746,19,7.14037606819e-10
Mushroom,None,Twoing - LS Squared Gini,1.0,19,0.164938400461,1.0,19,0.164938400461,-inf,19,1.0
Mushroom,None,Twoing - LS Chi Square,2.126924898488314,19,0.0233736885559,2.126924898488314,19,0.0233736885559,-56.665686263226654,19,1.0
Mushroom,None,LS Squared Gini - LS Chi Square,0.9223590779393294,19,0.183953168284,0.9223590779393294,19,0.183953168284,-37.98469079184351,19,1.0
KDD98 Multiclass 2,None,Twoing - LS Squared Gini,-6.9556566072455945,19,0.999999373399,-7.768261438422762,19,0.99999987069,11.787425077551985,19,1.75089831522e-10
KDD98 Multiclass 2,None,Twoing - LS Chi Square,-1.348289902932645,19,0.903290022365,-2.1834299789788436,19,0.979124524802,7.952948044068895,19,9.14607048985e-08
KDD98 Multiclass 2,None,LS Squared Gini - LS Chi Square,5.1881928034549585,19,2.61545514887e-05,5.356377761320829,19,1.80453340034e-05,-5.382201231706795,19,0.999982949781
Cars,None,Twoing - LS Squared Gini,12.628398390808934,19,5.44465583729e-11,12.628398390808934,19,5.44465583729e-11,-5.140471435938832,19,0.999970925872
Cars,None,Twoing - LS Chi Square,-0.5122546590184819,19,0.692811979119,-0.5122546590184819,19,0.692811979119,-3.3869895354200885,19,0.998452913416
Cars,None,LS Squared Gini - LS Chi Square,-17.59284318320566,19,1.0,-17.59284318320566,19,1.0,4.051764409840671,19,0.000340375602094
Poker Hand,None,Twoing - LS Squared Gini,16.88971596236513,19,3.35509398042e-13,16.88971596236513,19,3.35509398042e-13,-2.1780384843000036,19,0.978897127857
Poker Hand,None,Twoing - LS Chi Square,3.3999458617179235,19,0.00150241737014,3.3999458617179235,19,0.00150241737014,1.9052997711884967,19,0.0359944025485
Poker Hand,None,LS Squared Gini - LS Chi Square,-13.86598206777705,19,0.999999999989,-13.86598206777705,19,0.999999999989,4.9159290599695105,19,4.79729951121e-05
Adult Census Income,None,Twoing - LS Squared Gini,4.104644471481845,19,0.000301657169094,4.058416042790345,19,0.000335243807481,3.6812969621719644,19,0.00079296382044
Adult Census Income,None,Twoing - LS Chi Square,4.439439096128389,19,0.000140665547145,3.9096814551746926,19,0.000470876558697,4.464709947833648,19,0.000132817681686
Adult Census Income,None,LS Squared Gini - LS Chi Square,-1.3583419190971233,19,0.904866875356,-1.5788416234658693,19,0.934561646573,0.6872765537907406,19,0.250106218273
Cover Type,None,Twoing - LS Squared Gini,-17.446709848646762,19,1.0,-17.446709848646762,19,1.0,-146.06487456137603,19,1.0
Cover Type,None,Twoing - LS Chi Square,18.84441796534091,19,4.68514116392e-14,18.84441796534091,19,4.68514116392e-14,36.9779337336914,19,0.0
Cover Type,None,LS Squared Gini - LS Chi Square,83.88821521585186,19,0.0,83.88821521585186,19,0.0,301.7621962913137,19,0.0
Contraceptive with Aggreg,None,Twoing - LS Squared Gini,-3.5297149594877797,19,0.998880458334,-3.533160843960514,19,0.998889186505,-3.293058875903921,19,0.998087660083
Contraceptive with Aggreg,None,Twoing - LS Chi Square,-1.7269187938956652,19,0.949797493556,-1.6974341956107597,19,0.947032689091,-1.375542141334335,19,0.90751753918
Contraceptive with Aggreg,None,LS Squared Gini - LS Chi Square,1.6895255114275944,19,0.0537307508139,1.809386473773814,19,0.0431205696523,1.7935999250326566,19,0.0444047694834
Nursery,None,Twoing - LS Squared Gini,18.66175447287527,19,5.58442181386e-14,18.66175447287527,19,5.58442181386e-14,-11.4632262960326,19,0.999999999721
Nursery,None,Twoing - LS Chi Square,-8.503150316607377,19,0.999999966525,-8.503150316607377,19,0.999999966525,-1.1182177024790059,19,0.861293175822
Nursery,None,LS Squared Gini - LS Chi Square,-19.11966034836753,19,1.0,-19.11966034836753,19,1.0,10.410159418354366,19,1.37187716742e-09
Cover Type with Aggreg,None,Twoing - LS Squared Gini,-1.4529663145135576,19,0.918725000485,-1.4529663145135576,19,0.918725000485,-91.50059684711867,19,1.0
Cover Type with Aggreg,None,Twoing - LS Chi Square,6.425830712502713,19,1.83938708564e-06,6.425829871823754,19,1.8393902832e-06,-27.74087621212863,19,1.0
Cover Type with Aggreg,None,LS Squared Gini - LS Chi Square,6.42151452594259,19,1.85587962531e-06,6.421513696198836,19,1.85588281043e-06,25.439081769710192,19,2.22044604925e-16
KDD98 Multiclass 5,None,Twoing - LS Squared Gini,0.3979233275493189,19,0.347561147988,-3.7817641575304877,19,0.999369408237,11.41697295419614,19,2.99009594862e-10
KDD98 Multiclass 5,None,Twoing - LS Chi Square,-6.4588373135831985,19,0.999998281843,-6.304507558919645,19,0.999997633824,7.3901048754717324,19,2.66538866089e-07
KDD98 Multiclass 5,None,LS Squared Gini - LS Chi Square,-4.753506860115103,19,0.99993089989,-1.8043747162775714,19,0.956475288458,-2.0368233626754106,19,0.972077208383
KDD98 Multiclass 9,None,Twoing - LS Squared Gini,3.25741684755589,19,0.00207202577203,-1.5975556350105182,19,0.936680049526,17.17183989635469,19,2.49467113633e-13
KDD98 Multiclass 9,None,Twoing - LS Chi Square,-6.432075749321003,19,0.999998184209,-6.01882820426052,19,0.999995686187,9.060984745387552,19,1.256944826e-08
KDD98 Multiclass 9,None,LS Squared Gini - LS Chi Square,-10.838580825307023,19,0.999999999292,-4.454800315930658,19,0.999864158978,-6.408210760624439,19,0.99999809232
KDD98 Multiclass 3,None,Twoing - LS Squared Gini,-4.31129752812054,19,0.999811719588,-7.947336071305801,19,0.999999907578,10.381962088467011,19,1.43386058582e-09
KDD98 Multiclass 3,None,Twoing - LS Chi Square,-4.776448022896863,19,0.999934379396,-8.34543993139333,19,0.999999955527,7.8006703334592284,19,1.21645961304e-07
KDD98 Multiclass 3,None,LS Squared Gini - LS Chi Square,-1.2792020211785642,19,0.891885803272,-1.244688547029878,19,0.885809412831,-4.800606430685423,19,0.99993785164
Cars with Aggreg,None,Twoing - LS Squared Gini,1.0011512417950357,19,0.164667162267,1.0011512417950357,19,0.164667162267,-13.0495498286125,19,0.999999999969
Cars with Aggreg,None,Twoing - LS Chi Square,1.000422354415839,19,0.164838855412,1.000422354415839,19,0.164838855412,-1.5657627225318307,19,0.933046139872
Cars with Aggreg,None,LS Squared Gini - LS Chi Square,-18.517676078865808,19,1.0,-18.517676078865808,19,1.0,10.191836272269411,19,1.93593974185e-09
Contraceptive,None,Twoing - LS Squared Gini,-1.281505717022404,19,0.892282271698,-1.3414609596504923,19,0.902206990681,-6.640867504109141,19,0.999998817255
Contraceptive,None,Twoing - LS Chi Square,-2.2580630525970196,19,0.982050192157,-2.2132594793100333,19,0.980342647461,2.5720806530323364,19,0.00933144700774
Contraceptive,None,LS Squared Gini - LS Chi Square,-0.11854094337239053,19,0.546558321902,-0.009845377234592835,19,0.503876352562,8.908761153001596,19,1.63578884882e-08
