Dataset,Attribute,Criterion Difference Name,Paired t-statistics on Accuracy with Missing Values,Degrees of Freedom of Accuracy with Missing Values,P-value t-statistics on Accuracy with Missing Values,Paired t-statistics on Accuracy without Missing Values,Degrees of Freedom of Accuracy without Missing Values,P-value t-statistics on Accuracy without Missing Values,Paired t-statistics on Number of Nodes,Degrees of Freedom of Number of Nodes,P-value t-statistics on Number of Nodes
KDD98 Multiclass 2,None,LS Chi Square - LS Squared Gini,-3.4605930262797995,19,0.998690357092,-3.2615743254044305,19,0.997947253163,3.8448655636193045,19,0.000545999220661
KDD98 Multiclass 2,None,LS Chi Square - GW Squared Gini,-3.0696311188283874,19,0.996846216097,-3.060768852374411,19,0.996783439511,4.076708534415637,19,0.000321527229717
KDD98 Multiclass 2,None,LS Chi Square - Twoing,0.17263085402207845,19,0.432383624234,0.5958882717247428,19,0.279141239318,-2.1294404817322183,19,0.976743075398
KDD98 Multiclass 2,None,LS Chi Square - GW Chi Square,-1.7645638470519343,19,0.953146176033,-1.8462618117796192,19,0.959753558421,0.3526843518487258,19,0.36410367161
KDD98 Multiclass 2,None,LS Squared Gini - GW Squared Gini,1.0603205270702234,19,0.151146168077,0.8737934703011468,19,0.196570637922,-0.49299994735947533,19,0.68616897118
KDD98 Multiclass 2,None,LS Squared Gini - Twoing,4.3230379105301715,19,0.000183312527226,4.573232946310245,19,0.000103838115444,-6.254258535411517,19,0.999997372204
KDD98 Multiclass 2,None,LS Squared Gini - GW Chi Square,3.1974669276318783,19,0.00237051637147,2.941548126468827,19,0.0041882835057,-4.097104165970733,19,0.999693104223
KDD98 Multiclass 2,None,GW Squared Gini - Twoing,2.768459629773559,19,0.00611745601064,3.1389396720846117,19,0.00270224300956,-7.256260486287217,19,0.999999654103
KDD98 Multiclass 2,None,GW Squared Gini - GW Chi Square,1.6651174543915181,19,0.0561464929665,1.7583631399675232,19,0.0473917381617,-5.623103574291955,19,0.999989920273
KDD98 Multiclass 2,None,Twoing - GW Chi Square,-1.5530383737984377,19,0.93154368426,-2.150370253467591,19,0.977694186083,2.744597220838754,19,0.00644248822682
Poker Hand,None,LS Chi Square - LS Squared Gini,12.795466634295318,19,4.34904334767e-11,12.795466634295318,19,4.34904334767e-11,-0.6678393442008325,19,0.743866232847
