Date Time,Dataset,Total Number of Samples,Trial Number,Criterion,Maximum Depth Allowed,Number of folds,Is stratified?,Use Numeric Attributes?,Number of Samples Forcing a Leaf,Use Min Samples in Second Largest Class?,Min Samples in Second Largest Class,Uses Chi-Square Test,Maximum p-value Allowed by Chi-Square Test [between 0 and 1],Minimum Number in Second Most Frequent Value,Average Number of Valid Attributes in Root Node (m),Average Number of Valid Nominal Attributes in Root Node (m_nom),Average Number of Valid Numeric Attributes in Root Node (m_num),Total Time Taken for Cross-Validation [s],Accuracy Percentage on Trivial Trees (with no splits),Accuracy Percentage (with missing values),Accuracy Percentage (without missing values),Number of Samples Classified using Unkown Value,Percentage of Samples with Unkown Values for Accepted Attribute,Average Number of Values of Attribute Chosen at Root Node,Maximum Number of Values of Attribute Chosen at Root Node,Minimum Number of Values of Attribute Chosen at Root Node,Number of Trivial Splits [between 0 and number of folds],Average Number of Nodes (after prunning),Maximum Number of Nodes (after prunning),Minimum Number of Nodes (after prunning),Average Tree Depth (after prunning),Maximum Tree Depth (after prunning),Minimum Tree Depth (after prunning),Average Number of Nodes Pruned
32:32.6,Adult Census Income,30162,1,Twoing,16,3,TRUE,TRUE,1,FALSE,None,TRUE,0.1,15,14,8,6,16.46521983,75.10775148,83.09462237,83.08659636,103,0.341489291,6,6,6,0,2441.666667,2579,2291,16,16,16,186.6666667
32:49.7,Adult Census Income,30162,2,Twoing,16,3,TRUE,TRUE,1,FALSE,None,TRUE,0.1,15,14,8,6,17.10347283,75.10775148,82.95205888,82.95764346,84,0.278496121,6,6,6,0,2587,2621,2569,16,16,16,226
33:07.1,Adult Census Income,30162,3,Twoing,16,3,TRUE,TRUE,1,FALSE,None,TRUE,0.1,15,14,8,6,17.44838421,75.10775148,82.92885087,82.91928564,93,0.308334991,6,6,6,0,2576.333333,2659,2467,16,16,16,192.6666667
33:23.6,Adult Census Income,30162,4,Twoing,16,3,TRUE,TRUE,1,FALSE,None,TRUE,0.1,15,14,8,6,16.47004085,75.10775148,83.0316292,83.0125968,75,0.248657251,6,6,6,0,2623.666667,2657,2603,16,16,16,198.6666667
33:41.0,Adult Census Income,30162,5,Twoing,16,3,TRUE,TRUE,1,FALSE,None,TRUE,0.1,15,14,8,6,17.39719208,75.10775148,83.17419269,83.1819845,99,0.328227571,6,6,6,0,2561,2589,2511,16,16,16,209.3333333
33:56.6,Adult Census Income,30162,6,Twoing,16,3,TRUE,TRUE,1,FALSE,None,TRUE,0.1,15,14,8,6,15.58208586,75.10775148,82.56083814,82.52779442,120,0.397851601,6,6,6,0,2549,2837,2315,16,16,16,209.3333333
34:15.4,Adult Census Income,30162,7,Twoing,16,3,TRUE,TRUE,1,FALSE,None,TRUE,0.1,15,14,8,6,18.80774906,75.10775148,82.82938797,82.81961762,87,0.288442411,6,6,6,0,2611,2727,2481,16,16,16,215.3333333
34:32.5,Adult Census Income,30162,8,Twoing,16,3,TRUE,TRUE,1,FALSE,None,TRUE,0.1,15,14,8,6,17.05121114,75.10775148,82.95537431,82.94790005,66,0.218818381,6,6,6,0,2553,2681,2437,16,16,16,211.3333333
34:48.3,Adult Census Income,30162,9,Twoing,16,3,TRUE,TRUE,1,FALSE,None,TRUE,0.1,15,14,8,6,15.75347708,75.10775148,82.40501293,82.40731505,87,0.288442411,6,6,6,0,2596.333333,2767,2491,16,16,16,198
35:03.1,Adult Census Income,30162,10,Twoing,16,3,TRUE,TRUE,1,FALSE,None,TRUE,0.1,15,14,8,6,14.83714215,75.10775148,83.19408527,83.19489667,64,0.212187521,6,6,6,0,2539.666667,2585,2511,16,16,16,208.6666667
35:18.5,Adult Census Income,30162,11,Twoing,16,3,TRUE,TRUE,1,FALSE,None,TRUE,0.1,15,14,8,6,15.42713575,75.10775148,83.27034016,83.26906456,80,0.265234401,6,6,6,0,2545.666667,2611,2509,16,16,16,229.3333333
35:33.5,Adult Census Income,30162,12,Twoing,16,3,TRUE,TRUE,1,FALSE,None,TRUE,0.1,15,14,8,6,14.95560757,75.10775148,83.17087726,83.18033659,96,0.318281281,6,6,6,0,2522.333333,2611,2421,16,16,16,209.3333333
35:50.5,Adult Census Income,30162,13,Twoing,16,3,TRUE,TRUE,1,FALSE,None,TRUE,0.1,15,14,8,6,16.96898856,75.10775148,83.12446124,83.12063809,72,0.238710961,6,6,6,0,2610.333333,2689,2527,16,16,16,198.6666667
36:06.4,Adult Census Income,30162,14,Twoing,16,3,TRUE,TRUE,1,FALSE,None,TRUE,0.1,15,14,8,6,15.93492303,75.10775148,82.74650222,82.74050927,80,0.265234401,6,6,6,0,2663.666667,2745,2613,16,16,16,205.3333333
36:25.7,Adult Census Income,30162,15,Twoing,16,3,TRUE,TRUE,1,FALSE,None,TRUE,0.1,15,14,8,6,19.24329536,75.10775148,82.97858232,82.98480668,83,0.275180691,6,6,6,0,2551.666667,2613,2473,16,16,16,201.3333333
36:40.5,Adult Census Income,30162,16,Twoing,16,3,TRUE,TRUE,1,FALSE,None,TRUE,0.1,15,14,8,6,14.79403918,75.10775148,82.72660964,82.72101606,85,0.281811551,6,6,6,0,2641,2715,2603,16,16,16,215.3333333
