Dataset,Attribute,Criterion Difference Name,Paired t-statistics on Accuracy with Missing Values,Degrees of Freedom of Accuracy with Missing Values,P-value t-statistics on Accuracy with Missing Values,Paired t-statistics on Accuracy without Missing Values,Degrees of Freedom of Accuracy without Missing Values,P-value t-statistics on Accuracy without Missing Values,Paired t-statistics on Number of Nodes,Degrees of Freedom of Number of Nodes,P-value t-statistics on Number of Nodes
Cover Type with Aggreg,None,Conditional Inference Tree LS Squared Gini - Conditional Inference Tree LS Chi Square,0.0,19,0.5,0.0,19,0.5,-12.583057405204345,19,0.999999999942
Cover Type with Aggreg,None,Conditional Inference Tree LS Squared Gini - Conditional Inference Tree Twoing,0.0,19,0.5,0.0,19,0.5,-12.583057405204345,19,0.999999999942
Cover Type with Aggreg,None,Conditional Inference Tree LS Chi Square - Conditional Inference Tree Twoing,0.0,19,0.5,0.0,19,0.5,0.0,19,0.5
Nursery with Aggreg,None,Conditional Inference Tree LS Squared Gini - Conditional Inference Tree LS Chi Square,-33.44787087095045,19,1.0,-33.44787087095045,19,1.0,34.02084786085425,19,0.0
Nursery with Aggreg,None,Conditional Inference Tree LS Squared Gini - Conditional Inference Tree Twoing,-33.36799619972495,19,1.0,-33.36799619972495,19,1.0,29.603545026117338,19,0.0
Nursery with Aggreg,None,Conditional Inference Tree LS Chi Square - Conditional Inference Tree Twoing,0.9273540100891761,19,0.182687014965,0.9273540100891761,19,0.182687014965,3.9627815676362816,19,0.000417090820096
Poker Hand,None,Conditional Inference Tree LS Squared Gini - Conditional Inference Tree LS Chi Square,-1.7310544353507975,19,0.950175191825,-1.7310544353507975,19,0.950175191825,9.808932172110886,19,3.58733243111e-09
Poker Hand,None,Conditional Inference Tree LS Squared Gini - Conditional Inference Tree Twoing,-4.0372589712706715,19,0.999648158744,-4.0372589712706715,19,0.999648158744,6.928558289541904,19,6.61475456409e-07
Poker Hand,None,Conditional Inference Tree LS Chi Square - Conditional Inference Tree Twoing,-4.110297805014963,19,0.999702211561,-4.110297805014963,19,0.999702211561,-3.0209834876766073,19,0.996486361024
Cover Type,None,Conditional Inference Tree LS Squared Gini - Conditional Inference Tree LS Chi Square,0.0,19,0.5,0.0,19,0.5,0.0,19,0.5
Cover Type,None,Conditional Inference Tree LS Squared Gini - Conditional Inference Tree Twoing,0.0,19,0.5,0.0,19,0.5,0.0,19,0.5
Cover Type,None,Conditional Inference Tree LS Chi Square - Conditional Inference Tree Twoing,0.0,19,0.5,0.0,19,0.5,0.0,19,0.5
Mushroom,None,Conditional Inference Tree LS Squared Gini - Conditional Inference Tree LS Chi Square,-1.3616482519356574,19,0.905381045157,-1.1691448581764048,19,0.87159774823,19.40899200495502,19,2.74225087082e-14
Mushroom,None,Conditional Inference Tree LS Squared Gini - Conditional Inference Tree Twoing,1.5614204735458435,19,0.0674634557864,1.8057574582361866,19,0.0434128804141,19.980925754907698,19,1.62092561595e-14
Mushroom,None,Conditional Inference Tree LS Chi Square - Conditional Inference Tree Twoing,3.598716650033268,19,0.000957013658428,3.809599749659246,19,0.000591776275326,-0.17176468087235536,19,0.567280614551
KDD98 Multiclass 5,None,Conditional Inference Tree LS Squared Gini - Conditional Inference Tree LS Chi Square,1.6917118753513525,19,0.0535187611791,4.0065921224706775,19,0.00037737069824,-6.335243460427914,19,0.99999778048
KDD98 Multiclass 5,None,Conditional Inference Tree LS Squared Gini - Conditional Inference Tree Twoing,6.179454401724464,19,3.07365956043e-06,9.507542364214236,19,5.89848470067e-09,-20.416116057800586,19,1.0
KDD98 Multiclass 5,None,Conditional Inference Tree LS Chi Square - Conditional Inference Tree Twoing,4.688272478436654,19,8.00523845581e-05,6.284219477841331,19,2.46841686113e-06,-11.34424033670522,19,0.999999999667
KDD98 Multiclass 3,None,Conditional Inference Tree LS Squared Gini - Conditional Inference Tree LS Chi Square,8.141402779974795,19,6.45340034744e-08,8.911476396601818,19,1.62807938242e-08,-9.50638685831352,19,0.99999999409
KDD98 Multiclass 3,None,Conditional Inference Tree LS Squared Gini - Conditional Inference Tree Twoing,5.2977191511481605,19,2.05322992306e-05,9.75111264879369,19,3.94320565089e-09,-21.189368471367253,19,1.0
KDD98 Multiclass 3,None,Conditional Inference Tree LS Chi Square - Conditional Inference Tree Twoing,-1.0195012617037071,19,0.839614044236,1.7196576501788743,19,0.0508716131419,-12.156722204591766,19,0.999999999896
Cars,None,Conditional Inference Tree LS Squared Gini - Conditional Inference Tree LS Chi Square,-33.18487539612262,19,1.0,-33.18487539612262,19,1.0,16.98653504634289,19,3.0297986342e-13
Cars,None,Conditional Inference Tree LS Squared Gini - Conditional Inference Tree Twoing,-28.363037449086033,19,1.0,-28.363037449086033,19,1.0,16.451793402719147,19,5.36237720894e-13
Cars,None,Conditional Inference Tree LS Chi Square - Conditional Inference Tree Twoing,2.411369761012927,19,0.0130890587402,2.411369761012927,19,0.0130890587402,1.3083967721104173,19,0.103173103177
Reuters Phonemes 10000 samples 15 classes,None,Conditional Inference Tree LS Squared Gini - Conditional Inference Tree LS Chi Square,-12.516295496386183,19,0.999999999937,-11.789584769768048,19,0.999999999825,-13.339075722217649,19,0.999999999979
Reuters Phonemes 10000 samples 15 classes,None,Conditional Inference Tree LS Squared Gini - Conditional Inference Tree Twoing,-18.960521445897733,19,1.0,-19.225667043359987,19,1.0,-7.953348022804702,19,0.999999908607
Reuters Phonemes 10000 samples 15 classes,None,Conditional Inference Tree LS Chi Square - Conditional Inference Tree Twoing,-3.6379737204554012,19,0.999124788706,-3.6944893016258575,19,0.999230522873,2.111090492621609,19,0.024120967068
San Francisco Crime 15 classes,None,Conditional Inference Tree LS Squared Gini - Conditional Inference Tree LS Chi Square,-2.5687761497844166,19,0.99060275133,-2.5687761497844166,19,0.99060275133,57.96783629972398,19,0.0
San Francisco Crime 15 classes,None,Conditional Inference Tree LS Squared Gini - Conditional Inference Tree Twoing,-0.8952132288122951,19,0.809062751956,-0.8952132288122951,19,0.809062751956,67.20014099399934,19,0.0
San Francisco Crime 15 classes,None,Conditional Inference Tree LS Chi Square - Conditional Inference Tree Twoing,1.6661883152655799,19,0.0560385969241,1.6661883152655799,19,0.0560385969241,9.189373406267215,19,1.00873918107e-08
Contraceptive,None,Conditional Inference Tree LS Squared Gini - Conditional Inference Tree LS Chi Square,1.6503984659916766,19,0.0576475361939,1.6864395334562716,19,0.0540311889956,3.1628156781511,19,0.00256178254865
Contraceptive,None,Conditional Inference Tree LS Squared Gini - Conditional Inference Tree Twoing,1.4940234061354867,19,0.0757959329586,1.5011983896793493,19,0.0748703168166,2.997816990794636,19,0.00369869514301
Contraceptive,None,Conditional Inference Tree LS Chi Square - Conditional Inference Tree Twoing,-0.11308789253577421,19,0.544426394168,-0.12892413510949746,19,0.550613679179,-0.3888362559603295,19,0.649139773739
Cars with Aggreg,None,Conditional Inference Tree LS Squared Gini - Conditional Inference Tree LS Chi Square,-32.2976601604045,19,1.0,-32.2976601604045,19,1.0,18.22130652949765,19,8.5931262106e-14
Cars with Aggreg,None,Conditional Inference Tree LS Squared Gini - Conditional Inference Tree Twoing,-28.868348905450773,19,1.0,-28.868348905450773,19,1.0,19.069418246468253,19,3.78586051397e-14
Cars with Aggreg,None,Conditional Inference Tree LS Chi Square - Conditional Inference Tree Twoing,2.7894542512564064,19,0.00584450358778,2.7894542512564064,19,0.00584450358778,1.9826836568264483,19,0.0310253851862
Nursery,None,Conditional Inference Tree LS Squared Gini - Conditional Inference Tree LS Chi Square,-39.89345780395805,19,1.0,-39.89345780395805,19,1.0,30.420731437874075,19,0.0
Nursery,None,Conditional Inference Tree LS Squared Gini - Conditional Inference Tree Twoing,-40.89154378743016,19,1.0,-40.89154378743016,19,1.0,25.061834979410488,19,2.22044604925e-16
Nursery,None,Conditional Inference Tree LS Chi Square - Conditional Inference Tree Twoing,0.7081428356339926,19,0.243726952215,0.7081428356339926,19,0.243726952215,4.220485753928029,19,0.000231579949937
KDD98 Multiclass 9,None,Conditional Inference Tree LS Squared Gini - Conditional Inference Tree LS Chi Square,3.14130818271762,19,0.00268798069834,5.525922333191098,19,1.2450847078e-05,-13.071510910166873,19,0.99999999997
KDD98 Multiclass 9,None,Conditional Inference Tree LS Squared Gini - Conditional Inference Tree Twoing,5.266650854705401,19,2.19886850675e-05,9.033098830198805,19,1.3188107828e-08,-26.46892584387957,19,1.0
KDD98 Multiclass 9,None,Conditional Inference Tree LS Chi Square - Conditional Inference Tree Twoing,3.8690278044909605,19,0.000516690325147,5.55512947847987,19,1.16835517626e-05,-16.44010758862698,19,0.999999999999
Adult Census Income,None,Conditional Inference Tree LS Squared Gini - Conditional Inference Tree LS Chi Square,-5.635146098798235,19,0.999990179987,-5.6735070382241055,19,0.999990962499,3.7185753017241536,19,0.000728364076241
Adult Census Income,None,Conditional Inference Tree LS Squared Gini - Conditional Inference Tree Twoing,-5.555559382176949,19,0.999988327373,-5.677143853583735,19,0.999991033288,0.7464274715147995,19,0.232272869516
Adult Census Income,None,Conditional Inference Tree LS Chi Square - Conditional Inference Tree Twoing,0.6101189859349896,19,0.274505758885,0.5041539740673802,19,0.309974668779,-3.5480771205905364,19,0.998926199209
KDD98 Multiclass 2,None,Conditional Inference Tree LS Squared Gini - Conditional Inference Tree LS Chi Square,5.132120900890721,19,2.9618208129e-05,4.7142397491783266,19,7.5496050709e-05,-9.234751725497045,19,0.999999990663
KDD98 Multiclass 2,None,Conditional Inference Tree LS Squared Gini - Conditional Inference Tree Twoing,14.770098738325611,19,3.61000118687e-12,15.382465105079163,19,1.76580972067e-12,-14.967117734071321,19,0.999999999997
KDD98 Multiclass 2,None,Conditional Inference Tree LS Chi Square - Conditional Inference Tree Twoing,5.0504599349132695,19,3.55183135933e-05,7.434337797027546,19,2.44672721417e-07,-9.188962930412504,19,0.999999989906
Contraceptive with Aggreg,None,Conditional Inference Tree LS Squared Gini - Conditional Inference Tree LS Chi Square,0.36173125540252016,19,0.360772256752,0.13292882861931535,19,0.447823709906,3.5871314908627023,19,0.000982570214271
Contraceptive with Aggreg,None,Conditional Inference Tree LS Squared Gini - Conditional Inference Tree Twoing,2.775438121911378,19,0.00602540282231,2.719558700908958,19,0.00680123803619,0.953835604856958,19,0.176072718202
