Date Time,Dataset,Total Number of Samples,Trial Number,Criterion,Maximum Depth Allowed,Number of folds,Is stratified?,Use Numeric Attributes?,Number of Samples Forcing a Leaf,Use Min Samples in Second Largest Class?,Min Samples in Second Largest Class,Uses Chi-Square Test,Maximum p-value Allowed by Chi-Square Test [between 0 and 1],Minimum Number in Second Most Frequent Value,Average Number of Valid Attributes in Root Node (m),Average Number of Valid Nominal Attributes in Root Node (m_nom),Average Number of Valid Numeric Attributes in Root Node (m_num),Total Time Taken for Cross-Validation [s],Accuracy Percentage on Trivial Trees (with no splits),Accuracy Percentage (with missing values),Accuracy Percentage (without missing values),Number of Samples Classified using Unkown Value,Percentage of Samples with Unkown Values for Accepted Attribute,Average Number of Values of Attribute Chosen at Root Node,Maximum Number of Values of Attribute Chosen at Root Node,Minimum Number of Values of Attribute Chosen at Root Node,Number of Trivial Splits [between 0 and number of folds],Average Number of Nodes (after prunning),Maximum Number of Nodes (after prunning),Minimum Number of Nodes (after prunning),Average Tree Depth (after prunning),Maximum Tree Depth (after prunning),Minimum Tree Depth (after prunning),Average Number of Nodes Pruned
2017-11-06 12:52:29.888436,Adult Census Income,30162,1,Twoing,16,3,True,False,1,False,None,True,0.1,15,8.0,8.0,0.0,4.2631792080001105,75.10775147536636,82.37185863006432,82.37130521421454,52,0.17240236058616804,6.0,6,6,0,96.3333333333,107,83,9.66666666667,11,8,87.3333333333
2017-11-06 12:52:33.877134,Adult Census Income,30162,2,Twoing,16,3,True,False,1,False,None,True,0.1,15,8.0,8.0,0.0,3.987352392000048,75.10775147536636,82.37185863006432,82.3761915833527,55,0.18234865061998543,6.0,6,6,0,92.3333333333,115,71,9.66666666667,12,8,88.6666666667
2017-11-06 12:52:38.000845,Adult Census Income,30162,3,Twoing,16,3,True,False,1,False,None,True,0.1,15,8.0,8.0,0.0,4.122266587000013,75.10775147536636,82.55420728068431,82.55960682738926,48,0.15914064054107818,6.0,6,6,0,99.0,111,79,9.33333333333,10,9,85.3333333333
2017-11-06 12:52:41.839525,Adult Census Income,30162,4,Twoing,16,3,True,False,1,False,None,True,0.1,15,8.0,8.0,0.0,3.836481945000287,75.10775147536636,82.7365559313043,82.73995350381932,52,0.17240236058616804,6.0,6,6,0,89.0,95,79,9.33333333333,10,8,94.0
2017-11-06 12:52:45.864219,Adult Census Income,30162,5,Twoing,16,3,True,False,1,False,None,True,0.1,15,8.0,8.0,0.0,4.023304906999783,75.10775147536636,82.54426099065049,82.5503801334617,41,0.13593263046217094,6.0,6,6,0,81.6666666667,97,69,8.66666666667,9,8,91.3333333333
2017-11-06 12:52:50.120129,Adult Census Income,30162,6,Twoing,16,3,True,False,1,False,None,True,0.1,15,8.0,8.0,0.0,4.25468128600005,75.10775147536636,82.61720045089848,82.6092732828484,54,0.17903322060871296,6.0,6,6,0,79.6666666667,91,61,8.0,9,7,95.3333333333
2017-11-06 12:52:54.466620,Adult Census Income,30162,7,Twoing,16,3,True,False,1,False,None,True,0.1,15,8.0,8.0,0.0,4.3452832100001615,75.10775147536636,82.52105298057158,82.51601978817358,43,0.14256349048471587,6.0,6,6,0,81.6666666667,105,63,9.33333333333,10,9,110.0
2017-11-06 12:52:58.617223,Adult Census Income,30162,8,Twoing,16,3,True,False,1,False,None,True,0.1,15,8.0,8.0,0.0,4.149265181999908,75.10775147536636,82.46469067037995,82.45882040382571,50,0.1657715005636231,6.0,6,6,0,95.0,97,93,10.3333333333,12,9,94.0
2017-11-06 12:53:02.614770,Adult Census Income,30162,9,Twoing,16,3,True,False,1,False,None,True,0.1,15,8.0,8.0,0.0,3.9956112300001223,75.10775147536636,82.54757642066176,82.54326811281268,59,0.19561037066507525,6.0,6,6,0,81.6666666667,95,61,8.0,9,7,112.0
2017-11-06 12:53:06.841251,Adult Census Income,30162,10,Twoing,16,3,True,False,1,False,None,True,0.1,15,8.0,8.0,0.0,4.225154051000118,75.10775147536636,82.44148266030103,82.43494423791822,34,0.11272462038326371,6.0,6,6,0,89.6666666667,115,67,9.66666666667,11,9,87.3333333333
