Date Time,Dataset,Total Number of Samples,Trial Number,Criterion,Maximum Depth Allowed,Number of folds,Is stratified?,Use Numeric Attributes?,Number of Samples Forcing a Leaf,Use Min Samples in Second Largest Class?,Min Samples in Second Largest Class,Uses Chi-Square Test,Maximum p-value Allowed by Chi-Square Test [between 0 and 1],Minimum Number in Second Most Frequent Value,Average Number of Valid Attributes in Root Node (m),Average Number of Valid Nominal Attributes in Root Node (m_nom),Average Number of Valid Numeric Attributes in Root Node (m_num),Total Time Taken for Cross-Validation [s],Accuracy Percentage on Trivial Trees (with no splits),Accuracy Percentage (with missing values),Accuracy Percentage (without missing values),Number of Samples Classified using Unkown Value,Percentage of Samples with Unkown Values for Accepted Attribute,Average Number of Values of Attribute Chosen at Root Node,Maximum Number of Values of Attribute Chosen at Root Node,Minimum Number of Values of Attribute Chosen at Root Node,Number of Trivial Splits [between 0 and number of folds],Average Number of Nodes (after prunning),Maximum Number of Nodes (after prunning),Minimum Number of Nodes (after prunning),Average Tree Depth (after prunning),Maximum Tree Depth (after prunning),Minimum Tree Depth (after prunning),Average Number of Nodes Pruned
2017-11-16 10:38:25.834961,Adult Census Income,30162,1,Twoing,16,3,True,False,1,False,None,True,0.1,15,8.0,8.0,0.0,4.365359728006297,75.10775147536636,82.37185863006432,82.37130521421454,52,0.17240236058616804,6.0,6,6,0,96.3333333333,107,83,9.66666666667,11,8,87.3333333333
2017-11-16 10:38:30.147096,Adult Census Income,30162,2,Twoing,16,3,True,False,1,False,None,True,0.1,15,8.0,8.0,0.0,4.310875263996422,75.10775147536636,82.37185863006432,82.3761915833527,55,0.18234865061998543,6.0,6,6,0,92.3333333333,115,71,9.66666666667,12,8,88.6666666667
2017-11-16 10:38:34.342590,Adult Census Income,30162,3,Twoing,16,3,True,False,1,False,None,True,0.1,15,8.0,8.0,0.0,4.194152273004875,75.10775147536636,82.55420728068431,82.55960682738926,48,0.15914064054107818,6.0,6,6,0,99.0,111,79,9.33333333333,10,9,85.3333333333
2017-11-16 10:38:38.650737,Adult Census Income,30162,4,Twoing,16,3,True,False,1,False,None,True,0.1,15,8.0,8.0,0.0,4.306718009000178,75.10775147536636,82.7365559313043,82.73995350381932,52,0.17240236058616804,6.0,6,6,0,89.0,95,79,9.33333333333,10,8,94.0
2017-11-16 10:38:42.824690,Adult Census Income,30162,5,Twoing,16,3,True,False,1,False,None,True,0.1,15,8.0,8.0,0.0,4.17260738099867,75.10775147536636,82.54426099065049,82.5503801334617,41,0.13593263046217094,6.0,6,6,0,81.6666666667,97,69,8.66666666667,9,8,91.3333333333
2017-11-16 10:38:47.271584,Adult Census Income,30162,6,Twoing,16,3,True,False,1,False,None,True,0.1,15,8.0,8.0,0.0,4.445779024012154,75.10775147536636,82.61720045089848,82.6092732828484,54,0.17903322060871296,6.0,6,6,0,79.6666666667,91,61,8.0,9,7,95.3333333333
2017-11-16 10:38:51.435588,Adult Census Income,30162,7,Twoing,16,3,True,False,1,False,None,True,0.1,15,8.0,8.0,0.0,4.162755932004075,75.10775147536636,82.52105298057158,82.51601978817358,43,0.14256349048471587,6.0,6,6,0,81.6666666667,105,63,9.33333333333,10,9,110.0
2017-11-16 10:38:56.104696,Adult Census Income,30162,8,Twoing,16,3,True,False,1,False,None,True,0.1,15,8.0,8.0,0.0,4.66794379199564,75.10775147536636,82.46469067037995,82.45882040382571,50,0.1657715005636231,6.0,6,6,0,95.0,97,93,10.3333333333,12,9,94.0
2017-11-16 10:39:00.266953,Adult Census Income,30162,9,Twoing,16,3,True,False,1,False,None,True,0.1,15,8.0,8.0,0.0,4.160802007012535,75.10775147536636,82.54757642066176,82.54326811281268,59,0.19561037066507525,6.0,6,6,0,81.6666666667,95,61,8.0,9,7,112.0
2017-11-16 10:39:04.739772,Adult Census Income,30162,10,Twoing,16,3,True,False,1,False,None,True,0.1,15,8.0,8.0,0.0,4.471670787999756,75.10775147536636,82.44148266030103,82.43494423791822,34,0.11272462038326371,6.0,6,6,0,89.6666666667,115,67,9.66666666667,11,9,87.3333333333
