Dataset,Attribute,Criterion Difference Name,Paired t-statistics on Accuracy with Missing Values,Degrees of Freedom of Accuracy with Missing Values,P-value t-statistics on Accuracy with Missing Values,Paired t-statistics on Accuracy without Missing Values,Degrees of Freedom of Accuracy without Missing Values,P-value t-statistics on Accuracy without Missing Values,Paired t-statistics on Number of Nodes,Degrees of Freedom of Number of Nodes,P-value t-statistics on Number of Nodes
Contraceptive,None,LS Chi Square - Twoing,0.7612768505918588,9,0.232984960146,0.6991249351571016,9,0.251070094541,-0.9370425713216377,9,0.813400613667
Contraceptive,None,LS Chi Square - LS Squared Gini,-0.30547272288467675,9,0.616523353335,-0.4383459026612779,9,0.664265689287,-6.69475484903247,9,0.999955466243
Contraceptive,None,Twoing - LS Squared Gini,-0.9561350381251504,9,0.818009976226,-1.0418103311426974,9,0.83766217493,-5.707767360978887,9,0.999854285671
Poker Hand,None,LS Chi Square - Twoing,-4.853622846858647,9,0.999548108036,-4.853622846858647,9,0.999548108036,-1.7352239316372189,9,0.941638119401
Poker Hand,None,LS Chi Square - LS Squared Gini,7.8952891820973266,9,1.22940041184e-05,7.8952891820973266,9,1.22940041184e-05,-2.454318231080167,9,0.981751370954
Poker Hand,None,Twoing - LS Squared Gini,11.250949755021685,9,6.65347656081e-07,11.250949755021685,9,6.65347656081e-07,-1.0222025039801534,9,0.833312690825
Contraceptive with Aggreg,None,LS Chi Square - Twoing,1.6422932746000674,9,0.0674725478199,1.619061187563052,9,0.0699434721782,0.9490755591021139,9,0.183684537685
Contraceptive with Aggreg,None,LS Chi Square - LS Squared Gini,-2.2688530991430502,9,0.975272144489,-2.457590882409257,9,0.981849081453,-1.7464157492569672,9,0.942655720921
Contraceptive with Aggreg,None,Twoing - LS Squared Gini,-6.901280610479353,9,0.99996471563,-7.181652230946321,9,0.999974074197,-3.4306312493660585,9,0.996249623256
Nursery with Aggreg,None,LS Chi Square - Twoing,2.650037610342361,9,0.0132372831067,2.650037610342361,9,0.0132372831067,-1.072350134501252,9,0.844263124412
Nursery with Aggreg,None,LS Chi Square - LS Squared Gini,9.686635123178963,9,2.33051419418e-06,9.686635123178963,9,2.33051419418e-06,-7.41229589822915,9,0.999979748413
Nursery with Aggreg,None,Twoing - LS Squared Gini,7.077527079357037,9,2.90397230885e-05,7.077527079357037,9,2.90397230885e-05,-9.939842390330972,9,0.999998118772
Nursery,None,LS Chi Square - Twoing,8.446387595571789,9,7.15388854744e-06,8.446387595571789,9,7.15388854744e-06,0.6958740458775893,9,0.252039608626
Nursery,None,LS Chi Square - LS Squared Gini,16.734870116808484,9,2.17285106574e-08,16.734870116808484,9,2.17285106574e-08,-8.482328763024622,9,0.99999308755
Nursery,None,Twoing - LS Squared Gini,16.307946593392593,9,2.72335594076e-08,16.307946593392593,9,2.72335594076e-08,-8.851304612199353,9,0.999995108666
Cover Type,None,LS Chi Square - Twoing,-14.65967744496208,9,0.999999931165,-14.65967744496208,9,0.999999931165,-23.785750035601954,9,0.999999999021
Cover Type,None,LS Chi Square - LS Squared Gini,-55.15826092542719,9,0.999999999999,-55.15826092542719,9,0.999999999999,-209.8533434625993,9,1.0
Cover Type,None,Twoing - LS Squared Gini,-12.442796068113998,9,0.999999717414,-12.442796068113998,9,0.999999717414,-109.67451846708609,9,1.0
KDD98 Multiclass 2,None,LS Chi Square - Twoing,1.4963521077948208,9,0.0843902914791,2.10813792567596,9,0.0321318857836,-6.806651098538136,9,0.999960768056
KDD98 Multiclass 2,None,LS Chi Square - LS Squared Gini,-2.6202817390772846,9,0.986100953106,-2.7985810125194206,9,0.989619646429,4.8989794855587006,9,0.000424420695122
KDD98 Multiclass 2,None,Twoing - LS Squared Gini,-4.964106154366702,9,0.999611927972,-5.844946974659423,9,0.999877350447,9.106008431355825,9,3.87866568718e-06
KDD98 Multiclass 9,None,LS Chi Square - Twoing,4.364084554168329,9,0.000906321169839,2.8245922627272573,9,0.00994863612629,-7.412967522161138,9,0.999979762804
KDD98 Multiclass 9,None,LS Chi Square - LS Squared Gini,5.610928049105832,9,0.000164815848731,1.7972055782812002,9,0.0529288754547,9.43360153673754,9,2.90045197826e-06
