Dataset,Attribute,Criterion Difference Name,Paired t-statistics on Accuracy with Missing Values,Degrees of Freedom of Accuracy with Missing Values,P-value t-statistics on Accuracy with Missing Values,Paired t-statistics on Accuracy without Missing Values,Degrees of Freedom of Accuracy without Missing Values,P-value t-statistics on Accuracy without Missing Values,Paired t-statistics on Number of Nodes,Degrees of Freedom of Number of Nodes,P-value t-statistics on Number of Nodes
Contraceptive with Aggreg,None,LS Chi Square - Twoing,1.6156672412378927,19,0.0613249441045,1.57747712880008,19,0.0655951091517,2.586570064065008,19,0.00904802666214
Contraceptive with Aggreg,None,LS Chi Square - LS Squared Gini,-1.8733879275257244,19,0.961759212495,-2.0037509876268933,19,0.970216845679,-2.092457497396436,19,0.974971970596
Contraceptive with Aggreg,None,Twoing - LS Squared Gini,-3.52541790835802,19,0.998869479238,-3.5274384384489545,19,0.99887465494,-4.7304987494731305,19,0.999927222089
Cars with Aggreg,None,LS Chi Square - Twoing,11.60171764334382,19,2.2859392157e-10,11.60171764334382,19,2.2859392157e-10,55.198814216288746,19,0.0
Cars with Aggreg,None,LS Chi Square - LS Squared Gini,6.3728644136506505,19,2.05267199493e-06,6.3728644136506505,19,2.05267199493e-06,-30.788261074535267,19,1.0
Cars with Aggreg,None,Twoing - LS Squared Gini,-3.0459904530835145,19,0.996676048712,-3.0459904530835145,19,0.996676048712,-42.332209313202625,19,1.0
KDD98 Multiclass 2,None,LS Chi Square - Twoing,0.17263085402207845,19,0.432383624234,0.5958882717247428,19,0.279141239318,-2.1294404817322183,19,0.976743075398
KDD98 Multiclass 2,None,LS Chi Square - LS Squared Gini,-3.4605930262797995,19,0.998690357092,-3.2615743254044305,19,0.997947253163,3.8448655636193045,19,0.000545999220661
KDD98 Multiclass 2,None,Twoing - LS Squared Gini,-4.3230379105301715,19,0.999816687473,-4.573232946310245,19,0.999896161885,6.254258535411517,19,2.62779588767e-06
Cover Type,None,LS Chi Square - Twoing,-15.683966519006649,19,0.999999999999,-15.683966519006649,19,0.999999999999,1.2853691739286082,19,0.107055364681
Cover Type,None,LS Chi Square - LS Squared Gini,-inf,19,1.0,-inf,19,1.0,-inf,19,1.0
Cover Type,None,Twoing - LS Squared Gini,-17.09427386629557,19,1.0,-17.09427386629557,19,1.0,-78.40751960289703,19,1.0
Cars,None,LS Chi Square - Twoing,-0.9969384949774655,19,0.834338773683,-0.9969384949774655,19,0.834338773683,-7.093963935912901,19,0.999999524001
Cars,None,LS Chi Square - LS Squared Gini,-11.745271402027536,19,0.999999999814,-11.745271402027536,19,0.999999999814,-35.858681940204015,19,1.0
Cars,None,Twoing - LS Squared Gini,-11.74562130976881,19,0.999999999814,-11.74562130976881,19,0.999999999814,-31.161697865937743,19,1.0
Cover Type with Aggreg,None,LS Chi Square - Twoing,-1.273829634780346e+16,19,1.0,-271851.813458071,19,1.0,-185.2293944650241,19,1.0
Cover Type with Aggreg,None,LS Chi Square - LS Squared Gini,-1352.2717170639364,19,1.0,-1349.5457071883404,19,1.0,-147.51707620180258,19,1.0
Cover Type with Aggreg,None,Twoing - LS Squared Gini,78.00599984535526,19,0.0,78.00656463268952,19,0.0,60.55899398754969,19,0.0
Contraceptive,None,LS Chi Square - Twoing,1.1759145885723274,19,0.127076790641,1.1242504672101925,19,0.137455228406,-1.7000555928652548,19,0.947283678938
Contraceptive,None,LS Chi Square - LS Squared Gini,0.4730803765442511,19,0.320772706951,0.3600431457623594,19,0.361393026894,-9.290705263910562,19,0.999999991508
Contraceptive,None,Twoing - LS Squared Gini,-0.5141823449338355,19,0.693473346281,-0.5769075758577173,19,0.714612640166,-10.364903606168628,19,0.999999998527
Nursery with Aggreg,None,LS Chi Square - Twoing,-5.414952227624768,19,0.999984131678,-5.414952227624768,19,0.999984131678,1.4529663145135578,19,0.0812749995149
Nursery with Aggreg,None,LS Chi Square - LS Squared Gini,12.349097280472877,19,7.96930299529e-11,12.349097280472877,19,7.96930299529e-11,10.987496798913652,19,5.65471558467e-10
Nursery with Aggreg,None,Twoing - LS Squared Gini,16.83738918491783,19,3.54716256368e-13,16.83738918491783,19,3.54716256368e-13,9.23297284786752,19,9.36555000219e-09
KDD98 Multiclass 3,None,LS Chi Square - Twoing,3.2384658567294107,19,0.00216217259205,4.747540133794287,19,7.00353812633e-05,-4.156784160565075,19,0.999732193315
KDD98 Multiclass 3,None,LS Chi Square - LS Squared Gini,3.9953259041055333,19,0.000387208360678,4.082644934899748,19,0.000317197852468,-6.970438606642484,19,0.999999391616
KDD98 Multiclass 3,None,Twoing - LS Squared Gini,0.105823238038598,19,0.458415936958,-2.011664135962287,19,0.970671812022,-0.9534437384871245,19,0.823830613442
Poker Hand,None,LS Chi Square - Twoing,0.12522677581277378,19,0.450829765611,0.12522677581277378,19,0.450829765611,-2.6228866855669297,19,0.991627002807
Poker Hand,None,LS Chi Square - LS Squared Gini,12.795466634295318,19,4.34904334767e-11,12.795466634295318,19,4.34904334767e-11,-0.6678393442008325,19,0.743866232847
Poker Hand,None,Twoing - LS Squared Gini,12.524295464236493,19,6.27039531409e-11,12.524295464236493,19,6.27039531409e-11,2.043968673994407,19,0.0275348474183
Mushroom,None,LS Chi Square - Twoing,-3.5590260840104366,19,0.998952589118,-3.5590260840104366,19,0.998952589118,74.10128203626851,19,0.0
Mushroom,None,LS Chi Square - LS Squared Gini,-1.831103813679509,19,0.958593078708,-1.831103813679509,19,0.958593078708,47.947888376332116,19,0.0
Mushroom,None,Twoing - LS Squared Gini,1.0,19,0.164938400461,1.0,19,0.164938400461,-inf,19,1.0
Adult Census Income,None,LS Chi Square - Twoing,1.1178323840221471,19,0.138787048884,1.1268533257845512,19,0.136917802335,-3.969218326655461,19,0.999588997019
Adult Census Income,None,LS Chi Square - LS Squared Gini,14.874836584589145,19,3.18878257133e-12,15.109768777061365,19,2.42050823829e-12,38.527587518578784,19,0.0
Adult Census Income,None,Twoing - LS Squared Gini,12.10201949811459,19,1.12270415187e-10,12.328419178878613,19,8.19949663722e-11,28.768216126954854,19,0.0
KDD98 Multiclass 9,None,LS Chi Square - Twoing,4.865360929486172,19,5.37329343513e-05,2.97243736082205,19,0.00391225439061,-6.322162287922786,19,0.999997719243
KDD98 Multiclass 9,None,LS Chi Square - LS Squared Gini,22.302612272053647,19,2.10942374679e-15,9.666210322765306,19,4.53389548127e-09,-15.843492675706921,19,0.999999999999
KDD98 Multiclass 9,None,Twoing - LS Squared Gini,14.451672927875977,19,5.2886584001e-12,7.928320804228817,19,9.57581686167e-08,-10.90269195287623,19,0.999999999357
KDD98 Multiclass 5,None,LS Chi Square - Twoing,3.929515348354531,19,0.000450020302288,6.760999143625918,19,9.26653724087e-07,-5.089848640085447,19,0.999967463971
KDD98 Multiclass 5,None,LS Chi Square - LS Squared Gini,7.619265905351566,19,1.71555522344e-07,5.055916647516252,19,3.50890918416e-05,-9.61689274994587,19,0.999999995081
KDD98 Multiclass 5,None,Twoing - LS Squared Gini,6.186140058972283,19,3.03081715125e-06,1.8946138095841611,19,0.0367332902208,-8.865880830073896,19,0.999999982373
Nursery,None,LS Chi Square - Twoing,-3.3221597503467817,19,0.998209041977,-3.3221597503467817,19,0.998209041977,0.0,19,0.5
Nursery,None,LS Chi Square - LS Squared Gini,-2.2779314909370765,19,0.982762817911,-2.2779314909370765,19,0.982762817911,1.831103813679221,19,0.0414069212923
Nursery,None,Twoing - LS Squared Gini,-1.4734096695730319,19,0.921492302869,-1.4734096695730319,19,0.921492302869,1.831103813679221,19,0.0414069212923
