Date Time,Dataset,Use Numeric attributes?,Attribute Name,Is the Attribute Numeric?,Number of Different Values (only for Nominal Attributes),Total Number of Samples,Trial Number,Criterion,Maximum Depth Allowed,Total Number of folds,Fold Number,Is stratified?,Number of Samples Forcing a Leaf,Use Min Samples in Second Largest Class?,Min Samples in Second Largest Class,Uses Chi-Square Test,Maximum p-value Allowed by Chi-Square Test [between 0 and 1],Minimum Number in Second Most Frequent Value,Number of Attributes in Dataset,Number of Valid Attributes in Dataset (m),Number of Valid Nominal Attributes in Dataset (m_nom),Number of Valid Numeric Attributes in Dataset (m_num),Total Number of Inversions (pairs),Total Number of Ties (pairs),Total Number of Correct (pairs),Criterion Value in Root Node,Total Time Taken for Current Fold [s],Accuracy Percentage on Trivial Trees (with no splits),Accuracy Percentage (with missing values),Accuracy Percentage (without missing values),Number of Samples Classified using Unkown Value,Percentage of Samples with Unkown Values for Accepted Attribute,Number of Nodes (after prunning),Tree Depth (after prunning),Number of Nodes Pruned
2017-05-09 14:48:32.667736,KDD98 Multiclass 5,False,OSOURCE,False,386,4843,1,GW Chi Square,4,3,1,True,1,False,None,True,0.1,15,480,37,37,0,75.0,2.0,589.0,341.443146424,136.64429503196152,23.26732673267327,22.02970297029703,22.056921086675292,70,4.3316831683168315,3,1,0
2017-05-09 14:48:32.667832,KDD98 Multiclass 5,False,STATE,False,48,4843,1,GW Chi Square,4,3,1,True,1,False,None,True,0.1,15,480,37,37,0,75.0,2.0,589.0,63.2363258921,2.060997373017017,23.26732673267327,22.77227722772277,22.752634841909487,3,0.18564356435643564,3,1,0
2017-05-09 14:48:32.667871,KDD98 Multiclass 5,False,DOMAIN,False,17,4843,1,GW Chi Square,4,3,1,True,1,False,None,True,0.1,15,480,37,37,0,75.0,2.0,589.0,49.6943207669,0.08439106598962098,23.26732673267327,24.38118811881188,24.38118811881188,0,0.0,3,1,0
2017-05-09 14:48:32.667902,KDD98 Multiclass 5,False,AGEFLAG,False,3,4843,1,GW Chi Square,4,3,1,True,1,False,None,True,0.1,15,480,37,37,0,75.0,2.0,589.0,14.2196373131,0.02030157600529492,23.26732673267327,22.277227722772277,22.277227722772277,0,0.0,3,1,0
2017-05-09 14:48:32.667931,KDD98 Multiclass 5,False,HOMEOWNR,False,3,4843,1,GW Chi Square,4,3,1,True,1,False,None,True,0.1,15,480,37,37,0,75.0,2.0,589.0,11.8683752251,0.021172156964894384,23.26732673267327,22.462871287128714,22.462871287128714,0,0.0,3,1,0
2017-05-09 14:48:32.667959,KDD98 Multiclass 5,False,CHILD07,False,4,4843,1,GW Chi Square,4,3,1,True,1,False,None,True,0.1,15,480,37,37,0,75.0,2.0,589.0,10.3600007928,0.022115037019830197,23.26732673267327,23.26732673267327,23.26732673267327,0,0.0,1,0,2
2017-05-09 14:48:32.667987,KDD98 Multiclass 5,False,CATLG,False,2,4843,1,GW Chi Square,4,3,1,True,1,False,None,True,0.1,15,480,37,37,0,75.0,2.0,589.0,10.8048345852,0.017173569998703897,23.26732673267327,22.64851485148515,22.64851485148515,0,0.0,3,1,0
2017-05-09 14:48:32.668014,KDD98 Multiclass 5,False,CDPLAY,False,2,4843,1,GW Chi Square,4,3,1,True,1,False,None,True,0.1,15,480,37,37,0,75.0,2.0,589.0,13.2323221611,0.01674945600097999,23.26732673267327,22.77227722772277,22.77227722772277,0,0.0,3,1,0
2017-05-09 14:48:32.668041,KDD98 Multiclass 5,False,PCOWNERS,False,2,4843,1,GW Chi Square,4,3,1,True,1,False,None,True,0.1,15,480,37,37,0,75.0,2.0,589.0,14.1292908517,0.017443126009311527,23.26732673267327,23.019801980198018,23.019801980198018,0,0.0,3,1,0
2017-05-09 14:48:32.668068,KDD98 Multiclass 5,False,CRAFTS,False,2,4843,1,GW Chi Square,4,3,1,True,1,False,None,True,0.1,15,480,37,37,0,75.0,2.0,589.0,9.96014650051,0.019855984020978212,23.26732673267327,23.70049504950495,23.70049504950495,0,0.0,3,1,0
2017-05-09 14:48:32.668095,KDD98 Multiclass 5,False,GARDENIN,False,2,4843,1,GW Chi Square,4,3,1,True,1,False,None,True,0.1,15,480,37,37,0,75.0,2.0,589.0,10.5205692964,0.019435191992670298,23.26732673267327,22.834158415841586,22.834158415841586,0,0.0,3,1,0
