Date Time,Dataset,Use Numeric attributes?,Attribute Name,Is the Attribute Numeric?,Number of Different Values (only for Nominal Attributes),Total Number of Samples,Trial Number,Criterion,Maximum Depth Allowed,Total Number of folds,Fold Number,Is stratified?,Number of Samples Forcing a Leaf,Use Min Samples in Second Largest Class?,Min Samples in Second Largest Class,Uses Chi-Square Test,Maximum p-value Allowed by Chi-Square Test [between 0 and 1],Minimum Number in Second Most Frequent Value,Number of Attributes in Dataset,Number of Valid Attributes in Dataset (m),Number of Valid Nominal Attributes in Dataset (m_nom),Number of Valid Numeric Attributes in Dataset (m_num),Total Number of Inversions (pairs),Total Number of Ties (pairs),Total Number of Correct (pairs),Criterion Value in Root Node,Total Time Taken for Current Fold [s],Accuracy Percentage on Trivial Trees (with no splits),Accuracy Percentage (with missing values),Accuracy Percentage (without missing values),Number of Samples Classified using Unkown Value,Percentage of Samples with Unkown Values for Accepted Attribute,Number of Nodes (after prunning),Tree Depth (after prunning),Number of Nodes Pruned
2017-05-11 12:10:55.766456,KDD98 Multiclass 5,False,OSOURCE,False,386,4843,8,GW Chi Square,4,3,1,True,1,False,None,True,0.1,15,480,39,39,0,78.0,3.0,660.0,345.649996428,261.14242752500286,23.26732673267327,23.762376237623762,23.806451612903224,66,4.084158415841584,3,1,0
2017-05-11 12:10:55.766539,KDD98 Multiclass 5,False,STATE,False,48,4843,8,GW Chi Square,4,3,1,True,1,False,None,True,0.1,15,480,39,39,0,78.0,3.0,660.0,76.4047395931,1.719105327007128,23.26732673267327,23.143564356435643,23.134328358208954,8,0.49504950495049505,3,1,0
2017-05-11 12:10:55.766569,KDD98 Multiclass 5,False,DOMAIN,False,17,4843,8,GW Chi Square,4,3,1,True,1,False,None,True,0.1,15,480,39,39,0,78.0,3.0,660.0,40.0175786484,0.06620061099238228,23.26732673267327,24.628712871287128,24.628712871287128,0,0.0,3,1,0
2017-05-11 12:10:55.766592,KDD98 Multiclass 5,False,AGEFLAG,False,3,4843,8,GW Chi Square,4,3,1,True,1,False,None,True,0.1,15,480,39,39,0,78.0,3.0,660.0,12.8428107805,0.018652949001989327,23.26732673267327,21.844059405940595,21.844059405940595,0,0.0,3,1,0
2017-05-11 12:10:55.766614,KDD98 Multiclass 5,False,HOMEOWNR,False,3,4843,8,GW Chi Square,4,3,1,True,1,False,None,True,0.1,15,480,39,39,0,78.0,3.0,660.0,12.201799754,0.021116321004228666,23.26732673267327,22.77227722772277,22.77227722772277,0,0.0,3,1,0
2017-05-11 12:10:55.766636,KDD98 Multiclass 5,False,CATLG,False,2,4843,8,GW Chi Square,4,3,1,True,1,False,None,True,0.1,15,480,39,39,0,78.0,3.0,660.0,7.97096953153,0.01740459699067287,23.26732673267327,23.26732673267327,23.26732673267327,0,0.0,3,1,0
2017-05-11 12:10:55.766656,KDD98 Multiclass 5,False,CDPLAY,False,2,4843,8,GW Chi Square,4,3,1,True,1,False,None,True,0.1,15,480,39,39,0,78.0,3.0,660.0,8.77295226226,0.016899169990210794,23.26732673267327,23.576732673267326,23.576732673267326,0,0.0,3,1,0
2017-05-11 12:10:55.766676,KDD98 Multiclass 5,False,STEREO,False,2,4843,8,GW Chi Square,4,3,1,True,1,False,None,True,0.1,15,480,39,39,0,78.0,3.0,660.0,10.1825671331,0.016910230988287367,23.26732673267327,23.452970297029704,23.452970297029704,0,0.0,3,1,0
2017-05-11 12:10:55.766697,KDD98 Multiclass 5,False,PCOWNERS,False,2,4843,8,GW Chi Square,4,3,1,True,1,False,None,True,0.1,15,480,39,39,0,78.0,3.0,660.0,12.1408252488,0.016757962002884597,23.26732673267327,23.452970297029704,23.452970297029704,0,0.0,3,1,0
2017-05-11 12:10:55.766718,KDD98 Multiclass 5,False,CRAFTS,False,2,4843,8,GW Chi Square,4,3,1,True,1,False,None,True,0.1,15,480,39,39,0,78.0,3.0,660.0,18.8949412668,0.017093019996536896,23.26732673267327,23.70049504950495,23.70049504950495,0,0.0,3,1,0
2017-05-11 12:10:55.766739,KDD98 Multiclass 5,False,FISHER,False,2,4843,8,GW Chi Square,4,3,1,True,1,False,None,True,0.1,15,480,39,39,0,78.0,3.0,660.0,11.992916602,0.017551918994286098,23.26732673267327,22.64851485148515,22.64851485148515,0,0.0,3,1,0
2017-05-11 12:10:55.766759,KDD98 Multiclass 5,False,GARDENIN,False,2,4843,8,GW Chi Square,4,3,1,True,1,False,None,True,0.1,15,480,39,39,0,78.0,3.0,660.0,8.20457428491,0.01655794499674812,23.26732673267327,23.26732673267327,23.26732673267327,0,0.0,1,0,2
2017-05-11 12:10:55.766787,KDD98 Multiclass 5,False,WALKER,False,2,4843,8,GW Chi Square,4,3,1,True,1,False,None,True,0.1,15,480,39,39,0,78.0,3.0,660.0,15.1348941066,0.05218193000473548,23.26732673267327,23.32920792079208,23.32920792079208,0,0.0,3,1,0
2017-05-11 12:10:55.766810,KDD98 Multiclass 5,False,PEPSTRFL,False,2,4843,8,GW Chi Square,4,3,1,True,1,False,None,True,0.1,15,480,39,39,0,78.0,3.0,660.0,299.429646312,0.017274144003749825,23.26732673267327,29.207920792079207,29.207920792079207,0,0.0,3,1,0
