Dataset,Attribute,Criterion Difference Name,Paired t-statistics on Accuracy with Missing Values,Degrees of Freedom of Accuracy with Missing Values,P-value t-statistics on Accuracy with Missing Values,Paired t-statistics on Accuracy without Missing Values,Degrees of Freedom of Accuracy without Missing Values,P-value t-statistics on Accuracy without Missing Values,Paired t-statistics on Number of Nodes,Degrees of Freedom of Number of Nodes,P-value t-statistics on Number of Nodes
Nursery with Aggreg,health,LS Chi Square - LS Squared Gini,0.0,59,0.5,0.0,59,0.5,0.0,59,0.5
Nursery with Aggreg,health,LS Chi Square - Twoing,0.0,59,0.5,0.0,59,0.5,0.0,59,0.5
Nursery with Aggreg,health,LS Chi Square - GW Chi Square,0.0,59,0.5,0.0,59,0.5,-1.0,59,0.839302860115
Nursery with Aggreg,health,LS Chi Square - GW Squared Gini,0.0,59,0.5,0.0,59,0.5,-1.0,59,0.839302860115
Nursery with Aggreg,health,LS Squared Gini - Twoing,0.0,59,0.5,0.0,59,0.5,0.0,59,0.5
Nursery with Aggreg,health,LS Squared Gini - GW Chi Square,0.0,59,0.5,0.0,59,0.5,-1.0,59,0.839302860115
Nursery with Aggreg,health,LS Squared Gini - GW Squared Gini,0.0,59,0.5,0.0,59,0.5,-1.0,59,0.839302860115
Nursery with Aggreg,health,Twoing - GW Chi Square,0.0,59,0.5,0.0,59,0.5,-1.0,59,0.839302860115
Nursery with Aggreg,health,Twoing - GW Squared Gini,0.0,59,0.5,0.0,59,0.5,-1.0,59,0.839302860115
Nursery with Aggreg,health,GW Chi Square - GW Squared Gini,0.0,59,0.5,0.0,59,0.5,0.0,59,0.5
Nursery with Aggreg,parents,LS Chi Square - LS Squared Gini,0.0,59,0.5,0.0,59,0.5,-6.27162924074226,59,0.999999977198
Nursery with Aggreg,parents,LS Chi Square - Twoing,0.0,59,0.5,0.0,59,0.5,0.0,59,0.5
Nursery with Aggreg,parents,LS Chi Square - GW Chi Square,0.0,59,0.5,0.0,59,0.5,-1.0,59,0.839302860115
Nursery with Aggreg,parents,LS Chi Square - GW Squared Gini,0.0,59,0.5,0.0,59,0.5,-10.095003264441816,59,1.0
Nursery with Aggreg,parents,LS Squared Gini - Twoing,0.0,59,0.5,0.0,59,0.5,6.27162924074226,59,2.28016387993e-08
Nursery with Aggreg,parents,LS Squared Gini - GW Chi Square,0.0,59,0.5,0.0,59,0.5,4.88633340866155,59,4.11326918415e-06
Nursery with Aggreg,parents,LS Squared Gini - GW Squared Gini,0.0,59,0.5,0.0,59,0.5,-2.5042263624960888,59,0.992471913062
Nursery with Aggreg,parents,Twoing - GW Chi Square,0.0,59,0.5,0.0,59,0.5,-1.0,59,0.839302860115
Nursery with Aggreg,parents,Twoing - GW Squared Gini,0.0,59,0.5,0.0,59,0.5,-10.095003264441816,59,1.0
Nursery with Aggreg,parents,GW Chi Square - GW Squared Gini,0.0,59,0.5,0.0,59,0.5,-7.903833768197185,59,0.99999999996
Nursery with Aggreg,NewAttrib2,LS Chi Square - LS Squared Gini,10.172002113055031,59,6.77236045021e-15,10.172002113055031,59,6.77236045021e-15,0.0,59,0.5
