Dataset,Attribute,Criterion,Number of times is statistically better with missing values,Number of times is statistically better without missing values,Number of times has statistically larger number of nodes,Number of times is statistically worse with missing values,Number of times is statistically worse without missing values,Number of times has statistically smaller number of nodes
Adult Census Income,education,GW Chi Square,0,0,0,0,0,0
Adult Census Income,education,GW Squared Gini,0,0,0,0,0,0
Adult Census Income,education,LS Chi Square,0,0,0,0,0,0
Adult Census Income,education,LS Squared Gini,0,0,0,0,0,0
Adult Census Income,education,Twoing,0,0,0,0,0,0
Adult Census Income,marital.status,GW Chi Square,0,0,0,0,0,0
Adult Census Income,marital.status,GW Squared Gini,0,0,0,0,0,0
Adult Census Income,marital.status,LS Chi Square,0,0,0,0,0,0
Adult Census Income,marital.status,LS Squared Gini,0,0,0,0,0,0
Adult Census Income,marital.status,Twoing,0,0,0,0,0,0
Adult Census Income,native.country,GW Chi Square,0,0,0,0,0,0
Adult Census Income,native.country,GW Squared Gini,0,0,0,0,0,0
Adult Census Income,native.country,LS Chi Square,0,0,0,0,0,0
Adult Census Income,native.country,LS Squared Gini,0,0,0,0,0,0
Adult Census Income,native.country,Twoing,0,0,0,0,0,0
Adult Census Income,occupation,GW Chi Square,0,0,0,0,0,0
Adult Census Income,occupation,GW Squared Gini,0,0,0,0,0,0
Adult Census Income,occupation,LS Chi Square,0,0,0,0,0,0
Adult Census Income,occupation,LS Squared Gini,0,0,0,0,0,0
Adult Census Income,occupation,Twoing,0,0,0,0,0,0
Adult Census Income,race,GW Chi Square,0,0,0,0,0,0
Adult Census Income,race,GW Squared Gini,0,0,0,0,0,0
Adult Census Income,race,LS Chi Square,0,0,0,0,0,0
Adult Census Income,race,LS Squared Gini,0,0,0,0,0,0
Adult Census Income,race,Twoing,0,0,0,0,0,0
Adult Census Income,relationship,GW Chi Square,0,0,0,0,0,0
Adult Census Income,relationship,GW Squared Gini,0,0,0,0,0,0
Adult Census Income,relationship,LS Chi Square,0,0,0,0,0,0
Adult Census Income,relationship,LS Squared Gini,0,0,0,0,0,0
Adult Census Income,relationship,Twoing,0,0,0,0,0,0
Adult Census Income,sex,GW Chi Square,0,0,0,0,0,0
Adult Census Income,sex,GW Squared Gini,0,0,0,0,0,0
Adult Census Income,sex,LS Chi Square,0,0,0,0,0,0
Adult Census Income,sex,LS Squared Gini,0,0,0,0,0,0
Adult Census Income,sex,Twoing,0,0,0,0,0,0
Adult Census Income,workclass,GW Chi Square,0,0,0,0,0,0
Adult Census Income,workclass,GW Squared Gini,0,0,0,0,0,0
