Date Time,Dataset,Total Number of Samples,Trial Number,Criterion,Maximum Depth Allowed,Number of folds,Is stratified?,Use Numeric Attributes?,Number of Samples Forcing a Leaf,Use Min Samples in Second Largest Class?,Min Samples in Second Largest Class,Uses Chi-Square Test,Maximum p-value Allowed by Chi-Square Test [between 0 and 1],Minimum Number in Second Most Frequent Value,Average Number of Valid Attributes in Root Node (m),Average Number of Valid Nominal Attributes in Root Node (m_nom),Average Number of Valid Numeric Attributes in Root Node (m_num),Total Time Taken for Cross-Validation [s],Accuracy Percentage on Trivial Trees (with no splits),Accuracy Percentage (with missing values),Accuracy Percentage (without missing values),Number of Samples Classified using Unkown Value,Percentage of Samples with Unkown Values for Accepted Attribute,Average Number of Values of Attribute Chosen at Root Node,Maximum Number of Values of Attribute Chosen at Root Node,Minimum Number of Values of Attribute Chosen at Root Node,Number of Trivial Splits [between 0 and number of folds],Average Number of Nodes (after prunning),Maximum Number of Nodes (after prunning),Minimum Number of Nodes (after prunning),Average Tree Depth (after prunning),Maximum Tree Depth (after prunning),Minimum Tree Depth (after prunning),Average Number of Nodes Pruned
2017-05-05 18:26:04.925606,Cars,1728,1,Twoing,5,3,True,True,1,False,None,True,0.1,15,6.0,6.0,0.0,0.1287237720007397,70.02314814814815,86.51620370370371,86.51620370370371,0,0.0,3.0,3,3,0,15.6666666667,17,15,5.0,5,5,2.66666666667
2017-05-05 18:26:05.058689,Cars,1728,2,Twoing,5,3,True,True,1,False,None,True,0.1,15,6.0,6.0,0.0,0.13275162100035232,70.02314814814815,86.40046296296296,86.40046296296296,0,0.0,3.0,3,3,0,14.3333333333,15,13,5.0,5,5,4.0
2017-05-05 18:26:05.184398,Cars,1728,3,Twoing,5,3,True,True,1,False,None,True,0.1,15,6.0,6.0,0.0,0.12539304999882006,70.02314814814815,86.22685185185185,86.22685185185185,0,0.0,3.0,3,3,0,15.6666666667,17,15,5.0,5,5,2.66666666667
2017-05-05 18:26:05.309912,Cars,1728,4,Twoing,5,3,True,True,1,False,None,True,0.1,15,6.0,6.0,0.0,0.12522672600061924,70.02314814814815,86.97916666666667,86.97916666666667,0,0.0,3.0,3,3,0,15.6666666667,17,15,5.0,5,5,2.66666666667
2017-05-05 18:26:05.437171,Cars,1728,5,Twoing,5,3,True,True,1,False,None,True,0.1,15,6.0,6.0,0.0,0.1269709240004886,70.02314814814815,86.80555555555556,86.80555555555556,0,0.0,3.0,3,3,0,15.6666666667,17,15,5.0,5,5,2.66666666667
2017-05-05 18:26:05.561637,Cars,1728,6,Twoing,5,3,True,True,1,False,None,True,0.1,15,6.0,6.0,0.0,0.12417746999926749,70.02314814814815,85.76388888888889,85.76388888888889,0,0.0,3.0,3,3,0,15.0,15,15,5.0,5,5,3.33333333333
2017-05-05 18:26:05.686711,Cars,1728,7,Twoing,5,3,True,True,1,False,None,True,0.1,15,6.0,6.0,0.0,0.12478039000052377,70.02314814814815,86.40046296296296,86.40046296296296,0,0.0,3.0,3,3,0,15.0,15,15,5.0,5,5,3.33333333333
2017-05-05 18:26:05.825228,Cars,1728,8,Twoing,5,3,True,True,1,False,None,True,0.1,15,6.0,6.0,0.0,0.13822297499973502,70.02314814814815,87.15277777777777,87.15277777777777,0,0.0,3.0,3,3,0,15.0,15,15,5.0,5,5,3.33333333333
2017-05-05 18:26:05.951091,Cars,1728,9,Twoing,5,3,True,True,1,False,None,True,0.1,15,6.0,6.0,0.0,0.12557090000154858,70.02314814814815,87.38425925925925,87.38425925925925,0,0.0,3.0,3,3,0,14.3333333333,15,13,5.0,5,5,4.0
2017-05-05 18:26:06.075659,Cars,1728,10,Twoing,5,3,True,True,1,False,None,True,0.1,15,6.0,6.0,0.0,0.12428654900031688,70.02314814814815,86.22685185185185,86.22685185185185,0,0.0,3.0,3,3,0,15.6666666667,17,15,5.0,5,5,2.66666666667
2017-05-05 18:26:06.207953,Cars,1728,11,Twoing,5,3,True,True,1,False,None,True,0.1,15,6.0,6.0,0.0,0.1319996940001147,70.02314814814815,86.74768518518519,86.74768518518519,0,0.0,3.0,3,3,0,14.3333333333,15,13,5.0,5,5,4.66666666667
2017-05-05 18:26:06.332596,Cars,1728,12,Twoing,5,3,True,True,1,False,None,True,0.1,15,6.0,6.0,0.0,0.1243381580006826,70.02314814814815,84.95370370370371,84.95370370370371,0,0.0,3.0,3,3,0,15.0,17,13,5.0,5,5,3.33333333333
2017-05-05 18:26:06.459089,Cars,1728,13,Twoing,5,3,True,True,1,False,None,True,0.1,15,6.0,6.0,0.0,0.12619151800026884,70.02314814814815,86.86342592592592,86.86342592592592,0,0.0,3.0,3,3,0,15.0,15,15,5.0,5,5,3.33333333333
2017-05-05 18:26:06.585053,Cars,1728,14,Twoing,5,3,True,True,1,False,None,True,0.1,15,6.0,6.0,0.0,0.1256590619996132,70.02314814814815,86.45833333333333,86.45833333333333,0,0.0,3.0,3,3,0,15.0,15,15,5.0,5,5,3.33333333333
2017-05-05 18:26:06.711196,Cars,1728,15,Twoing,5,3,True,True,1,False,None,True,0.1,15,6.0,6.0,0.0,0.12584361800145416,70.02314814814815,86.68981481481481,86.68981481481481,0,0.0,3.0,3,3,0,14.3333333333,15,13,5.0,5,5,4.0
2017-05-05 18:26:06.844265,Cars,1728,16,Twoing,5,3,True,True,1,False,None,True,0.1,15,6.0,6.0,0.0,0.13273283200032893,70.02314814814815,86.57407407407408,86.57407407407408,0,0.0,3.0,3,3,0,15.6666666667,17,15,5.0,5,5,2.66666666667
2017-05-05 18:26:06.993950,Cars,1728,17,Twoing,5,3,True,True,1,False,None,True,0.1,15,6.0,6.0,0.0,0.14935314700051094,70.02314814814815,86.57407407407408,86.57407407407408,0,0.0,3.0,3,3,0,15.0,15,15,5.0,5,5,3.33333333333
2017-05-05 18:26:07.136445,Cars,1728,18,Twoing,5,3,True,True,1,False,None,True,0.1,15,6.0,6.0,0.0,0.1421820289997413,70.02314814814815,86.05324074074075,86.05324074074075,0,0.0,3.0,3,3,0,15.0,17,13,5.0,5,5,3.33333333333
2017-05-05 18:26:07.281536,Cars,1728,19,Twoing,5,3,True,True,1,False,None,True,0.1,15,6.0,6.0,0.0,0.1447679409993725,70.02314814814815,86.74768518518519,86.74768518518519,0,0.0,3.0,3,3,0,15.0,15,15,5.0,5,5,3.33333333333
2017-05-05 18:26:07.430592,Cars,1728,20,Twoing,5,3,True,True,1,False,None,True,0.1,15,6.0,6.0,0.0,0.1487437019986828,70.02314814814815,87.0949074074074,87.0949074074074,0,0.0,3.0,3,3,0,14.3333333333,15,13,5.0,5,5,4.0
2017-05-05 18:26:07.596116,Cars,1728,1,LS Squared Gini,5,3,True,True,1,False,None,True,0.1,15,6.0,6.0,0.0,0.16518045900011202,70.02314814814815,88.19444444444444,88.19444444444444,0,0.0,3.0,3,3,0,23.6666666667,25,23,5.0,5,5,28.6666666667
2017-05-05 18:26:07.759446,Cars,1728,2,LS Squared Gini,5,3,True,True,1,False,None,True,0.1,15,6.0,6.0,0.0,0.16296285500175145,70.02314814814815,87.9050925925926,87.9050925925926,0,0.0,3.0,3,3,0,24.3333333333,25,23,5.0,5,5,28.6666666667
