Dataset,Attribute,Criterion Difference Name,Paired t-statistics on Accuracy with Missing Values,Degrees of Freedom of Accuracy with Missing Values,P-value t-statistics on Accuracy with Missing Values,Paired t-statistics on Accuracy without Missing Values,Degrees of Freedom of Accuracy without Missing Values,P-value t-statistics on Accuracy without Missing Values,Paired t-statistics on Number of Nodes,Degrees of Freedom of Number of Nodes,P-value t-statistics on Number of Nodes
KDD98 Multiclass 5,None,Twoing - LS Chi Square,-2.658942917223334,19,0.992249794912,-3.552275011370699,19,0.998936394058,3.751234161606823,0.000676083222405,19
KDD98 Multiclass 5,None,Twoing - LS Squared Gini,0.7156797416618221,19,0.241446280884,-2.7275019847264357,19,0.993314586982,28.064796433686386,0.0,19
KDD98 Multiclass 5,None,LS Chi Square - LS Squared Gini,3.785431486559958,19,0.000625336343254,1.6571071312856913,19,0.0569592078937,26.601612131952646,1.11022302463e-16,19
Cars with Aggreg,None,Twoing - LS Chi Square,-1.0003700738226935,19,0.835148824814,-1.0003700738226935,19,0.835148824814,-55.198814216288746,1.0,19
Cars with Aggreg,None,Twoing - LS Squared Gini,-3.0459904530835145,19,0.996676048712,-3.0459904530835145,19,0.996676048712,-42.332209313202625,1.0,19
Cars with Aggreg,None,LS Chi Square - LS Squared Gini,1.0002375165596415,19,0.164882414819,1.0002375165596415,19,0.164882414819,-30.788261074535267,1.0,19
Adult Census Income,None,Twoing - LS Chi Square,1.508630327043583,19,0.0739213931544,1.503445984923763,19,0.0745822862838,4.97721165061598,4.18258289425e-05,19
Adult Census Income,None,Twoing - LS Squared Gini,45.65244213774913,19,0.0,45.530953087746234,19,0.0,26.205583211672188,1.11022302463e-16,19
Adult Census Income,None,LS Chi Square - LS Squared Gini,58.95021506811836,19,0.0,58.84922077780733,19,0.0,22.817884483379167,1.44328993201e-15,19
Contraceptive with Aggreg,None,Twoing - LS Chi Square,-4.6924744154079905,19,0.999920703384,-4.726136386770958,19,0.999926502691,-10.654906401561124,0.999999999062,19
Contraceptive with Aggreg,None,Twoing - LS Squared Gini,-1.4464790905270297,19,0.917830417872,-1.3757654470001064,19,0.907551560086,-12.98101642136731,0.999999999966,19
Contraceptive with Aggreg,None,LS Chi Square - LS Squared Gini,2.4723569455386682,19,0.0115212708743,2.5995199729755036,19,0.00880162305611,-0.5969440914786607,0.721204089244,19
Cover Type with Aggreg,None,Twoing - LS Chi Square,70.85553898796896,19,0.0,70.83948305168362,19,0.0,26.162455700814,1.11022302463e-16,19
Cover Type with Aggreg,None,Twoing - LS Squared Gini,23.755743744315442,19,6.66133814775e-16,23.746626055237858,19,6.66133814775e-16,132.7400056190112,0.0,19
Cover Type with Aggreg,None,LS Chi Square - LS Squared Gini,-77.48062149047368,19,1.0,-77.4150669897648,19,1.0,23.608719422485613,7.77156117238e-16,19
Contraceptive,None,Twoing - LS Chi Square,0.4198158125182146,19,0.339664530105,0.4172317657921281,19,0.340592735549,-9.039241520298742,0.999999986951,19
Contraceptive,None,Twoing - LS Squared Gini,4.5634860251082525,19,0.000106156355735,4.555606073327901,19,0.000108068775924,-8.419075306459959,0.999999961067,19
Contraceptive,None,LS Chi Square - LS Squared Gini,2.9735378576868667,19,0.00390275182957,2.9812791281224165,19,0.0038365352467,0.11359879592769973,0.455373803011,19
Nursery,None,Twoing - LS Chi Square,3.3221597503467817,19,0.00179095802266,3.3221597503467817,19,0.00179095802266,0.0,0.5,19
Nursery,None,Twoing - LS Squared Gini,-1.4734096695730319,19,0.921492302869,-1.4734096695730319,19,0.921492302869,1.831103813679221,0.0414069212923,19
Nursery,None,LS Chi Square - LS Squared Gini,-2.2779314909370765,19,0.982762817911,-2.2779314909370765,19,0.982762817911,1.831103813679221,0.0414069212923,19
Cars,None,Twoing - LS Chi Square,0.9969384949774655,19,0.165661226317,0.9969384949774655,19,0.165661226317,7.093963935912901,4.75999271554e-07,19
Cars,None,Twoing - LS Squared Gini,-11.74562130976881,19,0.999999999814,-11.74562130976881,19,0.999999999814,-31.161697865937743,1.0,19
Cars,None,LS Chi Square - LS Squared Gini,-11.745271402027536,19,0.999999999814,-11.745271402027536,19,0.999999999814,-35.858681940204015,1.0,19
KDD98 Multiclass 3,None,Twoing - LS Chi Square,2.4369145700043306,19,0.0124095577382,-1.6713536195895475,19,0.944479362738,-0.9323524257021437,0.818574122712,19
KDD98 Multiclass 3,None,Twoing - LS Squared Gini,8.131539912745126,19,6.57149705763e-08,3.7655500782130535,19,0.000654358895847,42.416504524270714,0.0,19
KDD98 Multiclass 3,None,LS Chi Square - LS Squared Gini,4.919495299220534,19,4.75912899207e-05,3.7748314077846494,19,0.000640647036274,41.673851320075435,0.0,19
KDD98 Multiclass 9,None,Twoing - LS Chi Square,-19.894938546797782,19,1.0,-20.54874152946367,19,1.0,17.164434616668643,2.51465515078e-13,19
KDD98 Multiclass 9,None,Twoing - LS Squared Gini,1.9502974075113855,19,0.0330253946566,-0.8725116754310677,19,0.80308883082,14.617128501491308,4.33308944281e-12,19
KDD98 Multiclass 9,None,LS Chi Square - LS Squared Gini,17.09920279059234,19,2.69229083472e-13,14.994078772274333,19,2.77122769177e-12,-4.980604032706446,0.999958490063,19
Nursery with Aggreg,None,Twoing - LS Chi Square,12.87901246867392,19,3.89028809167e-11,12.87901246867392,19,3.89028809167e-11,-4.000000000098682,0.999616903831,19
Nursery with Aggreg,None,Twoing - LS Squared Gini,4.457621565887951,19,0.000134973275473,4.457621565887951,19,0.000134973275473,-13.854309212887514,0.999999999989,19
Nursery with Aggreg,None,LS Chi Square - LS Squared Gini,-11.28081995751579,19,0.999999999635,-11.28081995751579,19,0.999999999635,-8.725011622394423,0.999999977432,19
KDD98 Multiclass 2,None,Twoing - LS Chi Square,-5.90279280161519,19,0.999994478205,-7.035415248149468,19,0.999999465426,1.0269171379068882,0.158678252847,19
KDD98 Multiclass 2,None,Twoing - LS Squared Gini,-5.485984336058491,19,0.999986415629,-6.342248483537486,19,0.999997812574,36.30563946141009,0.0,19
KDD98 Multiclass 2,None,LS Chi Square - LS Squared Gini,0.09645705359816317,19,0.46208387338,0.3351016382619438,19,0.370609924968,31.441850753712014,0.0,19
Mushroom,None,Twoing - LS Chi Square,3.5590260840104366,19,0.00104741088198,3.5590260840104366,19,0.00104741088198,-74.10128203626851,1.0,19
Mushroom,None,Twoing - LS Squared Gini,1.0,19,0.164938400461,1.0,19,0.164938400461,0.0,0.5,19
Mushroom,None,LS Chi Square - LS Squared Gini,-1.831103813679509,19,0.958593078708,-1.831103813679509,19,0.958593078708,47.947888376332116,0.0,19
Cover Type,None,Twoing - LS Chi Square,69.87917179363876,19,0.0,69.87917179363876,19,0.0,23.401860157449253,8.881784197e-16,19
Cover Type,None,Twoing - LS Squared Gini,147.32889635553977,19,0.0,147.32889635553977,19,0.0,119.60304715537215,0.0,19
Cover Type,None,LS Chi Square - LS Squared Gini,130.0870017567537,19,0.0,130.0870017567537,19,0.0,35.07057105521405,0.0,19
