Date Time,Dataset,Total Number of Samples,Trial Number,Criterion,Maximum Depth Allowed,Number of folds,Is stratified?,Use Numeric Attributes?,Number of Samples Forcing a Leaf,Use Min Samples in Second Largest Class?,Min Samples in Second Largest Class,Uses Chi+AC0-Square Test,Maximum p+AC0-value Allowed by Chi+AC0-Square Test +AFs-between 0 and 1+AF0-,Minimum Number in Second Most Frequent Value,Average Number of Valid Attributes in Root Node (m),Average Number of Valid Nominal Attributes in Root Node (m+AF8-nom),Average Number of Valid Numeric Attributes in Root Node (m+AF8-num),Total Time Taken for Cross+AC0-Validation +AFs-s+AF0-,Accuracy Percentage on Trivial Trees (with no splits),Accuracy Percentage (with missing values),Accuracy Percentage (without missing values),Number of Samples Classified using Unkown Value,Percentage of Samples with Unkown Values for Accepted Attribute,Average Number of Values of Attribute Chosen at Root Node,Maximum Number of Values of Attribute Chosen at Root Node,Minimum Number of Values of Attribute Chosen at Root Node,Number of Trivial Splits +AFs-between 0 and number of folds+AF0-,Average Number of Nodes (after prunning),Maximum Number of Nodes (after prunning),Minimum Number of Nodes (after prunning),Average Tree Depth (after prunning),Maximum Tree Depth (after prunning),Minimum Tree Depth (after prunning),Average Number of Nodes Pruned
2017+AC0-05+AC0-05 18:13:06.572100,Cars,1728,1,Twoing,5,3,True,False,1,False,None,True,0.1,15,6.0,6.0,0.0,0.1271210520008026,70.02314814814815,86.51620370370371,86.51620370370371,0,0.0,3.0,3,3,0,15.6666666667,17,15,5.0,5,5,2.66666666667
2017+AC0-05+AC0-05 18:13:06.694525,Cars,1728,2,Twoing,5,3,True,False,1,False,None,True,0.1,15,6.0,6.0,0.0,0.12212665100014419,70.02314814814815,86.40046296296296,86.40046296296296,0,0.0,3.0,3,3,0,14.3333333333,15,13,5.0,5,5,4.0
2017+AC0-05+AC0-05 18:13:06.817830,Cars,1728,3,Twoing,5,3,True,False,1,False,None,True,0.1,15,6.0,6.0,0.0,0.12301268200099003,70.02314814814815,86.22685185185185,86.22685185185185,0,0.0,3.0,3,3,0,15.6666666667,17,15,5.0,5,5,2.66666666667
2017+AC0-05+AC0-05 18:13:06.939809,Cars,1728,4,Twoing,5,3,True,False,1,False,None,True,0.1,15,6.0,6.0,0.0,0.1216691739991802,70.02314814814815,86.97916666666667,86.97916666666667,0,0.0,3.0,3,3,0,15.6666666667,17,15,5.0,5,5,2.66666666667
2017+AC0-05+AC0-05 18:13:07.063515,Cars,1728,5,Twoing,5,3,True,False,1,False,None,True,0.1,15,6.0,6.0,0.0,0.1234093719995144,70.02314814814815,86.80555555555556,86.80555555555556,0,0.0,3.0,3,3,0,15.6666666667,17,15,5.0,5,5,2.66666666667
2017+AC0-05+AC0-05 18:13:07.183371,Cars,1728,6,Twoing,5,3,True,False,1,False,None,True,0.1,15,6.0,6.0,0.0,0.11953307699877769,70.02314814814815,85.76388888888889,85.76388888888889,0,0.0,3.0,3,3,0,15.0,15,15,5.0,5,5,3.33333333333
2017+AC0-05+AC0-05 18:13:07.304983,Cars,1728,7,Twoing,5,3,True,False,1,False,None,True,0.1,15,6.0,6.0,0.0,0.12131471799875726,70.02314814814815,86.40046296296296,86.40046296296296,0,0.0,3.0,3,3,0,15.0,15,15,5.0,5,5,3.33333333333
2017+AC0-05+AC0-05 18:13:07.429058,Cars,1728,8,Twoing,5,3,True,False,1,False,None,True,0.1,15,6.0,6.0,0.0,0.1237752110009751,70.02314814814815,87.15277777777777,87.15277777777777,0,0.0,3.0,3,3,0,15.0,15,15,5.0,5,5,3.33333333333
2017+AC0-05+AC0-05 18:13:07.550795,Cars,1728,9,Twoing,5,3,True,False,1,False,None,True,0.1,15,6.0,6.0,0.0,0.12144607600021118,70.02314814814815,87.38425925925925,87.38425925925925,0,0.0,3.0,3,3,0,14.3333333333,15,13,5.0,5,5,4.0
2017+AC0-05+AC0-05 18:13:07.672780,Cars,1728,10,Twoing,5,3,True,False,1,False,None,True,0.1,15,6.0,6.0,0.0,0.12168756200117059,70.02314814814815,86.22685185185185,86.22685185185185,0,0.0,3.0,3,3,0,15.6666666667,17,15,5.0,5,5,2.66666666667
2017+AC0-05+AC0-05 18:13:07.796485,Cars,1728,11,Twoing,5,3,True,False,1,False,None,True,0.1,15,6.0,6.0,0.0,0.12339752899970335,70.02314814814815,86.74768518518519,86.74768518518519,0,0.0,3.0,3,3,0,14.3333333333,15,13,5.0,5,5,4.66666666667
2017+AC0-05+AC0-05 18:13:07.916047,Cars,1728,12,Twoing,5,3,True,False,1,False,None,True,0.1,15,6.0,6.0,0.0,0.11928350800008047,70.02314814814815,84.95370370370371,84.95370370370371,0,0.0,3.0,3,3,0,15.0,17,13,5.0,5,5,3.33333333333
2017+AC0-05+AC0-05 18:13:08.038097,Cars,1728,13,Twoing,5,3,True,False,1,False,None,True,0.1,15,6.0,6.0,0.0,0.12176447899946652,70.02314814814815,86.86342592592592,86.86342592592592,0,0.0,3.0,3,3,0,15.0,15,15,5.0,5,5,3.33333333333
