Dataset,Attribute,Criterion Difference Name,Paired t-statistics on Accuracy with Missing Values,Degrees of Freedom of Accuracy with Missing Values,P-value t-statistics on Accuracy with Missing Values,Paired t-statistics on Accuracy without Missing Values,Degrees of Freedom of Accuracy without Missing Values,P-value t-statistics on Accuracy without Missing Values,Paired t-statistics on Number of Nodes,Degrees of Freedom of Number of Nodes,P-value t-statistics on Number of Nodes
Adult Census Income,None,Twoing - GW Chi Square,-0.8206263842402192,19,0.788981950742,-0.8421569546758265,19,0.79491206958,3.8918527082247003,0.000490446716881,19
Adult Census Income,None,Twoing - GW Squared Gini,7.453684437570945,19,2.35701281937e-07,7.517978898818443,19,2.08258905454e-07,25.095061362121495,2.22044604925e-16,19
Adult Census Income,None,Twoing - LS Chi Square,-1.1178323840221471,19,0.861212951116,-1.1268533257845512,19,0.863082197665,3.969218326655461,0.000411002980709,19
Adult Census Income,None,Twoing - LS Squared Gini,12.10201949811459,19,1.12270415187e-10,12.328419178878613,19,8.19949663722e-11,28.768216126954854,0.0,19
Adult Census Income,None,GW Chi Square - GW Squared Gini,8.191530587694743,19,5.88634825327e-08,8.27418033645449,19,5.06174528958e-08,23.24119763355504,9.99200722163e-16,19
Adult Census Income,None,GW Chi Square - LS Chi Square,-0.17251498047729621,19,0.567571461883,-0.14198885755001547,19,0.555708199602,-1.8933847100627057,0.963180869513,19
Adult Census Income,None,GW Chi Square - LS Squared Gini,11.959794324537517,19,1.37096889397e-10,12.158655558008736,19,1.03737907153e-10,29.589187214213027,0.0,19
Adult Census Income,None,GW Squared Gini - LS Chi Square,-8.961170003090329,19,0.999999985065,-9.104191749365532,19,0.99999998833,-27.48479653163902,1.0,19
Adult Census Income,None,GW Squared Gini - LS Squared Gini,3.2509399593999717,19,0.00210241376182,3.2663735003055145,19,0.00203071049718,3.6336469050438396,0.000883876284229,19
Adult Census Income,None,LS Chi Square - LS Squared Gini,14.874836584589145,19,3.18878257133e-12,15.109768777061365,19,2.42050823829e-12,38.527587518578784,0.0,19
KDD98 Multiclass 5,None,Twoing - GW Chi Square,-3.4220675848365323,19,0.998570936263,-7.3300311546980295,19,0.999999700475,3.468988841085053,0.0012849531216,19
KDD98 Multiclass 5,None,Twoing - GW Squared Gini,6.202608727430089,19,2.9278859589e-06,1.7594791181781266,19,0.0472945339277,-7.447110812911768,0.999999761289,19
KDD98 Multiclass 5,None,Twoing - LS Chi Square,-3.929515348354531,19,0.999549979698,-6.760999143625918,19,0.999999073346,5.089848640085447,3.25360291806e-05,19
KDD98 Multiclass 5,None,Twoing - LS Squared Gini,6.186140058972283,19,3.03081715125e-06,1.8946138095841611,19,0.0367332902208,-8.865880830073896,0.999999982373,19
KDD98 Multiclass 5,None,GW Chi Square - GW Squared Gini,8.754431308446568,19,2.14287243505e-08,5.141417411710645,19,2.90131385801e-05,-9.399734506239914,0.999999992935,19
KDD98 Multiclass 5,None,GW Chi Square - LS Chi Square,0.0714718066415062,19,0.471884615978,0.32119951216319026,19,0.375782801224,0.7486692991053071,0.231612315901,19
KDD98 Multiclass 5,None,GW Chi Square - LS Squared Gini,7.703075822489051,19,1.46280494051e-07,5.20893300304395,19,2.49806159064e-05,-8.616922885338699,0.999999972674,19
KDD98 Multiclass 5,None,GW Squared Gini - LS Chi Square,-12.545466233460642,19,0.999999999939,-7.227837827049386,19,0.999999634305,10.530172199872723,1.1377518927e-09,19
KDD98 Multiclass 5,None,GW Squared Gini - LS Squared Gini,0.07695828662302104,19,0.46973068026,0.20940277589853543,19,0.418181351516,1.4637668923937883,0.0798032303514,19
KDD98 Multiclass 5,None,LS Chi Square - LS Squared Gini,7.619265905351566,19,1.71555522344e-07,5.055916647516252,19,3.50890918416e-05,-9.61689274994587,0.999999995081,19
Nursery,None,Twoing - GW Chi Square,2.876023214643685,19,0.00483736431586,2.876023214643685,19,0.00483736431586,-16.403980770654453,0.999999999999,19
Nursery,None,Twoing - GW Squared Gini,2.2105790908412004,19,0.0197640860217,2.2105790908412004,19,0.0197640860217,-16.222687381234405,0.999999999999,19
Nursery,None,Twoing - LS Chi Square,3.3221597503467817,19,0.00179095802266,3.3221597503467817,19,0.00179095802266,0.0,0.5,19
Nursery,None,Twoing - LS Squared Gini,-1.4734096695730319,19,0.921492302869,-1.4734096695730319,19,0.921492302869,1.831103813679221,0.0414069212923,19
Nursery,None,GW Chi Square - GW Squared Gini,1.717884515856022,19,0.0510361658431,1.717884515856022,19,0.0510361658431,-1.4750178904777114,0.921706687312,19
Nursery,None,GW Chi Square - LS Chi Square,1.0,19,0.164938400461,1.0,19,0.164938400461,16.403980770654453,5.64770452627e-13,19
Nursery,None,GW Chi Square - LS Squared Gini,-2.2486528799250944,19,0.981703294954,-2.2486528799250944,19,0.981703294954,16.832051088211337,3.56714657812e-13,19
Nursery,None,GW Squared Gini - LS Chi Square,-1.6622735454524606,19,0.943566105988,-1.6622735454524606,19,0.943566105988,16.222687381234405,6.88116230663e-13,19
Nursery,None,GW Squared Gini - LS Squared Gini,-2.498044128567286,19,0.989084888665,-2.498044128567286,19,0.989084888665,15.91715793545738,9.64561763794e-13,19
Nursery,None,LS Chi Square - LS Squared Gini,-2.2779314909370765,19,0.982762817911,-2.2779314909370765,19,0.982762817911,1.831103813679221,0.0414069212923,19
Mushroom,None,Twoing - GW Chi Square,3.6551466897514486,19,0.000841642903239,3.6551466897514486,19,0.000841642903239,-32.33333333333918,1.0,19
Mushroom,None,Twoing - GW Squared Gini,1.3708103001951035,19,0.0932057177292,1.3708103001951035,19,0.0932057177292,-20.32825755740896,1.0,19
Mushroom,None,Twoing - LS Chi Square,3.5590260840104366,19,0.00104741088198,3.5590260840104366,19,0.00104741088198,-74.10128203626851,1.0,19
Mushroom,None,Twoing - LS Squared Gini,1.0,19,0.164938400461,1.0,19,0.164938400461,0.0,0.5,19
Mushroom,None,GW Chi Square - GW Squared Gini,-1.5991516104463717,19,0.936858014214,-1.5991516104463717,19,0.936858014214,-5.747913345028905,0.999992303164,19
Mushroom,None,GW Chi Square - LS Chi Square,-0.9999999999999999,19,0.835061599539,-0.9999999999999999,19,0.835061599539,4.659858980162015,8.53581252173e-05,19
Mushroom,None,GW Chi Square - LS Squared Gini,-1.9424747078405995,19,0.966474626482,-1.9424747078405995,19,0.966474626482,22.333333333334796,2.10942374679e-15,19
Mushroom,None,GW Squared Gini - LS Chi Square,1.4863722029095272,19,0.0767933354158,1.4863722029095272,19,0.0767933354158,7.941864063677004,9.33695364358e-08,19
Mushroom,None,GW Squared Gini - LS Squared Gini,-0.9999999999999999,19,0.835061599539,-0.9999999999999999,19,0.835061599539,15.956589265495406,9.23150444976e-13,19
Mushroom,None,LS Chi Square - LS Squared Gini,-1.831103813679509,19,0.958593078708,-1.831103813679509,19,0.958593078708,47.947888376332116,0.0,19
KDD98 Multiclass 9,None,Twoing - GW Chi Square,-3.759543632831739,19,0.999336612213,-3.1630216159241473,19,0.997439397455,5.914238201771873,5.38855384524e-06,19
KDD98 Multiclass 9,None,Twoing - GW Squared Gini,10.375807693355995,19,1.44777378974e-09,5.739509267120088,19,7.83744581623e-06,-11.051825964131305,0.999999999487,19
KDD98 Multiclass 9,None,Twoing - LS Chi Square,-4.865360929486172,19,0.999946267066,-2.97243736082205,19,0.996087745609,6.322162287922786,2.28075715947e-06,19
KDD98 Multiclass 9,None,Twoing - LS Squared Gini,14.451672927875977,19,5.2886584001e-12,7.928320804228817,19,9.57581686167e-08,-10.90269195287623,0.999999999357,19
KDD98 Multiclass 9,None,GW Chi Square - GW Squared Gini,12.387903009407074,19,7.55538964725e-11,9.466148063907605,19,6.32066521344e-09,-14.104937977914783,0.999999999992,19
KDD98 Multiclass 9,None,GW Chi Square - LS Chi Square,-0.8038548464677789,19,0.784288099971,0.04486019736225638,19,0.482343436971,-1.4134783330299472,0.913154967868,19
KDD98 Multiclass 9,None,GW Chi Square - LS Squared Gini,22.34085598025383,19,2.10942374679e-15,11.145881768304115,19,4.46096604101e-10,-13.314135177446623,0.999999999978,19
KDD98 Multiclass 9,None,GW Squared Gini - LS Chi Square,-14.923071951816194,19,0.999999999997,-10.13775692358899,19,0.99999999789,18.936640750678734,4.28546087505e-14,19
KDD98 Multiclass 9,None,GW Squared Gini - LS Squared Gini,-0.11003886634953403,19,0.543233737997,-0.33983525844719037,19,0.631145723923,-1.0886621078974665,0.855040189731,19
KDD98 Multiclass 9,None,LS Chi Square - LS Squared Gini,22.302612272053647,19,2.10942374679e-15,9.666210322765306,19,4.53389548127e-09,-15.843492675706921,0.999999999999,19
Cars with Aggreg,None,Twoing - GW Chi Square,-7.933258966612778,19,0.99999990512,-7.933258966612778,19,0.99999990512,-38.11560585950752,1.0,19
Cars with Aggreg,None,Twoing - GW Squared Gini,-2.376926531402013,19,0.985939701306,-2.376926531402013,19,0.985939701306,-43.789039724497876,1.0,19
Cars with Aggreg,None,Twoing - LS Chi Square,-11.60171764334382,19,0.999999999771,-11.60171764334382,19,0.999999999771,-55.198814216288746,1.0,19
Cars with Aggreg,None,Twoing - LS Squared Gini,-3.0459904530835145,19,0.996676048712,-3.0459904530835145,19,0.996676048712,-42.332209313202625,1.0,19
Cars with Aggreg,None,GW Chi Square - GW Squared Gini,3.8295893306333304,19,0.000565378642802,3.8295893306333304,19,0.000565378642802,-24.564256701140735,1.0,19
Cars with Aggreg,None,GW Chi Square - LS Chi Square,-2.9065086886281715,19,0.995475840853,-2.9065086886281715,19,0.995475840853,-1.9259188317987022,0.96539423801,19
