Dataset,Attribute,Criterion,Number of times is statistically better with missing values,Number of times is statistically better without missing values,Number of times has statistically larger number of nodes
Adult Census Income,education,LS Chi Square,1,1,0
Adult Census Income,education,LS Squared Gini,0,0,0
Adult Census Income,education,Twoing,2,2,0
Adult Census Income,marital.status,LS Chi Square,0,0,0
Adult Census Income,marital.status,LS Squared Gini,0,0,0
Adult Census Income,marital.status,Twoing,0,0,0
Adult Census Income,native.country,LS Chi Square,0,0,0
Adult Census Income,native.country,LS Squared Gini,0,0,0
Adult Census Income,native.country,Twoing,0,0,0
Adult Census Income,occupation,LS Chi Square,0,0,0
Adult Census Income,occupation,LS Squared Gini,0,0,0
Adult Census Income,occupation,Twoing,0,0,0
Adult Census Income,race,LS Chi Square,0,0,0
Adult Census Income,race,LS Squared Gini,0,0,0
Adult Census Income,race,Twoing,0,0,0
Adult Census Income,relationship,LS Chi Square,0,0,0
Adult Census Income,relationship,LS Squared Gini,0,0,0
Adult Census Income,relationship,Twoing,0,0,0
Adult Census Income,sex,LS Chi Square,0,0,0
Adult Census Income,sex,LS Squared Gini,0,0,0
Adult Census Income,sex,Twoing,0,0,0
Adult Census Income,workclass,LS Chi Square,1,1,1
Adult Census Income,workclass,LS Squared Gini,0,0,0
Adult Census Income,workclass,Twoing,2,2,2
Cars,buying,LS Chi Square,0,0,0
Cars,buying,LS Squared Gini,0,0,0
Cars,buying,Twoing,0,0,0
Cars,doors,LS Chi Square,0,0,0
Cars,doors,LS Squared Gini,0,0,0
Cars,doors,Twoing,0,0,0
Cars,lug+AF8-boot,LS Chi Square,0,0,0
Cars,lug+AF8-boot,LS Squared Gini,0,0,0
Cars,lug+AF8-boot,Twoing,0,0,0
Cars,maint,LS Chi Square,0,0,0
Cars,maint,LS Squared Gini,0,0,0
Cars,maint,Twoing,0,0,0
Cars,persons,LS Chi Square,0,0,0
Cars,persons,LS Squared Gini,0,0,0
Cars,persons,Twoing,0,0,0
Cars,safety,LS Chi Square,0,0,0
Cars,safety,LS Squared Gini,0,0,0
Cars,safety,Twoing,0,0,0
Cars with Aggreg,CONFORT,LS Chi Square,0,0,0
Cars with Aggreg,CONFORT,LS Squared Gini,0,0,0
Cars with Aggreg,CONFORT,Twoing,0,0,0
Cars with Aggreg,PRICE,LS Chi Square,0,0,0
Cars with Aggreg,PRICE,LS Squared Gini,0,0,0
Cars with Aggreg,PRICE,Twoing,0,0,0
Cars with Aggreg,buying,LS Chi Square,0,0,0
Cars with Aggreg,buying,LS Squared Gini,0,0,0
Cars with Aggreg,buying,Twoing,0,0,0
Cars with Aggreg,doors,LS Chi Square,0,0,0
Cars with Aggreg,doors,LS Squared Gini,0,0,0
Cars with Aggreg,doors,Twoing,0,0,0
Cars with Aggreg,lug_boot,LS Chi Square,0,0,0
Cars with Aggreg,lug_boot,LS Squared Gini,0,0,0
Cars with Aggreg,lug_boot,Twoing,0,0,0
Cars with Aggreg,maint,LS Chi Square,0,0,0
Cars with Aggreg,maint,LS Squared Gini,0,0,0
Cars with Aggreg,maint,Twoing,0,0,0
Cars with Aggreg,persons,LS Chi Square,0,0,0
Cars with Aggreg,persons,LS Squared Gini,0,0,0
Cars with Aggreg,persons,Twoing,0,0,0
Cars with Aggreg,safety,LS Chi Square,0,0,0
Cars with Aggreg,safety,LS Squared Gini,0,0,0
Cars with Aggreg,safety,Twoing,0,0,0
Contraceptive,husbands+AF8-education,LS Chi Square,0,0,0
Contraceptive,husbands+AF8-education,LS Squared Gini,0,0,0
Contraceptive,husbands+AF8-education,Twoing,0,0,0
Contraceptive,husbands+AF8-occupation,LS Chi Square,0,0,0
Contraceptive,husbands+AF8-occupation,LS Squared Gini,0,0,2
Contraceptive,husbands+AF8-occupation,Twoing,0,0,0
Contraceptive,media+AF8-exposure,LS Chi Square,0,0,0
Contraceptive,media+AF8-exposure,LS Squared Gini,0,0,0
Contraceptive,media+AF8-exposure,Twoing,0,0,0
Contraceptive,standard+AF8-of+AF8-living+AF8-index,LS Chi Square,0,0,0
Contraceptive,standard+AF8-of+AF8-living+AF8-index,LS Squared Gini,0,0,0
Contraceptive,standard+AF8-of+AF8-living+AF8-index,Twoing,0,0,0
Contraceptive,wife+AF8-is+AF8-working,LS Chi Square,0,0,0
Contraceptive,wife+AF8-is+AF8-working,LS Squared Gini,0,0,0
Contraceptive,wife+AF8-is+AF8-working,Twoing,0,0,0
Contraceptive,wifes+AF8-education,LS Chi Square,0,0,1
Contraceptive,wifes+AF8-education,LS Squared Gini,0,0,2
Contraceptive,wifes+AF8-education,Twoing,0,0,0
Contraceptive,wifes+AF8-religion,LS Chi Square,0,0,0
Contraceptive,wifes+AF8-religion,LS Squared Gini,0,0,0
Contraceptive,wifes+AF8-religion,Twoing,0,0,0
Contraceptive with Aggreg,aggreg_education,LS Chi Square,0,0,2
Contraceptive with Aggreg,aggreg_education,LS Squared Gini,2,2,0
Contraceptive with Aggreg,aggreg_education,Twoing,0,0,0
Contraceptive with Aggreg,aggreg_working_occupation_sol,LS Chi Square,1,1,0
Contraceptive with Aggreg,aggreg_working_occupation_sol,LS Squared Gini,2,2,1
Contraceptive with Aggreg,aggreg_working_occupation_sol,Twoing,0,0,1
Contraceptive with Aggreg,husbands_education,LS Chi Square,0,0,0
Contraceptive with Aggreg,husbands_education,LS Squared Gini,0,0,0
Contraceptive with Aggreg,husbands_education,Twoing,0,0,0
Contraceptive with Aggreg,husbands_occupation,LS Chi Square,0,0,0
Contraceptive with Aggreg,husbands_occupation,LS Squared Gini,0,0,2
Contraceptive with Aggreg,husbands_occupation,Twoing,0,0,0
Contraceptive with Aggreg,media_exposure,LS Chi Square,0,0,0
Contraceptive with Aggreg,media_exposure,LS Squared Gini,0,0,0
Contraceptive with Aggreg,media_exposure,Twoing,0,0,0
Contraceptive with Aggreg,standard_of_living_index,LS Chi Square,0,0,0
Contraceptive with Aggreg,standard_of_living_index,LS Squared Gini,0,0,0
Contraceptive with Aggreg,standard_of_living_index,Twoing,0,0,0
Contraceptive with Aggreg,wife_is_working,LS Chi Square,0,0,0
Contraceptive with Aggreg,wife_is_working,LS Squared Gini,0,0,0
Contraceptive with Aggreg,wife_is_working,Twoing,0,0,0
Contraceptive with Aggreg,wifes_education,LS Chi Square,0,0,1
Contraceptive with Aggreg,wifes_education,LS Squared Gini,0,0,2
