Dataset,Attribute,Criterion Difference Name,Paired t-statistics on Accuracy with Missing Values,Degrees of Freedom of Accuracy with Missing Values,P-value t-statistics on Accuracy with Missing Values,Paired t-statistics on Accuracy without Missing Values,Degrees of Freedom of Accuracy without Missing Values,P-value t-statistics on Accuracy without Missing Values,Paired t-statistics on Number of Nodes,Degrees of Freedom of Number of Nodes,P-value t-statistics on Number of Nodes
KDD98 Multiclass 9,VETERANS,LS Chi Square - LS Squared Gini,0.0,11,0.5,0.0,11,0.5,0.0,11,0.5
KDD98 Multiclass 9,VETERANS,LS Chi Square - Twoing,0.0,11,0.5,0.0,11,0.5,0.0,11,0.5
KDD98 Multiclass 9,VETERANS,LS Squared Gini - Twoing,0.0,11,0.5,0.0,11,0.5,0.0,11,0.5
KDD98 Multiclass 9,RFA+AF8-16,LS Chi Square - LS Squared Gini,2.3919099367906655,59,0.00998314357952,2.391679743023739,59,0.00998883775927,-13.486071623191249,59,1.0
KDD98 Multiclass 9,RFA+AF8-16,LS Chi Square - Twoing,-2.6318355665191895,59,0.994589503387,-2.629058143929342,59,0.994549884244,-7.959673611589077,59,0.999999999968
KDD98 Multiclass 9,RFA+AF8-16,LS Squared Gini - Twoing,-4.429344175249683,59,0.999979212039,-4.426348384842033,59,0.999978994517,8.687283214722635,59,1.90314430881e-12
KDD98 Multiclass 9,HOMEOWNR,LS Chi Square - LS Squared Gini,-1.4375899166728991,31,0.919715590025,-1.4375899166728991,31,0.919715590025,0.0,31,0.5
KDD98 Multiclass 9,HOMEOWNR,LS Chi Square - Twoing,0.0,31,0.5,0.0,31,0.5,0.0,31,0.5
KDD98 Multiclass 9,HOMEOWNR,LS Squared Gini - Twoing,1.4375899166728991,31,0.0802844099751,1.4375899166728991,31,0.0802844099751,0.0,31,0.5
KDD98 Multiclass 9,RECSWEEP,LS Chi Square - LS Squared Gini,0.0,23,0.5,0.0,23,0.5,0.0,23,0.5
KDD98 Multiclass 9,RECSWEEP,LS Chi Square - Twoing,0.0,23,0.5,0.0,23,0.5,0.0,23,0.5
KDD98 Multiclass 9,RECSWEEP,LS Squared Gini - Twoing,0.0,23,0.5,0.0,23,0.5,0.0,23,0.5
KDD98 Multiclass 9,RFA+AF8-5,LS Chi Square - LS Squared Gini,2.5290948476569355,59,0.00706438673474,2.530760401890204,59,0.00703427397942,-8.942753611828488,59,0.999999999999
KDD98 Multiclass 9,RFA+AF8-5,LS Chi Square - Twoing,-3.8548234055137867,59,0.999855733189,-3.853959464485756,59,0.999855326295,7.16562626441273,59,7.091222054e-10
