Dataset,Attribute,Criterion Difference Name,Paired t-statistics on Accuracy with Missing Values,Degrees of Freedom of Accuracy with Missing Values,P-value t-statistics on Accuracy with Missing Values,Paired t-statistics on Accuracy without Missing Values,Degrees of Freedom of Accuracy without Missing Values,P-value t-statistics on Accuracy without Missing Values,Paired t-statistics on Number of Nodes,Degrees of Freedom of Number of Nodes,P-value t-statistics on Number of Nodes
Cover Type,soil_type_39,Twoing - LS Squared Gini,0.0,59,0.5,0.0,59,0.5,0.0,59,0.5
Cover Type,soil_type_39,Twoing - LS Chi Square,0.0,59,0.5,0.0,59,0.5,0.0,59,0.5
Cover Type,soil_type_39,LS Squared Gini - LS Chi Square,0.0,59,0.5,0.0,59,0.5,0.0,59,0.5
Cover Type,soil_type_9,Twoing - LS Squared Gini,0.0,59,0.5,0.0,59,0.5,0.0,59,0.5
Cover Type,soil_type_9,Twoing - LS Chi Square,0.0,59,0.5,0.0,59,0.5,0.0,59,0.5
Cover Type,soil_type_9,LS Squared Gini - LS Chi Square,0.0,59,0.5,0.0,59,0.5,0.0,59,0.5
Cover Type,soil_type_1,Twoing - LS Squared Gini,0.0,59,0.5,0.0,59,0.5,0.0,59,0.5
Cover Type,soil_type_1,Twoing - LS Chi Square,0.0,59,0.5,0.0,59,0.5,0.0,59,0.5
Cover Type,soil_type_1,LS Squared Gini - LS Chi Square,0.0,59,0.5,0.0,59,0.5,0.0,59,0.5
Cover Type,soil_type_18,Twoing - LS Squared Gini,0.0,59,0.5,0.0,59,0.5,0.0,59,0.5
Cover Type,soil_type_18,Twoing - LS Chi Square,0.0,59,0.5,0.0,59,0.5,0.0,59,0.5
Cover Type,soil_type_18,LS Squared Gini - LS Chi Square,0.0,59,0.5,0.0,59,0.5,0.0,59,0.5
Cover Type,soil_type_24,Twoing - LS Squared Gini,0.0,59,0.5,0.0,59,0.5,0.0,59,0.5
Cover Type,soil_type_24,Twoing - LS Chi Square,0.0,59,0.5,0.0,59,0.5,0.0,59,0.5
Cover Type,soil_type_24,LS Squared Gini - LS Chi Square,0.0,59,0.5,0.0,59,0.5,0.0,59,0.5
Cover Type,soil_type_40,Twoing - LS Squared Gini,0.0,59,0.5,0.0,59,0.5,0.0,59,0.5
Cover Type,soil_type_40,Twoing - LS Chi Square,0.0,59,0.5,0.0,59,0.5,0.0,59,0.5
Cover Type,soil_type_40,LS Squared Gini - LS Chi Square,0.0,59,0.5,0.0,59,0.5,0.0,59,0.5
Cover Type,soil_type_32,Twoing - LS Squared Gini,0.0,59,0.5,0.0,59,0.5,0.0,59,0.5
Cover Type,soil_type_32,Twoing - LS Chi Square,0.0,59,0.5,0.0,59,0.5,0.0,59,0.5
Cover Type,soil_type_32,LS Squared Gini - LS Chi Square,0.0,59,0.5,0.0,59,0.5,0.0,59,0.5
Cover Type,soil_type_10,Twoing - LS Squared Gini,0.0,59,0.5,0.0,59,0.5,0.0,59,0.5
Cover Type,soil_type_10,Twoing - LS Chi Square,0.0,59,0.5,0.0,59,0.5,0.0,59,0.5
Cover Type,soil_type_10,LS Squared Gini - LS Chi Square,0.0,59,0.5,0.0,59,0.5,0.0,59,0.5
Cover Type,soil_type_7,Twoing - LS Squared Gini,0.0,59,0.5,0.0,59,0.5,0.0,59,0.5
Cover Type,soil_type_7,Twoing - LS Chi Square,0.0,59,0.5,0.0,59,0.5,0.0,59,0.5
Cover Type,soil_type_7,LS Squared Gini - LS Chi Square,0.0,59,0.5,0.0,59,0.5,0.0,59,0.5
Cover Type,soil_type_6,Twoing - LS Squared Gini,0.0,59,0.5,0.0,59,0.5,0.0,59,0.5
Cover Type,soil_type_6,Twoing - LS Chi Square,0.0,59,0.5,0.0,59,0.5,0.0,59,0.5
Cover Type,soil_type_6,LS Squared Gini - LS Chi Square,0.0,59,0.5,0.0,59,0.5,0.0,59,0.5
Cover Type,soil_type_30,Twoing - LS Squared Gini,0.0,59,0.5,0.0,59,0.5,0.0,59,0.5
Cover Type,soil_type_30,Twoing - LS Chi Square,0.0,59,0.5,0.0,59,0.5,0.0,59,0.5
Cover Type,soil_type_30,LS Squared Gini - LS Chi Square,0.0,59,0.5,0.0,59,0.5,0.0,59,0.5
Cover Type,soil_type_34,Twoing - LS Squared Gini,0.0,59,0.5,0.0,59,0.5,0.0,59,0.5
Cover Type,soil_type_34,Twoing - LS Chi Square,0.0,59,0.5,0.0,59,0.5,0.0,59,0.5
Cover Type,soil_type_34,LS Squared Gini - LS Chi Square,0.0,59,0.5,0.0,59,0.5,0.0,59,0.5
Cover Type,soil_type_16,Twoing - LS Squared Gini,0.0,59,0.5,0.0,59,0.5,0.0,59,0.5
Cover Type,soil_type_16,Twoing - LS Chi Square,0.0,59,0.5,0.0,59,0.5,0.0,59,0.5
Cover Type,soil_type_16,LS Squared Gini - LS Chi Square,0.0,59,0.5,0.0,59,0.5,0.0,59,0.5
Cover Type,soil_type_17,Twoing - LS Squared Gini,0.0,59,0.5,0.0,59,0.5,0.0,59,0.5
Cover Type,soil_type_17,Twoing - LS Chi Square,0.0,59,0.5,0.0,59,0.5,0.0,59,0.5
Cover Type,soil_type_17,LS Squared Gini - LS Chi Square,0.0,59,0.5,0.0,59,0.5,0.0,59,0.5
Cover Type,soil_type_2,Twoing - LS Squared Gini,0.0,59,0.5,0.0,59,0.5,0.0,59,0.5
Cover Type,soil_type_2,Twoing - LS Chi Square,0.0,59,0.5,0.0,59,0.5,0.0,59,0.5
Cover Type,soil_type_2,LS Squared Gini - LS Chi Square,0.0,59,0.5,0.0,59,0.5,0.0,59,0.5
Cover Type,soil_type_38,Twoing - LS Squared Gini,0.0,59,0.5,0.0,59,0.5,0.0,59,0.5
Cover Type,soil_type_38,Twoing - LS Chi Square,0.0,59,0.5,0.0,59,0.5,0.0,59,0.5
Cover Type,soil_type_38,LS Squared Gini - LS Chi Square,0.0,59,0.5,0.0,59,0.5,0.0,59,0.5
Cover Type,soil_type_23,Twoing - LS Squared Gini,0.0,59,0.5,0.0,59,0.5,0.0,59,0.5
Cover Type,soil_type_23,Twoing - LS Chi Square,0.0,59,0.5,0.0,59,0.5,0.0,59,0.5
Cover Type,soil_type_23,LS Squared Gini - LS Chi Square,0.0,59,0.5,0.0,59,0.5,0.0,59,0.5
Cover Type,wilderness_area_3,Twoing - LS Squared Gini,0.0,59,0.5,0.0,59,0.5,0.0,59,0.5
