Dataset,Attribute,Criterion Difference Name,Paired t-statistics on Accuracy with Missing Values,Degrees of Freedom of Accuracy with Missing Values,P-value t-statistics on Accuracy with Missing Values,Paired t-statistics on Accuracy without Missing Values,P-value t-statistics on Accuracy without Missing Values,Degrees of Freedom of Accuracy without Missing Values,Paired t-statistics on Number of Nodes,P-value t-statistics on Number of Nodes,Degrees of Freedom of Number of Nodes
KDD98 Multiclass 9,OSOURCE,LS Squared Gini - Twoing,-2.2689780694489325,21,0.983034423071,-2.270219403426743,21,0.983078241538,1.0,0.164347341618,21
KDD98 Multiclass 9,OSOURCE,LS Squared Gini - GW Squared Gini,0.9380761321406104,21,0.179434983434,0.9589539175863199,21,0.174246710905,2.4337372337779035,0.0119799189638,21
KDD98 Multiclass 9,OSOURCE,LS Squared Gini - LS Chi Square,1.9359372136136757,21,0.0332259933954,1.9427804627316938,21,0.0327854925967,3.3085961540566258,0.00167102970485,21
KDD98 Multiclass 9,OSOURCE,LS Squared Gini - GW Chi Square,1.6747722400140066,21,0.0544040054702,1.6914917674769507,21,0.0527655514701,3.215457741932425,0.00207591248966,21
KDD98 Multiclass 9,OSOURCE,Twoing - GW Squared Gini,2.3682726074236107,21,0.0137714240893,2.382884472213675,21,0.0133512866043,1.5554275420956378,0.0673934788256,21
KDD98 Multiclass 9,OSOURCE,Twoing - LS Chi Square,4.796345589558999,21,4.85413156932e-05,4.7694923993633696,21,5.1737956143e-05,2.346954776153873,0.0144063366225,21
KDD98 Multiclass 9,OSOURCE,Twoing - GW Chi Square,3.8403279956676144,21,0.000475538512457,3.8742240418260967,21,0.000438621225995,2.8805487282130393,0.00447503869638,21
KDD98 Multiclass 9,OSOURCE,GW Squared Gini - LS Chi Square,0.6647737756878684,21,0.256714957051,0.6560457243326199,21,0.259459423901,1.8209309360006518,0.0414487587554,21
KDD98 Multiclass 9,OSOURCE,GW Squared Gini - GW Chi Square,0.581384725197813,21,0.283584932224,0.5767836051529927,21,0.285108713018,2.160246899469287,0.0212315944558,21
KDD98 Multiclass 9,OSOURCE,LS Chi Square - GW Chi Square,0.10323660228652756,21,0.459377364427,0.09701769952203043,21,0.461816156439,0.9999999999999999,0.164347341618,21
KDD98 Multiclass 9,BIBLE,LS Squared Gini - Twoing,0.0,12,50.0,0.0,12,50.0,0.0,50.0,12
KDD98 Multiclass 9,BIBLE,LS Squared Gini - GW Squared Gini,0.0,12,50.0,0.0,12,50.0,0.0,50.0,12
KDD98 Multiclass 9,BIBLE,LS Squared Gini - LS Chi Square,0.0,12,50.0,0.0,12,50.0,0.0,50.0,12
KDD98 Multiclass 9,BIBLE,LS Squared Gini - GW Chi Square,0.0,12,50.0,0.0,12,50.0,0.0,50.0,12
KDD98 Multiclass 9,BIBLE,Twoing - GW Squared Gini,0.0,12,50.0,0.0,12,50.0,0.0,50.0,12
KDD98 Multiclass 9,BIBLE,Twoing - LS Chi Square,0.0,12,50.0,0.0,12,50.0,0.0,50.0,12
KDD98 Multiclass 9,BIBLE,Twoing - GW Chi Square,0.0,12,50.0,0.0,12,50.0,0.0,50.0,12
KDD98 Multiclass 9,BIBLE,GW Squared Gini - LS Chi Square,0.0,12,50.0,0.0,12,50.0,0.0,50.0,12
KDD98 Multiclass 9,BIBLE,GW Squared Gini - GW Chi Square,0.0,12,50.0,0.0,12,50.0,0.0,50.0,12
KDD98 Multiclass 9,BIBLE,LS Chi Square - GW Chi Square,0.0,12,50.0,0.0,12,50.0,0.0,50.0,12
KDD98 Multiclass 9,RFA_6,LS Squared Gini - Twoing,1.368909166981698,29,0.0907691229824,1.3686895821580942,29,0.0908030798489,0.6559474539279347,0.258514416769,29
KDD98 Multiclass 9,RFA_6,LS Squared Gini - GW Squared Gini,2.3089269149941773,29,0.0141351980349,2.307484777140641,29,0.0141806394131,-0.16170864046290379,0.563671652885,29
KDD98 Multiclass 9,RFA_6,LS Squared Gini - LS Chi Square,0.5303274400079561,29,0.299961313869,0.5354458800643026,29,0.298212171149,6.195888470797287,4.6595684422e-07,29
KDD98 Multiclass 9,RFA_6,LS Squared Gini - GW Chi Square,0.6819372204235965,29,0.250344644449,0.6837643129256891,29,0.249775769842,4.348912907642653,7.70152312793e-05,29
KDD98 Multiclass 9,RFA_6,Twoing - GW Squared Gini,1.0890371526013165,29,0.142552529545,1.0880422638763867,29,0.142768334402,-0.8118441408859888,0.788252455753,29
KDD98 Multiclass 9,RFA_6,Twoing - LS Chi Square,-0.6626646657503693,29,0.743610953932,-0.6553085668699565,29,0.741282936016,4.488500263493878,5.24064974129e-05,29
KDD98 Multiclass 9,RFA_6,Twoing - GW Chi Square,-0.3181268002671442,29,0.623665792894,-0.31478646289009343,29,0.622411208863,3.0684824287560155,0.0023160015093,29
KDD98 Multiclass 9,RFA_6,GW Squared Gini - LS Chi Square,-1.6875091220288287,29,0.948882919136,-1.6819379978624998,29,0.948339876471,7.101745039685362,4.08780079786e-08,29
KDD98 Multiclass 9,RFA_6,GW Squared Gini - GW Chi Square,-1.171859966092704,29,0.8746044432,-1.1683709688119364,29,0.873913656925,4.54521800044933,4.4801180261e-05,29
KDD98 Multiclass 9,RFA_6,LS Chi Square - GW Chi Square,0.2757271524060058,29,0.392356467833,0.27277949476768565,29,0.393477891588,-2.3399838622359077,0.986811899212,29
KDD98 Multiclass 9,RFA_12,LS Squared Gini - Twoing,-1.3440169428325526,29,0.905317996185,-1.3433947909972082,29,0.905218547349,0.8444612211927559,0.202662282984,29
KDD98 Multiclass 9,RFA_12,LS Squared Gini - GW Squared Gini,1.0867251146232015,29,0.143054399312,1.0938285490268052,29,0.141516462393,1.1845783243211963,0.122900993502,29
KDD98 Multiclass 9,RFA_12,LS Squared Gini - LS Chi Square,-1.4233409989173076,29,0.917346249629,-1.426364368768827,29,0.917779619389,7.905694150420949,5.08879882677e-09,29
KDD98 Multiclass 9,RFA_12,LS Squared Gini - GW Chi Square,-0.7540525673018263,29,0.771551442565,-0.751140910476485,29,0.770689854143,7.039670590682242,4.81654125473e-08,29
KDD98 Multiclass 9,RFA_12,Twoing - GW Squared Gini,2.019062485325136,29,0.0264050137563,2.023257840533492,29,0.026175175692,0.0,0.5,29
KDD98 Multiclass 9,RFA_12,Twoing - LS Chi Square,-0.20386651181864154,29,0.580059146172,-0.2091938519953787,29,0.582120260617,6.030148779302061,7.33197002778e-07,29
KDD98 Multiclass 9,RFA_12,Twoing - GW Chi Square,0.42905819446152443,29,0.335525779347,0.4302403026714142,29,0.33510068216,4.57325392839703,4.14571790187e-05,29
KDD98 Multiclass 9,RFA_12,GW Squared Gini - LS Chi Square,-1.9852749419824482,29,0.971678413172,-1.9893256088317648,29,0.971914438672,5.808647399815607,1.3478956622e-06,29
KDD98 Multiclass 9,RFA_12,GW Squared Gini - GW Chi Square,-1.6747837196105553,29,0.947635447305,-1.6759099243369628,29,0.947746865787,5.406534592711572,4.09932536138e-06,29
KDD98 Multiclass 9,RFA_12,LS Chi Square - GW Chi Square,0.646139289560583,29,0.261634955038,0.6521317035241095,29,0.259726010089,-0.6940659729095141,0.75341814565,29
KDD98 Multiclass 9,PCOWNERS,LS Squared Gini - Twoing,0.0,6,50.0,0.0,6,50.0,0.0,50.0,6
