Dataset,Attribute,Criterion Difference Name,Paired t-statistics on Accuracy with Missing Values,Degrees of Freedom of Accuracy with Missing Values,P-value t-statistics on Accuracy with Missing Values,Paired t-statistics on Accuracy without Missing Values,Degrees of Freedom of Accuracy without Missing Values,P-value t-statistics on Accuracy without Missing Values,Paired t-statistics on Number of Nodes,Degrees of Freedom of Number of Nodes,P-value t-statistics on Number of Nodes
Contraceptive with Aggreg,aggreg_working_occupation_sol,LS Chi Square - GW Chi Square,-1.9358488955960635,29,0.968655665002,-1.922810447847775,29,0.967812892649,0.5708263279047433,29,0.286257281971
Contraceptive with Aggreg,aggreg_working_occupation_sol,LS Chi Square - GW Squared Gini,-2.0089731765601218,29,0.973034976111,-1.6915332311994284,29,0.949272187364,-3.3397374378603706,29,0.998841885572
Contraceptive with Aggreg,aggreg_working_occupation_sol,LS Chi Square - LS Squared Gini,1.7260685964402955,29,0.0474881734281,1.911028023163129,29,0.0329655514741,-2.8043549667723977,29,0.995548147743
Contraceptive with Aggreg,aggreg_working_occupation_sol,LS Chi Square - Twoing,1.8873488628253319,29,0.03457946717,2.055571639864074,29,0.0244631381547,-2.8043549667723977,29,0.995548147743
Contraceptive with Aggreg,aggreg_working_occupation_sol,GW Chi Square - GW Squared Gini,-1.3245551515114036,29,0.902168590902,-1.0459092217680177,29,0.847878569206,-3.611732225044862,29,0.999432499805
Contraceptive with Aggreg,aggreg_working_occupation_sol,GW Chi Square - LS Squared Gini,2.5227294723666027,29,0.00869292939122,2.6987849234769463,29,0.00574167614483,-2.7571619008634247,29,0.995009350094
Contraceptive with Aggreg,aggreg_working_occupation_sol,GW Chi Square - Twoing,2.805503656018512,29,0.00443944540782,2.9349896317577255,29,0.00323165005533,-3.071438578216897,29,0.997701166266
Contraceptive with Aggreg,aggreg_working_occupation_sol,GW Squared Gini - LS Squared Gini,3.9072195678346957,29,0.000257194005403,3.8941169418770873,29,0.000266461034047,0.7010887416930994,29,0.24441778491
Contraceptive with Aggreg,aggreg_working_occupation_sol,GW Squared Gini - Twoing,4.073676713887259,29,0.000163703780824,4.0748643880085,29,0.000163174839704,0.8118441408859887,29,0.211747544247
Contraceptive with Aggreg,aggreg_working_occupation_sol,LS Squared Gini - Twoing,-0.23423062016419335,29,0.591774124967,-0.26353628540807733,29,0.602999576004,0.0,29,0.5
Contraceptive with Aggreg,husbands_education,LS Chi Square - GW Chi Square,0.0,29,0.5,0.0,29,0.5,0.0,29,0.5
Contraceptive with Aggreg,husbands_education,LS Chi Square - GW Squared Gini,1.0,29,0.162790994008,1.0,29,0.162790994008,-1.0,29,0.837209005992
Contraceptive with Aggreg,husbands_education,LS Chi Square - LS Squared Gini,1.0,29,0.162790994008,1.0,29,0.162790994008,-1.0,29,0.837209005992
Contraceptive with Aggreg,husbands_education,LS Chi Square - Twoing,1.0,29,0.162790994008,1.0,29,0.162790994008,-1.0,29,0.837209005992
Contraceptive with Aggreg,husbands_education,GW Chi Square - GW Squared Gini,1.0,29,0.162790994008,1.0,29,0.162790994008,-1.0,29,0.837209005992
Contraceptive with Aggreg,husbands_education,GW Chi Square - LS Squared Gini,1.0,29,0.162790994008,1.0,29,0.162790994008,-1.0,29,0.837209005992
Contraceptive with Aggreg,husbands_education,GW Chi Square - Twoing,1.0,29,0.162790994008,1.0,29,0.162790994008,-1.0,29,0.837209005992
Contraceptive with Aggreg,husbands_education,GW Squared Gini - LS Squared Gini,0.0,29,0.5,0.0,29,0.5,0.0,29,0.5
Contraceptive with Aggreg,husbands_education,GW Squared Gini - Twoing,0.0,29,0.5,0.0,29,0.5,0.0,29,0.5
Contraceptive with Aggreg,husbands_education,LS Squared Gini - Twoing,0.0,29,0.5,0.0,29,0.5,0.0,29,0.5
Contraceptive with Aggreg,wifes_education,LS Chi Square - GW Chi Square,1.4629698754869247,29,0.0771151574724,1.4629698754869247,29,0.0771151574724,2.9708730966706973,29,0.00295647540308
Contraceptive with Aggreg,wifes_education,LS Chi Square - GW Squared Gini,0.0849834759880047,29,0.466429260875,0.0849834759880047,29,0.466429260875,2.1122354181147664,29,0.0216987089054
Contraceptive with Aggreg,wifes_education,LS Chi Square - LS Squared Gini,3.960243731105347,29,0.000222812120534,3.960243731105347,29,0.000222812120534,20.149441679609886,29,0.0
Contraceptive with Aggreg,wifes_education,LS Chi Square - Twoing,1.4464368106946586,29,0.0793887127324,1.4464368106946586,29,0.0793887127324,1.0,29,0.162790994008
Contraceptive with Aggreg,wifes_education,GW Chi Square - GW Squared Gini,-1.8489029738304568,29,0.962654722171,-1.8489029738304568,29,0.962654722171,-1.0,29,0.837209005992
Contraceptive with Aggreg,wifes_education,GW Chi Square - LS Squared Gini,2.7979412421955567,29,0.00452172685484,2.7979412421955567,29,0.00452172685484,7.166690015839427,29,3.44470469926e-08
Contraceptive with Aggreg,wifes_education,GW Chi Square - Twoing,-0.9093818476104183,29,0.814677530534,-0.9093818476104183,29,0.814677530534,-2.692582403567252,29,0.994172603162
Contraceptive with Aggreg,wifes_education,GW Squared Gini - LS Squared Gini,4.494091628305214,29,5.16031094517e-05,4.494091628305214,29,5.16031094517e-05,10.77032961426901,29,5.9692251142e-12
Contraceptive with Aggreg,wifes_education,GW Squared Gini - Twoing,0.5328794370724098,29,0.299088599905,0.5328794370724098,29,0.299088599905,-1.3605380662764397,29,0.907929328854
Contraceptive with Aggreg,wifes_education,LS Squared Gini - Twoing,-3.1451480187657315,29,0.998092020839,-3.1451480187657315,29,0.998092020839,-16.15549442140351,29,1.0
Contraceptive with Aggreg,wifes_religion,LS Chi Square - GW Chi Square,0.0,19,0.5,0.0,19,0.5,0.0,19,0.5
Contraceptive with Aggreg,wifes_religion,LS Chi Square - GW Squared Gini,0.0,19,0.5,0.0,19,0.5,0.0,19,0.5
