Dataset,Attribute,Criterion,Number of times is statistically better with missing values,Number of times is statistically better without missing values,Number of times has statistically larger number of nodes
Adult Census Income,education,LS Chi Square,1,1,1
Adult Census Income,education,LS Squared Gini,0,0,0
Adult Census Income,education,Twoing,1,1,2
Adult Census Income,marital.status,LS Chi Square,1,1,1
Adult Census Income,marital.status,LS Squared Gini,0,0,0
Adult Census Income,marital.status,Twoing,2,2,2
Adult Census Income,native.country,LS Chi Square,1,1,1
Adult Census Income,native.country,LS Squared Gini,0,0,0
Adult Census Income,native.country,Twoing,2,2,2
Adult Census Income,occupation,LS Chi Square,1,1,1
Adult Census Income,occupation,LS Squared Gini,0,0,0
Adult Census Income,occupation,Twoing,2,2,2
Adult Census Income,race,LS Chi Square,1,1,1
Adult Census Income,race,LS Squared Gini,0,0,0
Adult Census Income,race,Twoing,2,2,2
Adult Census Income,relationship,LS Chi Square,1,1,1
Adult Census Income,relationship,LS Squared Gini,0,0,0
Adult Census Income,relationship,Twoing,2,2,2
Adult Census Income,sex,LS Chi Square,1,1,1
Adult Census Income,sex,LS Squared Gini,0,0,0
Adult Census Income,sex,Twoing,2,2,2
Adult Census Income,workclass,LS Chi Square,0,0,1
Adult Census Income,workclass,LS Squared Gini,1,1,0
Adult Census Income,workclass,Twoing,2,2,2
Cars with Aggreg,PRICE,LS Chi Square,1,1,1
Cars with Aggreg,PRICE,LS Squared Gini,0,0,0
Cars with Aggreg,PRICE,Twoing,2,2,2
Cars with Aggreg,buying,LS Chi Square,1,1,1
Cars with Aggreg,buying,LS Squared Gini,0,0,0
Cars with Aggreg,buying,Twoing,2,2,2
Cars with Aggreg,lug_boot,LS Chi Square,1,1,1
Cars with Aggreg,lug_boot,LS Squared Gini,0,0,0
Cars with Aggreg,lug_boot,Twoing,2,2,2
Cars with Aggreg,maint,LS Chi Square,1,1,1
Cars with Aggreg,maint,LS Squared Gini,0,0,0
Cars with Aggreg,maint,Twoing,2,2,2
Cars with Aggreg,safety,LS Chi Square,1,1,1
Cars with Aggreg,safety,LS Squared Gini,0,0,0
Cars with Aggreg,safety,Twoing,2,2,2
Contraceptive with Aggreg,aggreg_education,LS Chi Square,0,0,1
Contraceptive with Aggreg,aggreg_education,LS Squared Gini,0,0,0
Contraceptive with Aggreg,aggreg_education,Twoing,2,2,2
Contraceptive with Aggreg,aggreg_working_occupation_sol,LS Chi Square,2,2,1
Contraceptive with Aggreg,aggreg_working_occupation_sol,LS Squared Gini,0,0,0
Contraceptive with Aggreg,aggreg_working_occupation_sol,Twoing,0,0,2
Contraceptive with Aggreg,husbands_education,LS Chi Square,0,0,1
Contraceptive with Aggreg,husbands_education,LS Squared Gini,0,0,0
Contraceptive with Aggreg,husbands_education,Twoing,1,1,2
Contraceptive with Aggreg,husbands_occupation,LS Chi Square,1,1,1
Contraceptive with Aggreg,husbands_occupation,LS Squared Gini,2,2,0
Contraceptive with Aggreg,husbands_occupation,Twoing,0,0,2
Contraceptive with Aggreg,media_exposure,LS Chi Square,0,0,1
Contraceptive with Aggreg,media_exposure,LS Squared Gini,0,0,2
Contraceptive with Aggreg,media_exposure,Twoing,0,0,0
Contraceptive with Aggreg,standard_of_living_index,LS Chi Square,1,1,1
Contraceptive with Aggreg,standard_of_living_index,LS Squared Gini,0,0,0
Contraceptive with Aggreg,standard_of_living_index,Twoing,2,2,2
Contraceptive with Aggreg,wife_is_working,LS Chi Square,1,1,1
Contraceptive with Aggreg,wife_is_working,LS Squared Gini,0,0,0
Contraceptive with Aggreg,wife_is_working,Twoing,2,2,2
Contraceptive with Aggreg,wifes_education,LS Chi Square,0,0,1
Contraceptive with Aggreg,wifes_education,LS Squared Gini,0,0,0
Contraceptive with Aggreg,wifes_education,Twoing,1,1,2
Contraceptive with Aggreg,wifes_religion,LS Chi Square,1,1,1
Contraceptive with Aggreg,wifes_religion,LS Squared Gini,0,0,0
Contraceptive with Aggreg,wifes_religion,Twoing,2,2,2
Cover Type with Aggreg,soil_type_1,LS Chi Square,1,1,1
Cover Type with Aggreg,soil_type_1,LS Squared Gini,0,0,0
Cover Type with Aggreg,soil_type_1,Twoing,2,2,2
Cover Type with Aggreg,soil_type_10,LS Chi Square,1,1,1
Cover Type with Aggreg,soil_type_10,LS Squared Gini,0,0,0
Cover Type with Aggreg,soil_type_10,Twoing,2,2,2
Cover Type with Aggreg,soil_type_11,LS Chi Square,1,1,1
Cover Type with Aggreg,soil_type_11,LS Squared Gini,0,0,0
Cover Type with Aggreg,soil_type_11,Twoing,2,2,2
Cover Type with Aggreg,soil_type_12,LS Chi Square,1,1,1
Cover Type with Aggreg,soil_type_12,LS Squared Gini,0,0,0
Cover Type with Aggreg,soil_type_12,Twoing,2,2,2
Cover Type with Aggreg,soil_type_13,LS Chi Square,1,1,1
Cover Type with Aggreg,soil_type_13,LS Squared Gini,0,0,0
Cover Type with Aggreg,soil_type_13,Twoing,2,2,2
Cover Type with Aggreg,soil_type_14,LS Chi Square,1,1,1
Cover Type with Aggreg,soil_type_14,LS Squared Gini,0,0,0
Cover Type with Aggreg,soil_type_14,Twoing,2,2,2
Cover Type with Aggreg,soil_type_16,LS Chi Square,1,1,1
Cover Type with Aggreg,soil_type_16,LS Squared Gini,0,0,0
Cover Type with Aggreg,soil_type_16,Twoing,2,2,2
Cover Type with Aggreg,soil_type_17,LS Chi Square,1,1,1
Cover Type with Aggreg,soil_type_17,LS Squared Gini,0,0,0
Cover Type with Aggreg,soil_type_17,Twoing,2,2,2
Cover Type with Aggreg,soil_type_18,LS Chi Square,1,1,1
Cover Type with Aggreg,soil_type_18,LS Squared Gini,0,0,0
Cover Type with Aggreg,soil_type_18,Twoing,2,2,2
Cover Type with Aggreg,soil_type_19,LS Chi Square,1,1,1
Cover Type with Aggreg,soil_type_19,LS Squared Gini,0,0,0
Cover Type with Aggreg,soil_type_19,Twoing,2,2,2
Cover Type with Aggreg,soil_type_2,LS Chi Square,1,1,1
Cover Type with Aggreg,soil_type_2,LS Squared Gini,0,0,0
Cover Type with Aggreg,soil_type_2,Twoing,2,2,2
Cover Type with Aggreg,soil_type_20,LS Chi Square,1,1,1
Cover Type with Aggreg,soil_type_20,LS Squared Gini,0,0,0
Cover Type with Aggreg,soil_type_20,Twoing,2,2,2
Cover Type with Aggreg,soil_type_21,LS Chi Square,1,1,1
Cover Type with Aggreg,soil_type_21,LS Squared Gini,0,0,0
Cover Type with Aggreg,soil_type_21,Twoing,2,2,2
Cover Type with Aggreg,soil_type_22,LS Chi Square,1,1,1
Cover Type with Aggreg,soil_type_22,LS Squared Gini,0,0,0
Cover Type with Aggreg,soil_type_22,Twoing,2,2,2
Cover Type with Aggreg,soil_type_23,LS Chi Square,1,1,1
Cover Type with Aggreg,soil_type_23,LS Squared Gini,0,0,0
Cover Type with Aggreg,soil_type_23,Twoing,2,2,2
Cover Type with Aggreg,soil_type_24,LS Chi Square,1,1,1
Cover Type with Aggreg,soil_type_24,LS Squared Gini,0,0,0
Cover Type with Aggreg,soil_type_24,Twoing,2,2,2
Cover Type with Aggreg,soil_type_25,LS Chi Square,1,1,1
Cover Type with Aggreg,soil_type_25,LS Squared Gini,0,0,0
Cover Type with Aggreg,soil_type_25,Twoing,2,2,2
Cover Type with Aggreg,soil_type_26,LS Chi Square,1,1,1
Cover Type with Aggreg,soil_type_26,LS Squared Gini,0,0,0
Cover Type with Aggreg,soil_type_26,Twoing,2,2,2
Cover Type with Aggreg,soil_type_27,LS Chi Square,1,1,1
Cover Type with Aggreg,soil_type_27,LS Squared Gini,0,0,0
Cover Type with Aggreg,soil_type_27,Twoing,2,2,2
Cover Type with Aggreg,soil_type_28,LS Chi Square,1,1,1
Cover Type with Aggreg,soil_type_28,LS Squared Gini,0,0,0
Cover Type with Aggreg,soil_type_28,Twoing,2,2,2
Cover Type with Aggreg,soil_type_29,LS Chi Square,1,1,1
Cover Type with Aggreg,soil_type_29,LS Squared Gini,0,0,0
Cover Type with Aggreg,soil_type_29,Twoing,2,2,2
Cover Type with Aggreg,soil_type_3,LS Chi Square,1,1,1
Cover Type with Aggreg,soil_type_3,LS Squared Gini,0,0,0
Cover Type with Aggreg,soil_type_3,Twoing,2,2,2
Cover Type with Aggreg,soil_type_30,LS Chi Square,1,1,1
