Dataset,Attribute,Criterion Difference Name,Paired t-statistics on Accuracy with Missing Values,Degrees of Freedom of Accuracy with Missing Values,P-value t-statistics on Accuracy with Missing Values,Paired t-statistics on Accuracy without Missing Values,P-value t-statistics on Accuracy without Missing Values,Degrees of Freedom of Accuracy without Missing Values,Paired t-statistics on Number of Nodes,P-value t-statistics on Number of Nodes,Degrees of Freedom of Number of Nodes
Adult Census Income,sex,LS Squared Gini - LS Chi Square,0.0,29,100.0,0.0,29,100.0,0.0,100.0,29
Adult Census Income,sex,LS Squared Gini - Twoing,0.0,29,100.0,0.0,29,100.0,0.0,100.0,29
Adult Census Income,sex,LS Chi Square - Twoing,0.0,29,100.0,0.0,29,100.0,0.0,100.0,29
Adult Census Income,race,LS Squared Gini - LS Chi Square,0.0,29,100.0,0.0,29,100.0,0.0,100.0,29
Adult Census Income,race,LS Squared Gini - Twoing,0.0,29,100.0,0.0,29,100.0,0.0,100.0,29
Adult Census Income,race,LS Chi Square - Twoing,0.0,29,100.0,0.0,29,100.0,0.0,100.0,29
Adult Census Income,native.country,LS Squared Gini - LS Chi Square,0.0,29,100.0,0.0,29,100.0,0.0,100.0,29
Adult Census Income,native.country,LS Squared Gini - Twoing,0.0,29,100.0,0.0,29,100.0,0.0,100.0,29
Adult Census Income,native.country,LS Chi Square - Twoing,0.0,29,100.0,0.0,29,100.0,0.0,100.0,29
Adult Census Income,workclass,LS Squared Gini - LS Chi Square,1.4291492716304066,29,0.081822787931,1.439458433393385,29,0.0803642355433,-2.692582403567252,0.994172603162,29
Adult Census Income,workclass,LS Squared Gini - Twoing,-8.87621811721276,29,0.999999999541,-8.795760977197201,29,0.999999999443,-29.0,1.0,29
Adult Census Income,workclass,LS Chi Square - Twoing,-9.113792716501688,29,0.999999999741,-9.04969158540276,29,0.999999999698,-9.76144017477515,0.999999999943,29
Adult Census Income,marital.status,LS Squared Gini - LS Chi Square,0.0,29,100.0,0.0,29,100.0,0.0,100.0,29
Adult Census Income,marital.status,LS Squared Gini - Twoing,0.0,29,100.0,0.0,29,100.0,0.0,100.0,29
