Dataset,Attribute,Criterion Difference Name,Paired t-statistics on Accuracy with Missing Values,Degrees of Freedom of Accuracy with Missing Values,P-value t-statistics on Accuracy with Missing Values,Paired t-statistics on Accuracy without Missing Values,P-value t-statistics on Accuracy without Missing Values,Degrees of Freedom of Accuracy without Missing Values,Paired t-statistics on Number of Nodes,P-value t-statistics on Number of Nodes,Degrees of Freedom of Number of Nodes
KDD98 Multiclass 5,HOMEOWNR,LS Squared Gini - Twoing,0.0,1,100.0,0.0,1,100.0,0.0,100.0,1
KDD98 Multiclass 5,HOMEOWNR,LS Squared Gini - LS Chi Square,0.0,1,100.0,0.0,1,100.0,0.0,100.0,1
KDD98 Multiclass 5,HOMEOWNR,Twoing - LS Chi Square,0.0,1,100.0,0.0,1,100.0,0.0,100.0,1
KDD98 Multiclass 5,CRAFTS,LS Squared Gini - Twoing,0.0,13,100.0,0.0,13,100.0,0.0,100.0,13
KDD98 Multiclass 5,CRAFTS,LS Squared Gini - LS Chi Square,0.0,13,100.0,0.0,13,100.0,0.0,100.0,13
KDD98 Multiclass 5,CRAFTS,Twoing - LS Chi Square,0.0,13,100.0,0.0,13,100.0,0.0,100.0,13
KDD98 Multiclass 5,RFA_2,LS Squared Gini - Twoing,-1.7059227481109063,29,0.950643874808,-1.7059227481109063,29,0.950643874808,0.0,100.0,29
KDD98 Multiclass 5,RFA_2,LS Squared Gini - LS Chi Square,-1.7059227481109063,29,0.950643874808,-1.7059227481109063,29,0.950643874808,0.0,100.0,29
KDD98 Multiclass 5,RFA_2,Twoing - LS Chi Square,0.0,29,100.0,0.0,29,100.0,0.0,100.0,29
KDD98 Multiclass 5,FISHER,LS Squared Gini - Twoing,0.0,12,100.0,0.0,12,100.0,0.0,100.0,12
KDD98 Multiclass 5,FISHER,LS Squared Gini - LS Chi Square,0.0,12,100.0,0.0,12,100.0,0.0,100.0,12
KDD98 Multiclass 5,FISHER,Twoing - LS Chi Square,0.0,12,100.0,0.0,12,100.0,0.0,100.0,12
KDD98 Multiclass 5,CATLG,LS Squared Gini - Twoing,0.0,13,100.0,0.0,13,100.0,0.0,100.0,13
KDD98 Multiclass 5,CATLG,LS Squared Gini - LS Chi Square,0.0,13,100.0,0.0,13,100.0,0.0,100.0,13
KDD98 Multiclass 5,CATLG,Twoing - LS Chi Square,0.0,13,100.0,0.0,13,100.0,0.0,100.0,13
KDD98 Multiclass 5,PCOWNERS,LS Squared Gini - Twoing,0.0,18,100.0,0.0,18,100.0,0.0,100.0,18
KDD98 Multiclass 5,PCOWNERS,LS Squared Gini - LS Chi Square,0.0,18,100.0,0.0,18,100.0,0.0,100.0,18
KDD98 Multiclass 5,PCOWNERS,Twoing - LS Chi Square,0.0,18,100.0,0.0,18,100.0,0.0,100.0,18
KDD98 Multiclass 5,RECINHSE,LS Squared Gini - Twoing,0.0,13,100.0,0.0,13,100.0,0.0,100.0,13
KDD98 Multiclass 5,RECINHSE,LS Squared Gini - LS Chi Square,0.0,13,100.0,0.0,13,100.0,0.0,100.0,13
KDD98 Multiclass 5,RECINHSE,Twoing - LS Chi Square,0.0,13,100.0,0.0,13,100.0,0.0,100.0,13
KDD98 Multiclass 5,RFA_13,LS Squared Gini - Twoing,-9.773468381945092,29,0.999999999945,-9.762823948141296,29,0.999999999943,0.0,100.0,29
KDD98 Multiclass 5,RFA_13,LS Squared Gini - LS Chi Square,-10.992856925675548,29,0.999999999996,-10.98349839078322,29,0.999999999996,0.0,100.0,29
KDD98 Multiclass 5,RFA_13,Twoing - LS Chi Square,-0.5367791364122271,29,0.702242643575,-0.5340079418020708,29,0.701296930997,0.0,100.0,29
KDD98 Multiclass 5,RFA_4,LS Squared Gini - Twoing,-5.945032282680452,29,0.999999073878,-5.9561937993611185,29,0.999999101842,0.0,100.0,29
KDD98 Multiclass 5,RFA_4,LS Squared Gini - LS Chi Square,-6.787094253647513,29,0.999999905698,-6.799779089813151,29,0.999999908842,0.0,100.0,29
KDD98 Multiclass 5,RFA_4,Twoing - LS Chi Square,-1.8691994232820803,29,0.964137698686,-1.8666131541417497,29,0.96395159676,0.0,100.0,29
KDD98 Multiclass 5,RFA_18,LS Squared Gini - Twoing,-3.9679631823881376,29,0.999781801702,-3.9688587414845897,29,0.99978233086,0.0,100.0,29
KDD98 Multiclass 5,RFA_18,LS Squared Gini - LS Chi Square,-5.318496422419399,29,0.999994765993,-5.320880679093694,29,0.999994800529,0.0,100.0,29
KDD98 Multiclass 5,RFA_18,Twoing - LS Chi Square,-0.2676092861028346,29,0.604552882133,-0.27081723670804325,29,0.605775059093,0.0,100.0,29
KDD98 Multiclass 5,RFA_15,LS Squared Gini - Twoing,-28.526284203383007,29,1.0,-28.606191194474818,29,1.0,-2.692582403567252,0.994172603162,29
