Date Time,Dataset,Use Numeric attributes?,Attribute Name,Is the Attribute Numeric?,Number of Different Values (only for Nominal Attributes),Total Number of Samples,Trial Number,Criterion,Maximum Depth Allowed,Total Number of folds,Fold Number,Is stratified?,Number of Samples Forcing a Leaf,Use Min Samples in Second Largest Class?,Min Samples in Second Largest Class,Uses Chi-Square Test,Maximum p-value Allowed by Chi-Square Test [between 0 and 1],Minimum Number in Second Most Frequent Value,Number of Attributes in Dataset,Number of Valid Attributes in Dataset (m),Number of Valid Nominal Attributes in Dataset (m_nom),Number of Valid Numeric Attributes in Dataset (m_num),Total Number of Inversions (pairs),Total Number of Ties (pairs),Total Number of Correct (pairs),Criterion Value in Root Node,Total Time Taken for Current Fold [s],Accuracy Percentage on Trivial Trees (with no splits),Accuracy Percentage (with missing values),Accuracy Percentage (without missing values),Number of Samples Classified using Unkown Value,Percentage of Samples with Unkown Values for Accepted Attribute,Number of Nodes (after prunning),Tree Depth (after prunning),Number of Nodes Pruned
2017-05-04 10:34:49.166766,Mushroom,False,cap-shape,False,6,2817,1,GW Squared Gini,2,3,1,True,1,False,None,True,0.1,40,23,18,18,0,21.0,7.0,125.0,411527.0,0.16582430300002216,63.08510638297872,63.08510638297872,63.08510638297872,0,0.0,1,0,4
2017-05-04 10:34:49.166848,Mushroom,False,cap-surface,False,4,2817,1,GW Squared Gini,2,3,1,True,1,False,None,True,0.1,40,23,18,18,0,21.0,7.0,125.0,392545.0,0.04521240700000817,63.08510638297872,63.08510638297872,63.08510638297872,0,0.0,1,0,4
2017-05-04 10:34:49.166879,Mushroom,False,cap-color,False,10,2817,1,GW Squared Gini,2,3,1,True,1,False,None,True,0.1,40,23,18,18,0,21.0,7.0,125.0,469560.0,0.11100319399997716,63.08510638297872,71.91489361702128,71.91489361702128,0,0.0,5,2,2
2017-05-04 10:34:49.166902,Mushroom,False,bruises?,False,2,2817,1,GW Squared Gini,2,3,1,True,1,False,None,True,0.1,40,23,18,18,0,21.0,7.0,125.0,491465.0,0.01597610299995722,63.08510638297872,72.44680851063829,72.44680851063829,0,0.0,3,1,0
2017-05-04 10:34:49.166924,Mushroom,False,odor,False,9,2817,1,GW Squared Gini,2,3,1,True,1,False,None,True,0.1,40,23,18,18,0,21.0,7.0,125.0,783808.0,0.05347666399995887,63.08510638297872,98.93617021276596,98.93617021276596,0,0.0,3,1,4
2017-05-04 10:34:49.166945,Mushroom,False,gill-spacing,False,2,2817,1,GW Squared Gini,2,3,1,True,1,False,None,True,0.1,40,23,18,18,0,21.0,7.0,125.0,231906.0,0.015399053999999524,63.08510638297872,63.08510638297872,63.08510638297872,0,0.0,1,0,2
2017-05-04 10:34:49.166965,Mushroom,False,gill-size,False,2,2817,1,GW Squared Gini,2,3,1,True,1,False,None,True,0.1,40,23,18,18,0,21.0,7.0,125.0,216208.0,0.015926332000049115,63.08510638297872,65.53191489361703,65.53191489361703,0,0.0,3,1,0
2017-05-04 10:34:49.166987,Mushroom,False,gill-color,False,12,2817,1,GW Squared Gini,2,3,1,True,1,False,None,True,0.1,40,23,18,18,0,21.0,7.0,125.0,504742.0,0.09969601099999181,63.08510638297872,74.8936170212766,74.8936170212766,0,0.0,5,2,2
2017-05-04 10:34:49.167009,Mushroom,False,stalk-shape,False,2,2817,1,GW Squared Gini,2,3,1,True,1,False,None,True,0.1,40,23,18,18,0,21.0,7.0,125.0,569688.0,0.01605214899996099,63.08510638297872,77.97872340425532,77.97872340425532,0,0.0,3,1,0
2017-05-04 10:34:49.167030,Mushroom,False,stalk-root,False,4,2817,1,GW Squared Gini,2,3,1,True,1,False,None,True,0.1,40,23,18,18,0,21.0,7.0,125.0,365706.0,0.02951447600003121,63.08510638297872,63.08510638297872,63.08510638297872,0,0.0,1,0,4
