Dataset,Attribute,Criterion Difference Name,Paired t-statistics on Accuracy with Missing Values,Degrees of Freedom of Accuracy with Missing Values,P-value t-statistics on Accuracy with Missing Values,Paired t-statistics on Accuracy without Missing Values,P-value t-statistics on Accuracy without Missing Values,Degrees of Freedom of Accuracy without Missing Values,Paired t-statistics on Number of Nodes,P-value t-statistics on Number of Nodes,Degrees of Freedom of Number of Nodes
KDD98 Multiclass 3,COLLECT1,GW Squared Gini - GW Chi Square,None,0,None,None,0,None,None,None,0
KDD98 Multiclass 3,STEREO,GW Squared Gini - GW Chi Square,None,0,None,None,0,None,None,None,0
KDD98 Multiclass 3,CDPLAY,GW Squared Gini - GW Chi Square,0.0,8,100.0,0.0,8,100.0,0.0,100.0,8
KDD98 Multiclass 3,PCOWNERS,GW Squared Gini - GW Chi Square,0.0,22,100.0,0.0,22,100.0,0.0,100.0,22
KDD98 Multiclass 3,RFA_7,GW Squared Gini - GW Chi Square,1.46332583715434,29,0.0770667855589,1.4625900227529325,29,0.0771668027344,2.3637165573102776,0.0125036448486,29
KDD98 Multiclass 3,RFA_17,GW Squared Gini - GW Chi Square,-2.1054306116335484,29,0.977984653034,-2.106947739549079,29,0.978055600686,3.611732225044862,0.000567500195194,29
KDD98 Multiclass 3,RFA_23,GW Squared Gini - GW Chi Square,-1.4396345748091712,29,0.919660504391,-1.44218785944352,29,0.920018446121,3.9579260442090844,0.000224215962419,29
KDD98 Multiclass 3,RECP3,GW Squared Gini - GW Chi Square,0.0,3,100.0,0.0,3,100.0,0.0,100.0,3
KDD98 Multiclass 3,RFA_10,GW Squared Gini - GW Chi Square,0.23315222162019653,29,0.408640532985,0.2346646952006792,29,0.408058998158,-0.7235092977779339,0.762418522202,29
KDD98 Multiclass 3,OSOURCE,GW Squared Gini - GW Chi Square,0.8929434954883243,21,0.191003182929,0.8848996522006722,21,0.193115446909,0.0,100.0,21
KDD98 Multiclass 3,RFA_2A,GW Squared Gini - GW Chi Square,0.0,29,100.0,0.0,29,100.0,0.0,100.0,29
KDD98 Multiclass 3,HOMEOWNR,GW Squared Gini - GW Chi Square,0.0,10,100.0,0.0,10,100.0,0.0,100.0,10
KDD98 Multiclass 3,RFA_6,GW Squared Gini - GW Chi Square,0.024632451626026706,29,0.490258426839,0.023568891408435894,29,0.490678958284,-0.15361126213119747,0.56050989332,29
KDD98 Multiclass 3,RFA_20,GW Squared Gini - GW Chi Square,3.836112208897319,29,0.000311567826709,3.8345213740183888,29,0.000312904734966,-0.4868852233416484,0.685000249163,29
KDD98 Multiclass 3,RFA_16,GW Squared Gini - GW Chi Square,0.32628523816788646,29,0.373275812154,0.3248585616441803,29,0.373810038277,0.6603712785728266,0.257113610241,29
KDD98 Multiclass 3,RFA_12,GW Squared Gini - GW Chi Square,-0.1874348069268374,29,0.573687502151,-0.18679713498252298,29,0.573439814745,1.7849646088112,0.0423659830092,29
KDD98 Multiclass 3,RFA_5,GW Squared Gini - GW Chi Square,-3.8663570495480157,29,0.999712811908,-3.864848692886226,29,0.999711641566,1.071687851701767,0.146349163518,29
KDD98 Multiclass 3,RFA_11,GW Squared Gini - GW Chi Square,0.316598039460651,29,0.376908218601,0.32258399318352077,29,0.37466228926,0.22575785276343882,0.411486637276,29
KDD98 Multiclass 3,RFA_13,GW Squared Gini - GW Chi Square,1.786561359400488,29,0.0422339227955,1.7849930570663224,29,0.0423636271077,1.6175726732927516,0.0582909436224,29
KDD98 Multiclass 3,RFA_9,GW Squared Gini - GW Chi Square,2.071617591609652,29,0.0236503251984,2.067097197110116,29,0.0238768553466,3.5,0.000762223157327,29
KDD98 Multiclass 3,GARDENIN,GW Squared Gini - GW Chi Square,0.0,5,100.0,0.0,5,100.0,0.0,100.0,5
KDD98 Multiclass 3,FISHER,GW Squared Gini - GW Chi Square,0.0,12,100.0,0.0,12,100.0,0.0,100.0,12
KDD98 Multiclass 3,RFA_2,GW Squared Gini - GW Chi Square,-2.2322643255298065,29,0.983257758054,-2.2322643255298065,29,0.983257758054,0.2541416401811047,0.400589751537,29
KDD98 Multiclass 3,WALKER,GW Squared Gini - GW Chi Square,None,0,None,None,0,None,None,None,0
KDD98 Multiclass 3,CRAFTS,GW Squared Gini - GW Chi Square,0.0,1,100.0,0.0,1,100.0,0.0,100.0,1
