Dataset,Attribute,Criterion,Number of times is statistically better with missing values,Number of times is statistically better without missing values,Number of times has statistically larger number of nodes
Adult Census Income,education,GW Chi Square,0,0,0
Adult Census Income,education,GW Squared Gini,1,1,1
Adult Census Income,marital.status,GW Chi Square,0,0,0
Adult Census Income,marital.status,GW Squared Gini,1,1,1
Adult Census Income,native.country,GW Chi Square,0,0,0
Adult Census Income,native.country,GW Squared Gini,1,1,1
Adult Census Income,occupation,GW Chi Square,0,0,0
Adult Census Income,occupation,GW Squared Gini,1,1,1
Adult Census Income,race,GW Chi Square,0,0,0
Adult Census Income,race,GW Squared Gini,1,1,1
Adult Census Income,relationship,GW Chi Square,0,0,0
Adult Census Income,relationship,GW Squared Gini,1,1,1
Adult Census Income,sex,GW Chi Square,0,0,0
Adult Census Income,sex,GW Squared Gini,1,1,1
Adult Census Income,workclass,GW Chi Square,0,0,0
Adult Census Income,workclass,GW Squared Gini,1,1,1
Cars with Aggreg,PRICE,GW Chi Square,0,0,0
Cars with Aggreg,PRICE,GW Squared Gini,1,1,1
Cars with Aggreg,buying,GW Chi Square,0,0,0
Cars with Aggreg,buying,GW Squared Gini,1,1,1
Cars with Aggreg,lug_boot,GW Chi Square,0,0,0
Cars with Aggreg,lug_boot,GW Squared Gini,1,1,1
Cars with Aggreg,maint,GW Chi Square,0,0,0
Cars with Aggreg,maint,GW Squared Gini,1,1,1
Cars with Aggreg,safety,GW Chi Square,0,0,0
Cars with Aggreg,safety,GW Squared Gini,1,1,1
Contraceptive with Aggreg,aggreg_education,GW Chi Square,0,0,0
Contraceptive with Aggreg,aggreg_education,GW Squared Gini,1,1,1
Contraceptive with Aggreg,aggreg_working_occupation_sol,GW Chi Square,0,0,0
Contraceptive with Aggreg,aggreg_working_occupation_sol,GW Squared Gini,1,0,1
Contraceptive with Aggreg,husbands_education,GW Chi Square,0,0,0
Contraceptive with Aggreg,husbands_education,GW Squared Gini,0,0,1
Contraceptive with Aggreg,husbands_occupation,GW Chi Square,0,0,0
Contraceptive with Aggreg,husbands_occupation,GW Squared Gini,0,0,1
Contraceptive with Aggreg,media_exposure,GW Chi Square,0,0,1
Contraceptive with Aggreg,media_exposure,GW Squared Gini,0,0,0
Contraceptive with Aggreg,standard_of_living_index,GW Chi Square,0,0,0
Contraceptive with Aggreg,standard_of_living_index,GW Squared Gini,1,1,1
Contraceptive with Aggreg,wife_is_working,GW Chi Square,0,0,0
Contraceptive with Aggreg,wife_is_working,GW Squared Gini,1,1,1
Contraceptive with Aggreg,wifes_education,GW Chi Square,0,0,0
Contraceptive with Aggreg,wifes_education,GW Squared Gini,1,1,1
Contraceptive with Aggreg,wifes_religion,GW Chi Square,0,0,0
Contraceptive with Aggreg,wifes_religion,GW Squared Gini,1,1,1
Cover Type with Aggreg,soil_type_1,GW Chi Square,0,0,0
Cover Type with Aggreg,soil_type_1,GW Squared Gini,1,1,1
Cover Type with Aggreg,soil_type_10,GW Chi Square,0,0,0
Cover Type with Aggreg,soil_type_10,GW Squared Gini,1,1,1
Cover Type with Aggreg,soil_type_11,GW Chi Square,0,0,0
Cover Type with Aggreg,soil_type_11,GW Squared Gini,1,1,1
Cover Type with Aggreg,soil_type_12,GW Chi Square,0,0,0
Cover Type with Aggreg,soil_type_12,GW Squared Gini,1,1,1
Cover Type with Aggreg,soil_type_13,GW Chi Square,0,0,0
Cover Type with Aggreg,soil_type_13,GW Squared Gini,1,1,1
Cover Type with Aggreg,soil_type_14,GW Chi Square,0,0,0
Cover Type with Aggreg,soil_type_14,GW Squared Gini,1,1,1
Cover Type with Aggreg,soil_type_16,GW Chi Square,0,0,0
Cover Type with Aggreg,soil_type_16,GW Squared Gini,1,1,1
Cover Type with Aggreg,soil_type_17,GW Chi Square,0,0,0
Cover Type with Aggreg,soil_type_17,GW Squared Gini,1,1,1
Cover Type with Aggreg,soil_type_18,GW Chi Square,0,0,0
Cover Type with Aggreg,soil_type_18,GW Squared Gini,1,1,1
Cover Type with Aggreg,soil_type_19,GW Chi Square,0,0,0
Cover Type with Aggreg,soil_type_19,GW Squared Gini,1,1,1
Cover Type with Aggreg,soil_type_2,GW Chi Square,0,0,0
Cover Type with Aggreg,soil_type_2,GW Squared Gini,1,1,1
Cover Type with Aggreg,soil_type_20,GW Chi Square,0,0,0
Cover Type with Aggreg,soil_type_20,GW Squared Gini,1,1,1
Cover Type with Aggreg,soil_type_21,GW Chi Square,0,0,0
Cover Type with Aggreg,soil_type_21,GW Squared Gini,1,1,1
Cover Type with Aggreg,soil_type_22,GW Chi Square,0,0,0
Cover Type with Aggreg,soil_type_22,GW Squared Gini,1,1,1
Cover Type with Aggreg,soil_type_23,GW Chi Square,0,0,0
Cover Type with Aggreg,soil_type_23,GW Squared Gini,1,1,1
Cover Type with Aggreg,soil_type_24,GW Chi Square,0,0,0
Cover Type with Aggreg,soil_type_24,GW Squared Gini,1,1,1
Cover Type with Aggreg,soil_type_25,GW Chi Square,0,0,0
Cover Type with Aggreg,soil_type_25,GW Squared Gini,1,1,1
Cover Type with Aggreg,soil_type_26,GW Chi Square,0,0,0
Cover Type with Aggreg,soil_type_26,GW Squared Gini,1,1,1
Cover Type with Aggreg,soil_type_27,GW Chi Square,0,0,0
Cover Type with Aggreg,soil_type_27,GW Squared Gini,1,1,1
Cover Type with Aggreg,soil_type_28,GW Chi Square,0,0,0
Cover Type with Aggreg,soil_type_28,GW Squared Gini,1,1,1
Cover Type with Aggreg,soil_type_29,GW Chi Square,0,0,0
Cover Type with Aggreg,soil_type_29,GW Squared Gini,1,1,1
Cover Type with Aggreg,soil_type_3,GW Chi Square,0,0,0
Cover Type with Aggreg,soil_type_3,GW Squared Gini,1,1,1
Cover Type with Aggreg,soil_type_30,GW Chi Square,0,0,0
Cover Type with Aggreg,soil_type_30,GW Squared Gini,1,1,1
Cover Type with Aggreg,soil_type_31,GW Chi Square,0,0,0
Cover Type with Aggreg,soil_type_31,GW Squared Gini,1,1,1
Cover Type with Aggreg,soil_type_32,GW Chi Square,0,0,0
Cover Type with Aggreg,soil_type_32,GW Squared Gini,1,1,1
Cover Type with Aggreg,soil_type_33,GW Chi Square,0,0,0
Cover Type with Aggreg,soil_type_33,GW Squared Gini,1,1,1
Cover Type with Aggreg,soil_type_34,GW Chi Square,0,0,0
Cover Type with Aggreg,soil_type_34,GW Squared Gini,1,1,1
Cover Type with Aggreg,soil_type_35,GW Chi Square,0,0,0
Cover Type with Aggreg,soil_type_35,GW Squared Gini,1,1,1
Cover Type with Aggreg,soil_type_36,GW Chi Square,0,0,0
Cover Type with Aggreg,soil_type_36,GW Squared Gini,1,1,1
Cover Type with Aggreg,soil_type_37,GW Chi Square,0,0,0
Cover Type with Aggreg,soil_type_37,GW Squared Gini,1,1,1
Cover Type with Aggreg,soil_type_38,GW Chi Square,0,0,0
Cover Type with Aggreg,soil_type_38,GW Squared Gini,1,1,1
