Date Time,Dataset,Use Numeric attributes?,Attribute Name,Is the Attribute Numeric?,Number of Different Values (only for Nominal Attributes),Total Number of Samples,Trial Number,Criterion,Maximum Depth Allowed,Total Number of folds,Fold Number,Is stratified?,Number of Samples Forcing a Leaf,Use Min Samples in Second Largest Class?,Min Samples in Second Largest Class,Uses Chi-Square Test,Maximum p-value Allowed by Chi-Square Test [between 0 and 1],Minimum Number in Second Most Frequent Value,Number of Attributes in Dataset,Number of Valid Attributes in Dataset (m),Number of Valid Nominal Attributes in Dataset (m_nom),Number of Valid Numeric Attributes in Dataset (m_num),Total Number of Inversions (pairs),Total Number of Ties (pairs),Total Number of Correct (pairs),Criterion Value in Root Node,Total Time Taken for Current Fold [s],Accuracy Percentage on Trivial Trees (with no splits),Accuracy Percentage (with missing values),Accuracy Percentage (without missing values),Number of Samples Classified using Unkown Value,Percentage of Samples with Unkown Values for Accepted Attribute,Number of Nodes (after prunning),Tree Depth (after prunning),Number of Nodes Pruned
2017-05-04 10:45:10.779292,KDD98 Multiclass 3,False,OSOURCE,False,300,2385,1,GW Squared Gini,1,3,1,True,1,False,None,True,0.1,40,480,31,31,0,33.0,7.0,425.0,433981.0,175.1008070490061,41.45728643216081,42.085427135678394,42.18958611481976,47,5.9045226130653266,3,1,0
2017-05-04 10:45:10.783872,KDD98 Multiclass 3,False,DOMAIN,False,17,2385,1,GW Squared Gini,1,3,1,True,1,False,None,True,0.1,40,480,31,31,0,33.0,7.0,425.0,411518.0,0.19486864299688023,41.45728643216081,41.959798994974875,41.959798994974875,0,0.0,3,1,0
2017-05-04 10:45:10.783925,KDD98 Multiclass 3,False,CDPLAY,False,2,2385,1,GW Squared Gini,1,3,1,True,1,False,None,True,0.1,40,480,31,31,0,33.0,7.0,425.0,170816.0,0.012015147993224673,41.45728643216081,41.70854271356784,41.70854271356784,0,0.0,3,1,0
2017-05-04 10:45:10.783963,KDD98 Multiclass 3,False,PCOWNERS,False,2,2385,1,GW Squared Gini,1,3,1,True,1,False,None,True,0.1,40,480,31,31,0,33.0,7.0,425.0,146792.0,0.01248794600542169,41.45728643216081,41.33165829145729,41.33165829145729,0,0.0,3,1,0
2017-05-04 10:45:10.783998,KDD98 Multiclass 3,False,FISHER,False,2,2385,1,GW Squared Gini,1,3,1,True,1,False,None,True,0.1,40,480,31,31,0,33.0,7.0,425.0,117063.0,0.01139813699410297,41.45728643216081,41.45728643216081,41.45728643216081,0,0.0,1,0,2
2017-05-04 10:45:10.784033,KDD98 Multiclass 3,False,GARDENIN,False,2,2385,1,GW Squared Gini,1,3,1,True,1,False,None,True,0.1,40,480,31,31,0,33.0,7.0,425.0,208493.0,0.011565801993128844,41.45728643216081,41.45728643216081,41.45728643216081,0,0.0,1,0,2
2017-05-04 10:45:10.784068,KDD98 Multiclass 3,False,PEPSTRFL,False,2,2385,1,GW Squared Gini,1,3,1,True,1,False,None,True,0.1,40,480,31,31,0,33.0,7.0,425.0,418516.0,0.011748620003345422,41.45728643216081,53.14070351758794,53.14070351758794,0,0.0,3,1,0
2017-05-04 10:45:10.784103,KDD98 Multiclass 3,False,RFA_2,False,14,2385,1,GW Squared Gini,1,3,1,True,1,False,None,True,0.1,40,480,31,31,0,33.0,7.0,425.0,513594.0,0.1429651090002153,41.45728643216081,65.7035175879397,65.7035175879397,0,0.0,3,1,0
2017-05-04 10:45:10.784137,KDD98 Multiclass 3,False,RFA_3,False,53,2385,1,GW Squared Gini,1,3,1,True,1,False,None,True,0.1,40,480,31,31,0,33.0,7.0,425.0,510480.0,6.306505315005779,41.45728643216081,64.19597989949749,64.35768261964735,2,0.25125628140703515,3,1,0
2017-05-04 10:45:10.784174,KDD98 Multiclass 3,False,RFA_4,False,55,2385,1,GW Squared Gini,1,3,1,True,1,False,None,True,0.1,40,480,31,31,0,33.0,7.0,425.0,509665.0,5.610888720999355,41.45728643216081,64.07035175879398,64.18663303909206,3,0.3768844221105528,3,1,0
2017-05-04 10:45:10.784210,KDD98 Multiclass 3,False,RFA_5,False,35,2385,1,GW Squared Gini,1,3,1,True,1,False,None,True,0.1,40,480,31,31,0,33.0,7.0,425.0,449309.0,2.3442892380116973,41.45728643216081,55.653266331658294,55.723270440251575,1,0.12562814070351758,3,1,0
2017-05-04 10:45:10.784246,KDD98 Multiclass 3,False,RFA_6,False,82,2385,1,GW Squared Gini,1,3,1,True,1,False,None,True,0.1,40,480,31,31,0,33.0,7.0,425.0,510636.0,7.251432885997929,41.45728643216081,63.5678391959799,64.00506970849176,7,0.8793969849246231,3,1,0
2017-05-04 10:45:10.784290,KDD98 Multiclass 3,False,RFA_7,False,75,2385,1,GW Squared Gini,1,3,1,True,1,False,None,True,0.1,40,480,31,31,0,33.0,7.0,425.0,484213.0,13.697448919992894,41.45728643216081,61.4321608040201,61.46095717884131,2,0.25125628140703515,3,1,0
2017-05-04 10:45:10.784327,KDD98 Multiclass 3,False,RFA_8,False,75,2385,1,GW Squared Gini,1,3,1,True,1,False,None,True,0.1,40,480,31,31,0,33.0,7.0,425.0,499301.0,8.073751475996687,41.45728643216081,64.321608040201,64.27672955974843,1,0.12562814070351758,3,1,0
2017-05-04 10:45:10.784363,KDD98 Multiclass 3,False,RFA_9,False,84,2385,1,GW Squared Gini,1,3,1,True,1,False,None,True,0.1,40,480,31,31,0,33.0,7.0,425.0,491892.0,18.787762230000226,41.45728643216081,62.688442211055275,62.78481012658228,6,0.7537688442211056,3,1,0
2017-05-04 10:45:10.784398,KDD98 Multiclass 3,False,RFA_10,False,65,2385,1,GW Squared Gini,1,3,1,True,1,False,None,True,0.1,40,480,31,31,0,33.0,7.0,425.0,434941.0,9.575976271997206,41.45728643216081,51.381909547738694,51.847133757961785,11,1.3819095477386936,3,1,0
2017-05-04 10:45:10.784433,KDD98 Multiclass 3,False,RFA_11,False,86,2385,1,GW Squared Gini,1,3,1,True,1,False,None,True,0.1,40,480,31,31,0,33.0,7.0,425.0,486904.0,12.61654681400978,41.45728643216081,60.552763819095475,61.0969387755102,12,1.5075376884422111,3,1,0
2017-05-04 10:45:10.784468,KDD98 Multiclass 3,False,RFA_12,False,88,2385,1,GW Squared Gini,1,3,1,True,1,False,None,True,0.1,40,480,31,31,0,33.0,7.0,425.0,489519.0,15.697573972996906,41.45728643216081,61.18090452261306,61.81353767560664,13,1.6331658291457287,3,1,0
2017-05-04 10:45:10.784503,KDD98 Multiclass 3,False,RFA_13,False,55,2385,1,GW Squared Gini,1,3,1,True,1,False,None,True,0.1,40,480,31,31,0,33.0,7.0,425.0,380597.0,8.673627768992446,41.45728643216081,53.015075376884425,52.9559748427673,1,0.12562814070351758,3,1,0
2017-05-04 10:45:10.784538,KDD98 Multiclass 3,False,RFA_14,False,77,2385,1,GW Squared Gini,1,3,1,True,1,False,None,True,0.1,40,480,31,31,0,33.0,7.0,425.0,476549.0,15.104644706007093,41.45728643216081,60.301507537688444,60.40353089533417,3,0.3768844221105528,3,1,0
2017-05-04 10:45:10.784573,KDD98 Multiclass 3,False,RFA_15,False,32,2385,1,GW Squared Gini,1,3,1,True,1,False,None,True,0.1,40,480,31,31,0,33.0,7.0,425.0,380775.0,2.6021075200114865,41.45728643216081,41.45728643216081,41.45728643216081,0,0.0,1,0,2
2017-05-04 10:45:10.784607,KDD98 Multiclass 3,False,RFA_16,False,98,2385,1,GW Squared Gini,1,3,1,True,1,False,None,True,0.1,40,480,31,31,0,33.0,7.0,425.0,472684.0,18.45720519099268,41.45728643216081,57.537688442211056,57.6530612244898,12,1.5075376884422111,3,1,0
2017-05-04 10:45:10.784642,KDD98 Multiclass 3,False,RFA_17,False,96,2385,1,GW Squared Gini,1,3,1,True,1,False,None,True,0.1,40,480,31,31,0,33.0,7.0,425.0,428291.0,20.36732458899496,41.45728643216081,50.62814070351759,50.821744627054365,5,0.628140703517588,3,1,0
2017-05-04 10:45:10.784677,KDD98 Multiclass 3,False,RFA_18,False,102,2385,1,GW Squared Gini,1,3,1,True,1,False,None,True,0.1,40,480,31,31,0,33.0,7.0,425.0,459497.0,20.476282675997936,41.45728643216081,54.02010050251256,54.245880861850445,7,0.8793969849246231,3,1,0
2017-05-04 10:45:10.784711,KDD98 Multiclass 3,False,RFA_19,False,89,2385,1,GW Squared Gini,1,3,1,True,1,False,None,True,0.1,40,480,31,31,0,33.0,7.0,425.0,454629.0,16.407873955002287,41.45728643216081,57.41206030150754,57.59493670886076,6,0.7537688442211056,3,1,0
2017-05-04 10:45:10.784746,KDD98 Multiclass 3,False,RFA_20,False,63,2385,1,GW Squared Gini,1,3,1,True,1,False,None,True,0.1,40,480,31,31,0,33.0,7.0,425.0,398421.0,6.608427141996799,41.45728643216081,40.57788944723618,40.3041825095057,7,0.8793969849246231,3,1,0
2017-05-04 10:45:10.784781,KDD98 Multiclass 3,False,RFA_21,False,85,2385,1,GW Squared Gini,1,3,1,True,1,False,None,True,0.1,40,480,31,31,0,33.0,7.0,425.0,418589.0,13.112606378010241,41.45728643216081,49.246231155778894,49.049429657794676,7,0.8793969849246231,3,1,0
2017-05-04 10:45:10.784816,KDD98 Multiclass 3,False,RFA_22,False,94,2385,1,GW Squared Gini,1,3,1,True,1,False,None,True,0.1,40,480,31,31,0,33.0,7.0,425.0,443702.0,19.16449328699673,41.45728643216081,54.14572864321608,54.18781725888325,8,1.0050251256281406,3,1,0
2017-05-04 10:45:10.784863,KDD98 Multiclass 3,False,RFA_23,False,53,2385,1,GW Squared Gini,1,3,1,True,1,False,None,True,0.1,40,480,31,31,0,33.0,7.0,425.0,404427.0,5.265310344009777,41.45728643216081,41.45728643216081,41.45728643216081,0,0.0,1,0,2
2017-05-04 10:45:10.784899,KDD98 Multiclass 3,False,RFA_24,False,70,2385,1,GW Squared Gini,1,3,1,True,1,False,None,True,0.1,40,480,31,31,0,33.0,7.0,425.0,436863.0,9.012972358003026,41.45728643216081,53.89447236180904,54.04040404040404,4,0.5025125628140703,3,1,0
2017-05-04 10:45:10.784934,KDD98 Multiclass 3,False,RFA_2A,False,4,2385,1,GW Squared Gini,1,3,1,True,1,False,None,True,0.1,40,480,31,31,0,33.0,7.0,425.0,511619.0,0.02501752000534907,41.45728643216081,65.7035175879397,65.7035175879397,0,0.0,3,1,0
2017-05-04 10:52:19.902025,KDD98 Multiclass 3,False,OSOURCE,False,300,2385,1,GW Squared Gini,1,3,2,True,1,False,None,True,0.1,40,480,30,30,0,53.0,15.0,367.0,437333.0,159.63032608300273,41.509433962264154,39.37106918238994,39.57219251336898,47,5.911949685534591,3,1,0
2017-05-04 10:52:19.902109,KDD98 Multiclass 3,False,STATE,False,45,2385,1,GW Squared Gini,1,3,2,True,1,False,None,True,0.1,40,480,30,30,0,53.0,15.0,367.0,414912.0,3.6507214489975013,41.509433962264154,41.886792452830186,41.939546599496225,1,0.12578616352201258,3,1,0
2017-05-04 10:52:19.902147,KDD98 Multiclass 3,False,DOMAIN,False,17,2385,1,GW Squared Gini,1,3,2,True,1,False,None,True,0.1,40,480,30,30,0,53.0,15.0,367.0,412584.0,0.3672708439989947,41.509433962264154,41.509433962264154,41.509433962264154,0,0.0,3,1,0
2017-05-04 10:52:19.902177,KDD98 Multiclass 3,False,AGEFLAG,False,3,2385,1,GW Squared Gini,1,3,2,True,1,False,None,True,0.1,40,480,30,30,0,53.0,15.0,367.0,384975.0,0.01272696300293319,41.509433962264154,41.509433962264154,41.509433962264154,0,0.0,1,0,2
2017-05-04 10:52:19.902205,KDD98 Multiclass 3,False,PEPSTRFL,False,2,2385,1,GW Squared Gini,1,3,2,True,1,False,None,True,0.1,40,480,30,30,0,53.0,15.0,367.0,433950.0,0.01203667899244465,41.509433962264154,50.691823899371066,50.691823899371066,0,0.0,3,1,0
