Dataset,Attribute,Criterion Difference Name,Paired t-statistics on Accuracy with Missing Values,Degrees of Freedom of Accuracy with Missing Values,P-value t-statistics on Accuracy with Missing Values,Paired t-statistics on Accuracy without Missing Values,P-value t-statistics on Accuracy without Missing Values,Degrees of Freedom of Accuracy without Missing Values,Paired t-statistics on Number of Nodes,P-value t-statistics on Number of Nodes,Degrees of Freedom of Number of Nodes
KDD98 Multiclass 3,GEOCODE2,GW Chi Square - GW Squared Gini,-1.4062795853678594,18,0.911664830989,-1.4062795853678594,18,0.911664830989,1.0,0.165282465639,18
KDD98 Multiclass 3,RFA_23,GW Chi Square - GW Squared Gini,21.671902442124516,29,0.0,21.790212540051353,29,0.0,8.930285549745875,4.02625599527e-10,29
KDD98 Multiclass 3,HOMEOWNR,GW Chi Square - GW Squared Gini,0.0,10,100.0,0.0,10,100.0,0.0,100.0,10
KDD98 Multiclass 3,RFA_8,GW Chi Square - GW Squared Gini,-0.9424990184463555,29,0.823138422668,-0.9402472062544439,29,0.822571384655,0.0,100.0,29
KDD98 Multiclass 3,OSOURCE,GW Chi Square - GW Squared Gini,-1.6373856497121264,21,0.941775663896,-1.628975158104471,21,0.940885754044,0.9999999999999999,0.164347341618,21
KDD98 Multiclass 3,RFA_13,GW Chi Square - GW Squared Gini,2.8680360055642002,29,0.0038110390753,2.8657578704959654,29,0.00383238078061,1.0,0.162790994008,29
KDD98 Multiclass 3,AGEFLAG,GW Chi Square - GW Squared Gini,0.0,21,100.0,0.0,21,100.0,0.0,100.0,21
KDD98 Multiclass 3,RFA_16,GW Chi Square - GW Squared Gini,-1.010795328110206,29,0.839762906467,-1.0066570627650215,29,0.838787172925,-1.0,0.837209005992,29
KDD98 Multiclass 3,WALKER,GW Chi Square - GW Squared Gini,None,0,None,None,0,None,None,None,0
KDD98 Multiclass 3,STATE,GW Chi Square - GW Squared Gini,-0.813797103293011,13,0.784792249987,-0.8007440909418919,13,0.781165013239,-0.4340573661412155,0.664318190689,13
KDD98 Multiclass 3,RFA_22,GW Chi Square - GW Squared Gini,2.2516521354712626,29,0.0160448894259,2.2537248469181232,29,0.0159719078183,1.0,0.162790994008,29
KDD98 Multiclass 3,RFA_18,GW Chi Square - GW Squared Gini,1.569579329513855,29,0.0636806053173,1.5737941061848824,29,0.0631914806991,0.0,100.0,29
KDD98 Multiclass 3,COLLECT1,GW Chi Square - GW Squared Gini,None,0,None,None,0,None,None,None,0
KDD98 Multiclass 3,GENDER,GW Chi Square - GW Squared Gini,0.0,2,100.0,0.0,2,100.0,0.0,100.0,2
KDD98 Multiclass 3,RFA_2,GW Chi Square - GW Squared Gini,3.224839712527251,29,0.00155707949631,3.224839712527251,29,0.00155707949631,0.0,100.0,29
KDD98 Multiclass 3,RFA_9,GW Chi Square - GW Squared Gini,-1.7031139146960002,29,0.950378595293,-1.7009591253912126,29,0.950174276232,0.0,100.0,29
KDD98 Multiclass 3,RFA_4,GW Chi Square - GW Squared Gini,4.193365877655183,29,0.000118048811515,4.196487772377629,29,0.000117043896009,0.0,100.0,29
KDD98 Multiclass 3,PEPSTRFL,GW Chi Square - GW Squared Gini,0.0,29,100.0,0.0,29,100.0,0.0,100.0,29
KDD98 Multiclass 3,DOMAIN,GW Chi Square - GW Squared Gini,1.7798890198395596,25,0.0436270312076,1.7798890198395596,25,0.0436270312076,-1.0,0.836554043654,25
KDD98 Multiclass 3,RFA_11,GW Chi Square - GW Squared Gini,-1.711168489270635,29,0.951136117542,-1.7150637593531417,29,0.951498960489,0.0,100.0,29
KDD98 Multiclass 3,RFA_10,GW Chi Square - GW Squared Gini,2.674716607017563,29,0.00608102707186,2.680848459394566,29,0.00599283888677,1.0,0.162790994008,29
KDD98 Multiclass 3,RFA_15,GW Chi Square - GW Squared Gini,37.4991771525999,29,0.0,38.57239662436892,29,0.0,9.76144017477515,5.69059244171e-11,29
KDD98 Multiclass 3,RFA_2A,GW Chi Square - GW Squared Gini,0.0,29,100.0,0.0,29,100.0,0.0,100.0,29
KDD98 Multiclass 3,CDPLAY,GW Chi Square - GW Squared Gini,0.0,8,100.0,0.0,8,100.0,0.0,100.0,8
KDD98 Multiclass 3,GARDENIN,GW Chi Square - GW Squared Gini,0.0,5,100.0,0.0,5,100.0,0.0,100.0,5
KDD98 Multiclass 3,CRAFTS,GW Chi Square - GW Squared Gini,0.0,1,100.0,0.0,1,100.0,0.0,100.0,1
KDD98 Multiclass 3,STEREO,GW Chi Square - GW Squared Gini,None,0,None,None,0,None,None,None,0
KDD98 Multiclass 3,FISHER,GW Chi Square - GW Squared Gini,0.0,12,100.0,0.0,12,100.0,0.0,100.0,12
KDD98 Multiclass 3,RFA_24,GW Chi Square - GW Squared Gini,2.3565542987933834,29,0.0127067188949,2.3610127327564876,29,0.012579957505,0.0,100.0,29
KDD98 Multiclass 3,BIBLE,GW Chi Square - GW Squared Gini,None,0,None,None,0,None,None,None,0
KDD98 Multiclass 3,RFA_17,GW Chi Square - GW Squared Gini,3.2941373785555177,29,0.00130301989748,3.3014538348457236,29,0.00127864973887,0.0,100.0,29
