OutcomeType,OutcomeSubtype,AnimalType,SexuponOutcome,AgeuponOutcome,Breed,Color
Return_to_owner,,Dog,Neutered Male,1 year,Shetland Sheepdog Mix,Brown/White
Euthanasia,Suffering,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Cream Tabby
Adoption,Foster,Dog,Neutered Male,2 years,Pit Bull Mix,Blue/White
Transfer,Partner,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Blue Cream
Transfer,Partner,Dog,Neutered Male,2 years,Lhasa Apso/Miniature Poodle,Tan
Transfer,Partner,Dog,Intact Female,1 month,Cairn Terrier/Chihuahua Shorthair,Black/Tan
Transfer,Partner,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Blue Tabby
Transfer,Partner,Cat,Unknown,3 weeks,Domestic Shorthair Mix,Brown Tabby
Adoption,,Dog,Spayed Female,5 months,American Pit Bull Terrier Mix,Red/White
Adoption,Offsite,Dog,Spayed Female,1 year,Cairn Terrier,White
Transfer,SCRP,Cat,Unknown,2 years,Domestic Shorthair Mix,Black
Adoption,,Dog,Spayed Female,2 years,Miniature Schnauzer Mix,Silver
Adoption,Foster,Dog,Neutered Male,4 years,Pit Bull Mix,Brown
Return_to_owner,,Dog,Neutered Male,2 years,Yorkshire Terrier Mix,Black/Red
Return_to_owner,,Dog,Neutered Male,1 year,Great Pyrenees Mix,White/Cream
Adoption,Foster,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Orange Tabby/White
Transfer,Partner,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Brown Tabby
Transfer,Partner,Dog,Intact Female,2 weeks,Pit Bull Mix,Brown/White
Transfer,Partner,Cat,Intact Female,2 years,Angora Mix,White
Return_to_owner,,Dog,Neutered Male,1 year,Flat Coat Retriever Mix,Black
Transfer,Partner,Dog,Intact Male,2 months,Queensland Heeler Mix,Black/White
Transfer,Partner,Cat,Spayed Female,1 year,Domestic Shorthair Mix,White
Adoption,,Dog,Spayed Female,2 years,Plott Hound/Boxer,Brown Brindle/White
Adoption,,Dog,Neutered Male,10 months,German Shepherd Mix,Brown/White
Return_to_owner,,Dog,Neutered Male,2 months,German Shepherd Mix,Black/Brown
Transfer,Partner,Cat,Intact Female,1 month,Domestic Shorthair Mix,Orange Tabby
Adoption,,Dog,Spayed Female,6 months,American Staffordshire Terrier Mix,Chocolate/White
Adoption,,Dog,Spayed Female,5 years,Chihuahua Shorthair Mix,White/Tan
Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Cream Tabby/White
Return_to_owner,,Cat,Neutered Male,7 years,Russian Blue Mix,Blue
Euthanasia,Suffering,Cat,Spayed Female,3 years,Domestic Shorthair Mix,Calico
Transfer,Partner,Dog,Intact Male,4 months,Labrador Retriever Mix,Black/White
Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Torbie
Return_to_owner,,Dog,Neutered Male,5 years,Collie Smooth/German Shepherd,Brown/Black
Transfer,Partner,Dog,Neutered Male,3 years,Chihuahua Shorthair Mix,Brown
Euthanasia,Suffering,Dog,Intact Male,3 years,Labrador Retriever Mix,Yellow
Return_to_owner,,Dog,Neutered Male,3 years,Pit Bull Mix,Brown/White
Transfer,Partner,Cat,Intact Male,2 months,Domestic Shorthair Mix,Blue/White
Transfer,Partner,Cat,Neutered Male,4 months,Domestic Shorthair Mix,Black/White
Transfer,Partner,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Brown Tabby
Adoption,,Cat,Spayed Female,7 years,Domestic Shorthair Mix,Blue Tabby
Transfer,Partner,Cat,Intact Male,2 months,Domestic Shorthair Mix,Orange Tabby
Transfer,Partner,Cat,Intact Female,2 months,Domestic Shorthair Mix,Brown Tabby
Transfer,SCRP,Cat,Intact Male,4 years,Domestic Longhair Mix,Black/White
Adoption,,Cat,Neutered Male,2 years,Domestic Shorthair Mix,Black/White
Return_to_owner,,Dog,Neutered Male,12 years,Beagle,Tricolor
Return_to_owner,,Cat,Spayed Female,9 years,Domestic Shorthair Mix,White/Black
Transfer,Partner,Cat,Intact Female,3 weeks,Domestic Shorthair Mix,Black
Adoption,,Dog,Spayed Female,5 months,German Shepherd Mix,Black/Brown
Euthanasia,Aggressive,Dog,Intact Male,6 years,Pit Bull/Labrador Retriever,Chocolate/White
Transfer,SCRP,Cat,Intact Female,1 year,Domestic Shorthair Mix,Tortie
Adoption,,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Brown Tabby
Transfer,Partner,Cat,Intact Female,3 weeks,Domestic Shorthair Mix,Blue Tabby/White
Adoption,,Dog,Neutered Male,2 years,Blue Lacy Mix,Gray/White
Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Orange Tabby/White
Transfer,Partner,Cat,Intact Male,1 weeks,Domestic Shorthair Mix,Black
Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Calico
Transfer,Partner,Dog,Intact Male,1 year,Chihuahua Shorthair Mix,Tan
Return_to_owner,,Dog,Spayed Female,4 years,Black Mouth Cur Mix,Tan/Black
Adoption,,Dog,Neutered Male,2 years,Dachshund/Beagle,Brown/White
Transfer,Partner,Cat,Intact Male,1 year,Domestic Shorthair Mix,Orange Tabby/White
Euthanasia,Suffering,Dog,Spayed Female,11 years,Yorkshire Terrier Mix,Brown/Black
Transfer,Partner,Cat,Intact Female,1 month,Domestic Shorthair Mix,Black
Adoption,,Dog,Spayed Female,2 years,Dachshund Mix,Tan/White
Transfer,Partner,Cat,Unknown,2 weeks,Domestic Shorthair Mix,Black
Return_to_owner,,Dog,Spayed Female,6 years,Maltese Mix,White
Transfer,Partner,Dog,Neutered Male,6 months,Pointer Mix,Black/White
Transfer,Partner,Dog,Intact Female,2 months,English Foxhound,Buff
Transfer,SCRP,Cat,Unknown,2 months,Domestic Shorthair Mix,Brown Tabby/White
Adoption,,Dog,Spayed Female,1 year,Chihuahua Shorthair Mix,Red
Adoption,,Dog,Neutered Male,2 months,Vizsla Mix,Brown
Transfer,Partner,Dog,Neutered Male,2 years,Pit Bull Mix,Brown Brindle/White
Adoption,,Dog,Spayed Female,3 years,German Shepherd/Great Pyrenees,White
Return_to_owner,,Cat,Intact Female,1 year,Domestic Shorthair Mix,Black
Return_to_owner,,Dog,Spayed Female,4 years,Yorkshire Terrier Mix,Blue/Tan
Transfer,Partner,Dog,Spayed Female,2 years,Cardigan Welsh Corgi/Chihuahua Shorthair,Tan
Adoption,,Cat,Spayed Female,3 months,Domestic Longhair,Brown Tabby
Euthanasia,Suffering,Cat,Intact Female,1 year,Domestic Shorthair Mix,Calico
Adoption,,Dog,Neutered Male,2 months,Chow Chow/Pit Bull,Black
Transfer,SCRP,Cat,Spayed Female,2 years,Domestic Shorthair Mix,Black/White
Adoption,Foster,Dog,Neutered Male,1 year,Chihuahua Shorthair,White
Euthanasia,Suffering,Cat,Unknown,2 weeks,Domestic Shorthair Mix,Blue Tabby
